出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","102","1","2880","華南金","34819261.00","130150038.00","40847813.00","78468570.00","--","433085.00","41787507.00","1960059.00","--","1365567161.00","2783170.00","300327126.00","79975.00","--","37985706.00","6672544.00","32297210.00","405811.00","1819034.00","4140717.00","2080544787.00","121420404.00","--","21573963.00","97303.00","30116197.00","3325651.00","38576137.00","1723801.00","--","1644579614.00","53240415.00","1151935.00","--","15955948.00","7123278.00","6099365.00","2966307.00","1947950318.00","86250301.00","17758993.00","30551000.00","-1967263.00","--","--","132593031.00","1438.00","132594469.00","0.00","0.00","15.37"
"114/03/26","102","1","2881","富邦金","142046897.00","100053898.00","109807568.00","1509681560.00","700966.00","64069268.00","93885602.00","1732541.00","--","1269985817.00","12441367.00","227024196.00","4905068.00","--","541837993.00","86482604.00","33571168.00","13410299.00","5875235.00","19090154.00","4236602201.00","100745460.00","--","52944878.00","2450669.00","38170859.00","4798937.00","65248477.00","5341764.00","--","1403769304.00","105648754.00","1200000.00","--","1943173445.00","187385886.00","7808481.00","12440047.00","3931126961.00","95351652.00","55785647.00","97264299.00","57073642.00","0.00","--","305475240.00","0.00","305475240.00","0.00","0.00","32.04"
"114/03/26","102","1","2882","國泰金","269517585.00","73873985.00","174615322.00","1389852577.00","2196659.00","12465467.00","130699964.00","9693440.00","--","1546886562.00","12102562.00","51691033.00","1597196.00","--","1664248110.00","213799683.00","71473211.00","9324806.00","16841553.00","23367307.00","5674247022.00","73996201.00","1493750.00","24377181.00","--","36380124.00","3360000.00","65731116.00","670456.00","--","1466687367.00","90196450.00","--","--","3246964264.00","378882142.00","14474644.00","15557603.00","5418771298.00","108653851.00","78508148.00","45665347.00","25825632.00","-7179872.00","--","251473106.00","4002618.00","255475724.00","0.00","200000000.00","23.58"
"114/03/26","102","1","2883","凱基金","27259086.00","39942069.00","74604206.00","130940555.00","42243.00","27162495.00","104573539.00","752011.00","--","86434528.00","--","--","7936523.00","3149527.00","56012096.00","2139976.00","9604555.00","6643207.00","852053.00","14417566.00","592466235.00","4077672.00","--","16966670.00","101205.00","81782588.00","12192186.00","49360527.00","2154060.00","--","130638928.00","36914290.00","15541769.00","--","1028045.00","66616676.00","902402.00","8984410.00","427261428.00","151729966.00","258674.00","10547398.00","-390095.00","-3294868.00","--","158851075.00","6353732.00","165204807.00","0.00","448759000.00","10.79"
"114/03/26","102","1","2884","玉山金","23236283.00","59045240.00","278203814.00","74669823.00","0.00","11404.00","47874347.00","558269.00","--","760651963.00","--","9651651.00","--","--","7500443.00","1690179.00","17309318.00","4142011.00","530361.00","2430449.00","1287505555.00","56920541.00","--","15182466.00","--","4305869.00","1480437.00","22781151.00","1190262.00","--","1049793249.00","53300000.00","0.00","--","443137.00","2316657.00","852461.00","1102233.00","1209668463.00","50107000.00","14420331.00","12380970.00","928791.00","0.00","--","77837092.00","0.00","77837092.00","0.00","0.00","15.53"
"114/03/26","102","1","2885","元大金","28124392.00","81403137.00","86426723.00","71848332.00","--","1041424.00","88228338.00","997604.00","1333356.00","379075292.00","--","2269391.00","917125.00","123127.00","37114297.00","3013849.00","13080361.00","26142968.00","896918.00","8266647.00","830303281.00","13329316.00","--","21922020.00","--","29304723.00","11536997.00","51659718.00","5333643.00","0.00","441600116.00","30866783.00","2523578.00","--","1529777.00","46644202.00","729669.00","11899437.00","668879979.00","98973355.00","33670733.00","22257299.00","3389615.00","-70238.00","--","158220764.00","3202538.00","161423302.00","0.00","3612000.00","15.99"
"114/03/26","102","1","2886","兆豐金","200522958.00","222587222.00","188863992.00","234128871.00","--","5680453.00","109399732.00","810333.00","--","1525727058.00","3182753.00","161620690.00","2965546.00","--","26785687.00","5220935.00","19299519.00","263487.00","3654680.00","10035445.00","2720749361.00","358460730.00","9643436.00","15621479.00","--","179663658.00","7193143.00","61659386.00","7468451.00","--","1751919907.00","57961883.00","6554000.00","--","22839107.00","12514435.00","1654066.00","9503831.00","2502657512.00","114498240.00","43425270.00","58283459.00","1579965.00","0.00","--","217786934.00","304915.00","218091849.00","0.00","0.00","19.02"
"114/03/26","102","1","2887","台新金","51759098.00","133283640.00","91931958.00","258534197.00","94314.00","11584030.00","90986179.00","1731104.00","--","1800934367.00","--","188726316.00","258617.00","--","17701255.00","11610869.00","41749245.00","21676298.00","9548373.00","5281601.00","2737391461.00","146646825.00","--","13220145.00","--","68898188.00","0.00","51814177.00","3026173.00","--","2141827628.00","85441365.00","678586.00","--","4392606.00","22107209.00","7004696.00","4404147.00","2549461745.00","76166344.00","9427522.00","17533572.00","1917366.00","0.00","--","105044804.00","82884912.00","187929716.00","43000.00","0.00","13.79"
"114/03/26","102","1","2888","新光金","52112941.00","108982179.00","47958420.00","373751965.00","--","10271225.00","53751631.00","4810492.00","77428.00","618406274.00","--","262468735.00","138541.00","--","661085332.00","125188783.00","24978642.00","3090045.00","16085680.00","19463774.00","2382622087.00","1930829.00","--","10096576.00","--","20807595.00","4149138.00","30219578.00","551406.00","--","519973312.00","43496390.00","3027718.00","1654000.00","1524684084.00","104335278.00","4594491.00","8531359.00","2278051754.00","84363876.00","9160484.00","32113731.00","-34529984.00","0.00","--","91108107.00","13462226.00","104570333.00","0.00","0.00","10.80"
"114/03/26","102","1","2889","國票金","1634213.00","670081.00","105877884.00","77522530.00","--","165951.00","13203999.00","714409.00","--","--","--","--","1419345.00","--","4208811.00","0.00","2000504.00","592577.00","119131.00","1705431.00","209834866.00","--","15186283.00","367999.00","--","149469122.00","4825786.00","4714423.00","110295.00","--","--","--","--","--","1462882.00","1292015.00","18855.00","558348.00","178006008.00","25529802.00","7544.00","2466260.00","401819.00","-485234.00","--","27920191.00","3908667.00","31828858.00","0.00","50000000.00","11.15"
