出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","102","3","1101","台泥","77212043.00","194780898.00","271992941.00","73733391.00","53063194.00","126796585.00","36921759.00","12192857.00","44506049.00","13008590.00","--","106629255.00","--","--","38567101.00","145196356.00","0.00","0.00","28.88"
"114/03/26","102","3","1102","亞泥","57543204.00","149911225.00","207454429.00","65784356.00","39517764.00","105302120.00","32955365.00","1019245.00","44573588.00","5888881.00","--","84437079.00","--","--","17715230.00","102152309.00","0.00","0.00","25.62"
"114/03/26","102","3","1103","嘉泥","12068308.00","17604402.00","29672710.00","3960240.00","8251743.00","12211983.00","7768285.00","450521.00","8199720.00","-51838.00","-1149426.00","15217262.00","--","--","2243465.00","17460727.00","0.00","131226016.00","23.57"
"114/03/26","102","3","1104","環泥","2322509.00","14473769.00","16796278.00","1519812.00","1529617.00","3049429.00","6038919.00","21763.00","6886689.00","648474.00","--","13595845.00","--","--","151004.00","13746849.00","0.00","0.00","22.51"
"114/03/26","102","3","1108","幸福","5662222.00","3054687.00","8716909.00","2290430.00","2026759.00","4317189.00","4047380.00","7.00","296549.00","36223.00","0.00","4380159.00","--","--","19561.00","4399720.00","0.00","0.00","10.82"
"114/03/26","102","3","1109","信大","2788597.00","6580732.00","9369329.00","1190981.00","1270148.00","2461129.00","4210008.00","22299.00","1683481.00","82214.00","0.00","5998002.00","--","--","910198.00","6908200.00","0.00","0.00","14.25"
"114/03/26","102","3","1110","東泥","1531042.00","7903315.00","9434357.00","310060.00","455925.00","765985.00","5720008.00","184007.00","1996579.00","745815.00","-12185.00","8634224.00","--","--","34148.00","8668372.00","0.00","2112865.00","15.15"
"114/03/26","102","3","1201","味全","23104042.00","15506728.00","38610770.00","12027891.00","15210907.00","27238798.00","5060629.00","688.00","3196425.00","33501.00","--","8291243.00","--","--","3080729.00","11371972.00","0.00","0.00","16.38"
"114/03/26","102","3","1203","味王","3052464.00","4863155.00","7915619.00","1454394.00","1646868.00","3101262.00","2400000.00","36153.00","1623397.00","10328.00","-38464.00","4031414.00","--","--","782943.00","4814357.00","0.00","2293865.00","16.96"
"114/03/26","102","3","1210","大成","22002753.00","15344228.00","37346981.00","15122886.00","4950416.00","20073302.00","5664572.00","2374875.00","2902966.00","1002015.00","-306199.00","11638229.00","--","--","5635450.00","17273679.00","0.00","40688225.00","22.14"
"114/03/26","102","3","1213","大飲","442542.00","435855.00","878397.00","182292.00","37107.00","219399.00","514751.00","21938.00","122640.00","-331.00","--","658998.00","--","--","--","658998.00","0.00","0.00","12.80"
"114/03/26","102","3","1215","卜蜂","4039298.00","4596602.00","8635900.00","3382192.00","1020114.00","4402306.00","2320268.00","967.00","612607.00","1223178.00","--","4157020.00","--","--","76574.00","4233594.00","0.00","0.00","17.92"
"114/03/26","102","3","1216","統一","134035616.00","231718747.00","365754363.00","134532086.00","98700426.00","233232512.00","51542229.00","3940971.00","27039141.00","541324.00","--","83063665.00","--","--","49458186.00","132521851.00","0.00","0.00","16.12"
"114/03/26","102","3","1217","愛之味","4174181.00","9403639.00","13577820.00","2938413.00","4750924.00","7689337.00","4976893.00","287839.00","-6223.00","-46886.00","-100582.00","5111041.00","--","--","777442.00","5888483.00","0.00","10484000.00","10.49"
"114/03/26","102","3","1218","泰山","3288709.00","5008681.00","8297390.00","1865597.00","2929347.00","4794944.00","3533360.00","23770.00","168892.00","-22767.00","-203876.00","3499379.00","--","--","3067.00","3502446.00","0.00","13680042.00","10.30"
"114/03/26","102","3","1219","福壽","3170737.00","2428395.00","5599132.00","793459.00","1135675.00","1929134.00","3131882.00","59244.00","481247.00","-413.00","0.00","3671960.00","--","--","-1962.00","3669998.00","0.00","0.00","11.72"
"114/03/26","102","3","1220","台榮","1790317.00","1087079.00","2877396.00","324652.00","291541.00","616193.00","1770779.00","537.00","404033.00","-67651.00","0.00","2107698.00","--","--","153505.00","2261203.00","0.00","0.00","11.90"
"114/03/26","102","3","1225","福懋油","3457056.00","3055323.00","6512379.00","2162088.00","1745385.00","3907473.00","1971197.00","79687.00","275817.00","-4159.00","--","2322542.00","--","--","282364.00","2604906.00","124999.00","0.00","11.78"
"114/03/26","102","3","1227","佳格","11384544.00","3888148.00","15272692.00","4666884.00","225894.00","4892778.00","6611319.00","43620.00","3435219.00","174382.00","-21182.00","10243358.00","--","--","136556.00","10379914.00","0.00","4818546.00","15.61"
"114/03/26","102","3","1229","聯華","3107117.00","21806496.00","24913613.00","3768276.00","1333367.00","5101643.00","8532555.00","713245.00","7601729.00","2885729.00","-2393.00","19730865.00","--","--","81105.00","19811970.00","547500.00","94000.00","23.13"
"114/03/26","102","3","1231","聯華食","2479547.00","2666271.00","5145818.00","1421087.00","1307802.00","2728889.00","1322438.00","72435.00","956747.00","39107.00","--","2390727.00","--","--","26202.00","2416929.00","0.00","0.00","18.08"
"114/03/26","102","3","1232","大統益","3566889.00","664718.00","4231607.00","1141983.00","84448.00","1226431.00","1599749.00","23784.00","1348003.00","-1695.00","--","2969841.00","--","--","35335.00","3005176.00","0.00","0.00","18.56"
"114/03/26","102","3","1233","天仁","652927.00","1223753.00","1876680.00","342443.00","117024.00","459467.00","905919.00","60605.00","437217.00","2050.00","--","1405791.00","--","--","11422.00","1417213.00","0.00","0.00","15.52"
"114/03/26","102","3","1234","黑松","10085940.00","13494946.00","23580886.00","3584769.00","2612264.00","6197033.00","4018711.00","184583.00","12975845.00","204714.00","0.00","17383853.00","--","--","0.00","17383853.00","0.00","0.00","43.26"
"114/03/26","102","3","1235","興泰","1279541.00","536123.00","1815664.00","809372.00","57128.00","866500.00","561688.00","27674.00","189868.00","180430.00","-11584.00","948076.00","--","--","1088.00","949164.00","0.00","2131610.00","17.54"
"114/03/26","102","3","1236","宏亞","730303.00","1960615.00","2690918.00","552774.00","655910.00","1208684.00","1083425.00","33396.00","365478.00","-65.00","0.00","1482234.00","--","--","0.00","1482234.00","0.00","0.00","13.68"
"114/03/26","102","3","1256","鮮活果汁-KY","721053.00","343401.00","1064454.00","443676.00","30377.00","474053.00","176400.00","60109.00","333613.00","18001.00","--","588123.00","--","--","2278.00","590401.00","0.00","0.00","33.34"
"114/03/26","102","3","1301","台塑","135275778.00","261838950.00","397114728.00","66408148.00","79470016.00","145878164.00","63657408.00","11227405.00","117697728.00","58654023.00","--","251236564.00","--","--","--","251236564.00","0.00","0.00","39.47"
"114/03/26","102","3","1303","南亞","227666072.00","287592266.00","515258338.00","101903514.00","132330083.00","234233597.00","79308216.00","21979892.00","131689973.00","35698071.00","-1945.00","268674207.00","--","--","12350534.00","281024741.00","0.00","185067.00","33.88"
"114/03/26","102","3","1304","台聚","34962117.00","22194969.00","57157086.00","15299455.00","11102228.00","26401683.00","11426024.00","162837.00","5491101.00","87838.00","-439705.00","16728095.00","--","--","14027308.00","30755403.00","0.00","104438075.00","16.11"
"114/03/26","102","3","1305","華夏","5474711.00","6041496.00","11516207.00","2213980.00","3123552.00","5337532.00","4502917.00","8248.00","1395979.00","22238.00","0.00","5929382.00","--","--","249293.00","6178675.00","0.00","0.00","13.17"
"114/03/26","102","3","1307","三芳","6534351.00","5628674.00","12163025.00","2932969.00","2541608.00","5474577.00","3640599.00","137866.00","2964853.00","-54870.00","--","6688448.00","--","--","--","6688448.00","0.00","0.00","18.37"
"114/03/26","102","3","1308","亞聚","4419861.00","5573760.00","9993621.00","602235.00","348242.00","950477.00","4696769.00","14155.00","3608535.00","723685.00","0.00","9043144.00","--","--","0.00","9043144.00","0.00","0.00","19.25"
"114/03/26","102","3","1309","台達化","7860622.00","3702663.00","11563285.00","5239269.00","2160150.00","7399419.00","3276518.00","501.00","620435.00","266412.00","--","4163866.00","--","--","--","4163866.00","0.00","0.00","12.71"
"114/03/26","102","3","1310","台苯","4718512.00","6161914.00","10880426.00","4024821.00","510373.00","4535194.00","5027331.00","83508.00","659505.00","-209976.00","-4768.00","5555600.00","--","--","789632.00","6345232.00","0.00","229866.00","11.06"
"114/03/26","102","3","1312","國喬","7392013.00","17211207.00","24603220.00","4429900.00","2916828.00","7346728.00","9266203.00","103073.00","5546271.00","526927.00","-199604.00","15242870.00","--","--","2013622.00","17256492.00","0.00","8254473.00","16.60"
"114/03/26","102","3","1313","聯成","27110028.00","16819054.00","43929082.00","18993431.00","6635244.00","25628675.00","11555248.00","1130887.00","4910300.00","748368.00","-95957.00","18248846.00","--","--","51561.00","18300407.00","986700.00","6883000.00","15.89"
"114/03/26","102","3","1314","中石化","12617943.00","30761835.00","43379778.00","4779572.00","6400726.00","11180298.00","23199897.00","0.00","9811993.00","-1036478.00","--","31975412.00","--","--","224068.00","32199480.00","0.00","0.00","13.78"
"114/03/26","102","3","1315","達新","4117757.00","5341718.00","9459475.00","1007582.00","1126586.00","2134168.00","2200000.00","54717.00","3599139.00","1580859.00","-126809.00","7307906.00","--","--","17401.00","7325307.00","0.00","7930000.00","34.46"
