出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","102","3","2880","華南金","40975239.00","141482649.00","44635099.00","85195580.00","4984.00","618323.00","47564799.00","2029902.00","--","1397663439.00","2661620.00","300455806.00","78449.00","--","40020170.00","7694417.00","31880266.00","399769.00","2112318.00","3773964.00","2149246793.00","139389034.00","--","21109280.00","97485.00","22721006.00","4970416.00","37629250.00","1764597.00","--","1704868078.00","48541239.00","1164000.00","--","16019464.00","7910284.00","6099633.00","4541028.00","2016824794.00","90562816.00","17758986.00","26935290.00","-2836554.00","--","--","132420538.00","1461.00","132421999.00","0.00","0.00","14.62"
"114/03/26","102","3","2881","富邦金","142038222.00","111843080.00","97874308.00","1570592901.00","533533.00","65842015.00","129912725.00","969831.00","--","1343417738.00","13527736.00","215714383.00","4969054.00","--","553377535.00","88142942.00","33360592.00","13380053.00","6946251.00","24229367.00","4416672266.00","87279242.00","--","35347730.00","2154666.00","48111735.00","7274687.00","77564303.00","5740802.00","--","1450793949.00","111822096.00","85000.00","--","2087119923.00","179813170.00","3217384.00","18392538.00","4114717225.00","102336040.00","74445051.00","104461422.00","20465924.00","0.00","--","301708437.00","246604.00","301955041.00","0.00","0.00","29.48"
"114/03/26","102","3","2882","國泰金","302903232.00","132346377.00","226017077.00","1321363863.00","1607616.00","12547032.00","141389034.00","4908270.00","--","1584700953.00","9047802.00","51384448.00","2623280.00","--","1768460434.00","217105518.00","71434749.00","9297017.00","16376126.00","26843817.00","5900356645.00","50893236.00","1483500.00","19073757.00","--","58193040.00","7780000.00","58366163.00","163357.00","--","1558339204.00","99913846.00","--","--","3367510568.00","396720427.00","12203976.00","11979865.00","5642620939.00","119649621.00","87889556.00","50158804.00","3056839.00","-7179872.00","--","253574948.00","4160758.00","257735706.00","0.00","200000000.00","23.01"
"114/03/26","102","3","2883","凱基金","44952957.00","40563219.00","75277426.00","112112562.00","33036.00","30058151.00","140070608.00","752526.00","--","100417133.00","--","--","7153389.00","1081678.00","67355495.00","1833690.00","9308884.00","6419700.00","789678.00","13480019.00","651660151.00","25578158.00","--","18778579.00","72790.00","94609756.00","15454966.00","48364524.00","2195904.00","--","126876331.00","37050322.00","27584486.00","--","1027250.00","76367207.00","1020936.00","12155017.00","487136226.00","150308833.00","535087.00","12685763.00","-3249290.00","-2170286.00","--","158110107.00","6413818.00","164523925.00","0.00","302586000.00","10.74"
"114/03/26","102","3","2884","玉山金","16818977.00","57851664.00","267390880.00","72362809.00","--","0.00","54965149.00","565426.00","0.00","812342514.00","0.00","8798083.00","0.00","0.00","14131198.00","566711.00","19111601.00","5498567.00","441500.00","3136657.00","1333981736.00","61309099.00","0.00","14205756.00","0.00","4134441.00","1663399.00","21857291.00","362556.00","0.00","1091479553.00","52300000.00","0.00","0.00","471808.00","2010432.00","792135.00","2309132.00","1252895602.00","55243000.00","14497390.00","10165203.00","460310.00","0.00","--","80365903.00","720231.00","81086134.00","0.00","0.00","14.55"
"114/03/26","102","3","2885","元大金","20826472.00","87963966.00","95532261.00","43798799.00","--","3338743.00","97986451.00","1238777.00","1309054.00","387542987.00","--","7243154.00","876997.00","142459.00","60553036.00","3990003.00","12664998.00","25702521.00","979079.00","7754764.00","859444521.00","8653408.00","--","29572777.00","--","22663457.00","9727874.00","61645809.00","4497307.00","0.00","466627862.00","30972023.00","876354.00","--","1533562.00","43478597.00","906428.00","18948658.00","700104116.00","98937235.00","33634947.00","20743182.00","2909516.00","0.00","--","156224880.00","3115525.00","159340405.00","0.00","0.00","15.79"
"114/03/26","102","3","2886","兆豐金","204536461.00","180052123.00","180164254.00","223848359.00","--","4764427.00","168395902.00","813679.00","--","1612028001.00","3529180.00","180063429.00","2643639.00","--","25568272.00","2182115.00","22141493.00","241836.00","3511448.00","7644420.00","2822129038.00","355134566.00","33711599.00","16127636.00","--","197575984.00","6738134.00","86793110.00","5337099.00","--","1798250535.00","55886343.00","5279290.00","--","21758688.00","12334790.00","1926720.00","9656559.00","2606511053.00","114498240.00","43425270.00","57704607.00","-298544.00","0.00","--","215329573.00","288412.00","215617985.00","0.00","0.00","18.81"
"114/03/26","102","3","2887","台新金","42264749.00","155591539.00","109192125.00","267311585.00","70694.00","13207394.00","98913744.00","1690803.00","--","1833354170.00","--","188370831.00","244044.00","--","36127211.00","11581896.00","41605650.00","21595386.00","8000235.00","5673814.00","2834795870.00","174604110.00","--","14217662.00","--","62846494.00","0.00","49688946.00","4127281.00","--","2200574430.00","90249966.00","1631776.00","--","4299116.00","27936803.00","6495000.00","4349467.00","2641021051.00","82374640.00","9461716.00","15912466.00","633043.00","--","--","108381865.00","85392954.00","193774819.00","6153221.00","0.00","13.16"
"114/03/26","102","3","2888","新光金","45301821.00","114414516.00","70160424.00","368723688.00","--","4818921.00","62545420.00","3853124.00","3594919.00","642003088.00","--","283431832.00","99516.00","--","672611295.00","121502090.00","24652425.00","3125030.00","16342772.00","23237127.00","2460418008.00","4602753.00","--","6347172.00","--","20033332.00","7497705.00","33754237.00","139786.00","--","547335959.00","32921726.00","7912110.00","1654000.00","1575069320.00","93720163.00","4491222.00","13113100.00","2348592585.00","93248209.00","9182207.00","33003816.00","-37231143.00","0.00","--","98203089.00","13622334.00","111825423.00","0.00","0.00","10.53"
"114/03/26","102","3","2889","國票金","1584822.00","200048.00","121318777.00","67396539.00","--","1508504.00","16507267.00","682403.00","--","--","--","--","1378181.00","--","4248298.00","0.00","1979837.00","564454.00","30532.00","2153901.00","219553563.00","--","15843119.00","739731.00","--","155417185.00","4646517.00","7978094.00","155736.00","--","--","--","--","--","1423513.00","1362911.00","18643.00","321991.00","187907440.00","26280696.00","7544.00","1823388.00","112242.00","-485234.00","--","27738636.00","3907487.00","31646123.00","0.00","50000000.00","10.76"
"114/03/26","102","3","2890","永豐金","28073818.00","79466214.00","56303680.00","57907796.00","0.00","3009784.00","134452319.00","480219.00","--","783058704.00","--","219006338.00","77223.00","--","32717092.00","1747616.00","14043538.00","3067843.00","2537797.00","12387300.00","1428337281.00","70467478.00","--","12794255.00","7036.00","19607340.00","18200438.00","31749631.00","662258.00","--","1077617186.00","43088577.00","17098708.00","18437.00","3030595.00","18263490.00","1265472.00","9072950.00","1322943851.00","82077358.00","1524439.00","20377279.00","1354353.00","0.00","--","105333429.00","60001.00","105393430.00","0.00","0.00","12.83"
"114/03/26","102","3","2891","中信金","72741880.00","116022230.00","97668622.00","499684894.00","1099046.00","6762824.00","166990294.00","1381498.00","6323280.00","1217349106.00","955432.00","53174662.00","2121666.00","--","25737950.00","2633396.00","36926806.00","13939295.00","3188061.00","12431515.00","2337132457.00","36492306.00","9519001.00","25666409.00","96950.00","58269730.00","1499726.00","62439013.00","1678054.00","--","1676952932.00","70627650.00","--","--","167919863.00","26181862.00","647334.00","11087170.00","2149078000.00","147129560.00","23848397.00","27279776.00","-10280461.00","--","--","187977272.00","77185.00","188054457.00","0.00","0.00","12.78"
