出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/03/26","102","2","2801","彰銀","41370838.00","106501686.00","51170561.00","82629.00","--","20401005.00","657175.00","--","1153777877.00","40367504.00","186465381.00","--","--","23332752.00","24055053.00","10822260.00","78119.00","3732798.00","2360756.00","1665176394.00","122014083.00","--","3010974.00","--","5955455.00","35115911.00","231869.00","--","1334200414.00","43308743.00","--","--","1099408.00","3557524.00","6205424.00","1886054.00","1556585859.00","77490592.00","--","31354282.00","-254339.00","0.00","108590535.00","--","--","--","108590535.00","0.00","0.00","14.99"
"114/03/26","102","2","2809","京城銀","15124327.00","37355042.00","2074639.00","--","1365051.00","956109.00","--","--","102029302.00","17570859.00","6073327.00","--","--","22343226.00","2698236.00","--","--","393414.00","542785.00","208526317.00","13311246.00","5120400.00","155270.00","--","18156582.00","4088565.00","298475.00","--","145487479.00","0.00","--","--","2406.00","488343.00","79939.00","188295.00","187377000.00","12012343.00","178746.00","8504308.00","453920.00","0.00","21149317.00","--","--","0.00","21149317.00","0.00","0.00","17.61"
"114/03/26","102","2","2812","台中銀","9821772.00","66605446.00","13870783.00","0.00","4380862.00","5207362.00","56589.00","0.00","345620987.00","19358300.00","3688457.00","132232.00","81443.00","1142323.00","3434225.00","0.00","91297.00","358290.00","952991.00","474803359.00","9900983.00","3266172.00","47291.00","0.00","262811.00","9248772.00","212084.00","0.00","408224418.00","13504169.00","0.00","0.00","42277.00","255943.00","111021.00","322931.00","445398872.00","24868532.00","675537.00","3750836.00","109582.00","0.00","29404487.00","--","--","0.00","29404487.00","0.00","0.00","12.68"
"114/03/26","102","2","2820","華票","572524.00","75300.00","106758435.00","--","1879159.00","1239811.00","0.00","--","--","71226913.00","4222359.00","--","--","205128.00","164520.00","--","--","106222.00","918997.00","187369368.00","11660000.00","--","3711.00","--","152264796.00","1428370.00","86066.00","--","--","--","--","--","--","1268055.00","0.00","77826.00","166788824.00","13429600.00","2474.00","6772351.00","376119.00","0.00","--","0.00","--","--","20580544.00","0.00","0.00","15.32"
"114/03/26","102","2","2834","臺企銀","26164131.00","71729231.00","5446914.00","--","4635892.00","16450360.00","625611.00","--","959036727.00","13086769.00","183710389.00","--","--","3548163.00","14320024.00","--","190330.00","1950156.00","4080020.00","1304974717.00","83721075.00","--","273346.00","--","10541939.00","32294018.00","--","--","1058265538.00","48900000.00","--","--","11050684.00","2852725.00","879964.00","1067125.00","1249846414.00","50941482.00","0.00","4390925.00","-204104.00","0.00","55128303.00","0.00","--","0.00","55128303.00","0.00","0.00","11.25"
"114/03/26","102","2","2836","高雄銀","4491232.00","23610308.00","1271966.00","--","2793780.00","1060425.00","19862.00","--","167705160.00","17192061.00","0.00","--","--","1622826.00","2761088.00","--","49446.00","138484.00","63669.00","222780307.00","12375599.00","--","1700.00","--","67838.00","3174597.00","25617.00","--","191536847.00","4000000.00","--","--","145615.00","785327.00","--","161740.00","212274880.00","7210492.00","2016605.00","1405368.00","-127038.00","--","10505427.00","--","--","0.00","10505427.00","0.00","0.00","14.86"
"114/03/26","102","2","2838","聯邦銀","9330731.00","65617692.00","9074173.00","--","15025002.00","13839581.00","143411.00","--","222549591.00","8962220.00","807958.00","54308.00","--","57455539.00","7683408.00","2784856.00","2079793.00","3187876.00","6573519.00","425169658.00","6162175.00","--","67489.00","--","26064401.00","6423665.00","46207.00","--","349278244.00","5200000.00","--","--","1476791.00","751704.00","524315.00","2313600.00","398308591.00","22167126.00","32413.00","3989325.00","427232.00","0.00","26616096.00","--","--","244971.00","26861067.00","0.00","0.00","13.13"
"114/03/26","102","2","2845","遠東銀","6516586.00","75136585.00","16400551.00","138009.00","8636162.00","21608747.00","--","--","314135911.00","18201156.00","2699776.00","2343178.00","--","13237628.00","2844442.00","--","1849476.00","734573.00","207910.00","484690690.00","24038777.00","--","4728043.00","8081.00","--","8033182.00","53817.00","--","392562649.00","25114152.00","--","--","1161403.00","719276.00","--","438742.00","456858122.00","23621182.00","34923.00","4387806.00","-211343.00","--","27832568.00","--","--","--","27832568.00","0.00","0.00","12.41"
"114/03/26","102","2","2849","安泰銀","6511031.00","74561708.00","15862365.00","--","2005492.00","10635040.00","184523.00","19472.00","210333948.00","76321256.00","--","--","--","584522.00","916031.00","--","278243.00","3794022.00","2199952.00","404207605.00","17630768.00","--","9639424.00","--","8706759.00","9775930.00","149726.00","--","321457266.00","10000000.00","--","1414865.00","497335.00","482542.00","45047.00","254246.00","380053908.00","16796775.00","1461505.00","6773476.00","-878059.00","0.00","24153697.00","--","--","0.00","24153697.00","0.00","0.00","14.38"
"114/03/26","102","2","2897","王道銀行","4078893.00","6451752.00","145629564.00","--","4429629.00","12969690.00","57574.00","--","94441749.00","87987738.00","4823320.00","370578.00","392574.00","2506842.00","2712108.00","--","1216516.00","517551.00","4049221.00","372635299.00","36622065.00","--","3038754.00","--","158222935.00","7168828.00","155104.00","--","102794880.00","11980000.00","--","--","7903637.00","1475009.00","67165.00","1058044.00","330486421.00","23905063.00","--","2125837.00","260617.00","3202.00","26288315.00","--","--","15860563.00","42148878.00","540.00","0.00","11.00"
"114/03/26","102","2","5876","上海商銀","37240888.00","231146094.00","34873722.00","140528.00","986987.00","16433283.00","123355.00","--","725587451.00","177149471.00","121880605.00","951252.00","--","217465.00","21657176.00","415228.00","--","769983.00","4619390.00","1374192878.00","35970890.00","1499450.00","2163666.00","40362.00","4218105.00","31130924.00","1457654.00","--","1125431187.00","33140260.00","--","--","4492584.00","1086199.00","7429781.00","2367842.00","1250428904.00","37157916.00","4624995.00","47880479.00","2949315.00","-83144.00","92529561.00","--","--","31234413.00","123763974.00","10382.00","0.00","24.90"
