出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","102","2","1101","台泥","77139390.00","196505065.00","273644455.00","68971246.00","65466041.00","134437287.00","36921759.00","12192857.00","41075425.00","11577183.00","--","101767224.00","--","--","37439944.00","139207168.00","0.00","0.00","27.56"
"114/03/26","102","2","1102","亞泥","71535086.00","147340593.00","218875679.00","69315658.00","48866815.00","118182473.00","32955365.00","1019808.00","43535464.00","5663318.00","--","83173955.00","--","--","17519251.00","100693206.00","0.00","0.00","25.74"
"114/03/26","102","2","1103","嘉泥","11522945.00","16529498.00","28052443.00","3334434.00","8948687.00","12283121.00","7768285.00","444825.00","8011745.00","-1501621.00","-1153409.00","13569825.00","--","--","2199497.00","15769322.00","0.00","132150185.00","21.05"
"114/03/26","102","2","1104","環泥","2672600.00","14204236.00","16876836.00","1787638.00","1523193.00","3310831.00","6038919.00","21763.00","6648450.00","706162.00","--","13415294.00","--","--","150711.00","13566005.00","0.00","0.00","22.21"
"114/03/26","102","2","1108","幸福","5583173.00","3154382.00","8737555.00","2282837.00","2108292.00","4391129.00","4047380.00","7.00","241247.00","36224.00","0.00","4324858.00","--","--","21568.00","4346426.00","0.00","0.00","10.69"
"114/03/26","102","2","1109","信大","3040733.00","6632320.00","9673053.00","1298759.00","1459595.00","2758354.00","4210008.00","22299.00","1662409.00","94198.00","0.00","5988914.00","--","--","925785.00","6914699.00","0.00","0.00","14.23"
"114/03/26","102","2","1110","東泥","1499188.00","7859434.00","9358622.00","382408.00","471538.00","853946.00","5720008.00","184007.00","1887764.00","691152.00","-12185.00","8470746.00","--","--","33930.00","8504676.00","0.00","2112865.00","14.86"
"114/03/26","102","2","1201","味全","22687700.00","15101882.00","37789582.00","11451293.00","15225867.00","26677160.00","5060629.00","688.00","2914471.00","78562.00","--","8054350.00","--","--","3058072.00","11112422.00","0.00","0.00","15.92"
"114/03/26","102","2","1203","味王","3116113.00","4895125.00","8011238.00","1647933.00","1641265.00","3289198.00","2400000.00","36153.00","1527048.00","18768.00","-38464.00","3943505.00","--","--","778535.00","4722040.00","0.00","2293865.00","16.59"
"114/03/26","102","2","1210","大成","21422220.00","15373024.00","36795244.00","14574215.00","5216470.00","19790685.00","5664572.00","2326642.00","2571063.00","1091424.00","-306199.00","11347502.00","--","--","5657057.00","17004559.00","0.00","40688225.00","21.58"
"114/03/26","102","2","1213","大飲","381029.00","436111.00","817140.00","142086.00","37057.00","179143.00","514751.00","21938.00","101621.00","-313.00","--","637997.00","--","--","--","637997.00","0.00","0.00","12.39"
