出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","102","2","2880","華南金","44211252.00","123993029.00","49186505.00","84149160.00","--","517874.00","47660207.00","2051286.00","--","1360899674.00","2694849.00","291702665.00","78924.00","--","38152801.00","6806732.00","32570000.00","368851.00","2024525.00","3578984.00","2090647318.00","98227619.00","--","21628355.00","96414.00","27653661.00","3338285.00","47421731.00","1906974.00","--","1673263841.00","53240825.00","1170000.00","--","16015964.00","7441345.00","6099460.00","3265280.00","1960769754.00","90562816.00","17758986.00","24521330.00","-2967017.00","--","--","129876115.00","1449.00","129877564.00","0.00","0.00","15.06"
"114/03/26","102","2","2881","富邦金","141202319.00","133057468.00","97615263.00","1524720978.00","630617.00","74050430.00","124885545.00","1494875.00","--","1288087322.00","12247830.00","215865552.00","5078852.00","--","537691015.00","88318214.00","33046331.00","13439702.00","5738973.00","21670131.00","4318841417.00","74685907.00","--","39319830.00","2080308.00","42248367.00","5589492.00","97240892.00","5996852.00","--","1461433294.00","107767575.00","1100000.00","--","2013756296.00","168633918.00","2325023.00","13618047.00","4035795801.00","95351652.00","55785647.00","95481361.00","36426956.00","0.00","--","283045616.00","--","283045616.00","0.00","0.00","29.68"
"114/03/26","102","2","2882","國泰金","293907544.00","96294885.00","188012542.00","1333391213.00","1793051.00","14389293.00","138772681.00","4339185.00","--","1577827835.00","9989683.00","52323584.00","1575868.00","--","1703287197.00","215353951.00","71348968.00","8998270.00","16206833.00","26635475.00","5754448058.00","46082011.00","1506000.00","29918963.00","--","57979446.00","4630000.00","54031335.00","407569.00","--","1510325450.00","100240287.00","--","--","3310147714.00","373640105.00","12000150.00","12341975.00","5513251005.00","116119621.00","78508148.00","38612405.00","11383825.00","-7179872.00","--","237444127.00","3752926.00","241197053.00","0.00","200000000.00","22.26"
"114/03/26","102","2","2883","凱基金","24236363.00","47738761.00","70592775.00","106743060.00","40066.00","36488569.00","116690030.00","771030.00","--","86847940.00","--","--","7315972.00","450662.00","58153300.00","1707496.00","9520492.00","6593302.00","798435.00","18049344.00","592737597.00","4420013.00","--","15745591.00","84863.00","80922392.00","10742970.00","49101074.00","2166177.00","--","128206447.00","37032207.00","15523071.00","--","1046313.00","74215991.00","987773.00","10776087.00","430970969.00","150268236.00","542598.00","9918695.00","-3147644.00","-2170286.00","--","155411599.00","6355029.00","161766628.00","0.00","302586000.00","10.55"
"114/03/26","102","2","2884","玉山金","25920547.00","58660736.00","265869240.00","87095067.00","0.00","0.00","58693954.00","557011.00","--","790002451.00","--","9364298.00","--","--","6690359.00","718883.00","18649152.00","4177544.00","421772.00","2603199.00","1329424213.00","78179198.00","--","15168020.00","--","5489492.00","1998520.00","25302565.00","592186.00","--","1064047744.00","55600000.00","0.00","--","477687.00","2101404.00","787454.00","1377988.00","1251122258.00","55243000.00","14497390.00","7962326.00","599239.00","--","--","78301955.00","--","78301955.00","0.00","0.00","15.63"
"114/03/26","102","2","2885","元大金","24237628.00","79580846.00","87175697.00","76568765.00","--","3119995.00","94591399.00","1237601.00","1309054.00","379284869.00","--","2266618.00","911527.00","202519.00","37666417.00","3891560.00","12951938.00","25931759.00","793550.00","8512738.00","840234480.00","18724111.00","--","26843393.00","--","20620710.00","14011149.00","57252418.00","4732382.00","0.00","450037768.00","30943037.00","1995160.00","--","1505687.00","45394156.00","772043.00","9353601.00","682185615.00","98937235.00","33636779.00","18375035.00","4076815.00","0.00","--","155025864.00","3023001.00","158048865.00","0.00","0.00","15.67"
"114/03/26","102","2","2886","兆豐金","209314476.00","176040777.00","195342744.00","260134518.00","--","6925361.00","137550048.00","968475.00","64.00","1563463363.00","3436521.00","166295479.00","2736614.00","--","28035197.00","2209536.00","22214762.00","256367.00","3248716.00","8137905.00","2786310923.00","345562502.00","26900005.00","15510988.00","--","206809132.00","6258203.00","72689166.00","7221337.00","--","1790830585.00","55874079.00","5935135.00","--","22000177.00","10821043.00","1693505.00","9041334.00","2577147191.00","114498240.00","43425270.00","51414424.00","-460680.00","0.00","--","208877254.00","286478.00","209163732.00","0.00","0.00","18.24"
"114/03/26","102","2","2887","台新金","56582504.00","141565296.00","90680427.00","228224328.00","82629.00","6936868.00","98137437.00","1623794.00","--","1822578268.00","--","188438984.00","243235.00","--","27668792.00","11606932.00","41661573.00","21644880.00","8485925.00","8924019.00","2755085891.00","155606337.00","--","16917216.00","--","33873788.00","0.00","56573168.00","3813721.00","--","2170854589.00","90308743.00","646950.00","--","4314536.00","23152621.00","6455021.00","3892856.00","2566409546.00","82306368.00","9443781.00","12641940.00","318388.00","--","--","104710477.00","83965868.00","188676345.00","0.00","0.00","13.75"
"114/03/26","102","2","2888","新光金","52770340.00","117741686.00","61945166.00","373768898.00","--","9028637.00","62461035.00","3809002.00","77428.00","630133808.00","--","271344059.00","95786.00","--","664191298.00","124841695.00","25040559.00","3105146.00","16467179.00","22184037.00","2439005759.00","3484849.00","--","12856470.00","--","19722353.00","6347990.00","44512626.00","336978.00","--","543947478.00","32902615.00","7906048.00","1654000.00","1549879022.00","94655040.00","4646770.00","9893037.00","2332745276.00","88685282.00","9182207.00","29047626.00","-34029502.00","--","--","92885613.00","13374870.00","106260483.00","193707309.00","0.00","10.76"
"114/03/26","102","2","2889","國票金","1794701.00","510015.00","109141062.00","71368794.00","--","669753.00","16538171.00","641674.00","--","--","--","--","1423054.00","--","4325982.00","0.00","1988411.00","568038.00","30786.00","1634321.00","210634762.00","--","14268828.00","314403.00","--","149980898.00","4051335.00","7430458.00","96294.00","--","--","--","--","--","1485407.00","1309818.00","18643.00","132499.00","179088583.00","26280696.00","7544.00","1502836.00","348001.00","-485234.00","--","27653843.00","3892336.00","31546179.00","0.00","50000000.00","11.05"
"114/03/26","102","2","2890","永豐金","22909993.00","72069146.00","55271019.00","86403662.00","4893.00","1309155.00","129863772.00","430217.00","--","787810485.00","--","207131890.00","75669.00","--","28006579.00","1750395.00","14074321.00","3097909.00","2684931.00","12947346.00","1425841382.00","86858426.00","--","15246609.00","11528.00","15540072.00","18379657.00","36964058.00","839098.00","--","1064052512.00","42992670.00","15315357.00","18437.00","3054692.00","16507792.00","1219338.00","7016781.00","1324017027.00","82077358.00","1524439.00","17914868.00","307690.00","0.00","--","101824355.00","0.00","101824355.00","0.00","0.00","13.39"
"114/03/26","102","2","2891","中信金","72651842.00","148196372.00","109716544.00","465838119.00","1243667.00","2606202.00","164049786.00","1391542.00","--","1211295328.00","980455.00","44087086.00","2114267.00","--","20320123.00","2634724.00","42433318.00","13882080.00","2654648.00","15214024.00","2321310127.00","29540349.00","6467248.00","31611850.00","150651.00","73136782.00","1599726.00","70790658.00","2505745.00","--","1652976821.00","71138449.00","--","--","154339632.00","29217450.00","711220.00","11970586.00","2136157167.00","147129560.00","23848397.00","22309872.00","-8219712.00","--","--","185068117.00","84843.00","185152960.00","0.00","0.00","13.46"
"114/03/26","102","2","2892","第一金","56753485.00","143649643.00","24430700.00","100048281.00","0.00","2495101.00","71286962.00","2361700.00","--","1440244301.00","5029.00","262097394.00","1753538.00","--","23622323.00","7967285.00","27914801.00","261249.00","1638198.00","3836302.00","2170366292.00","120474272.00","71257.00","15328655.00","23713.00","7864813.00","4589743.00","83008092.00","2640058.00","--","1650337599.00","49700000.00","2989212.00","--","19099296.00","69401585.00","5742650.00","3274277.00","2034545222.00","86535092.00","18200167.00","27222604.00","3338202.00","--","--","135296065.00","525005.00","135821070.00","0.00","0.00","16.65"
"114/03/26","102","2","5880","合庫金","62880124.00","710894137.00","63063504.00","117284564.00","--","2905304.00","24554991.00","1483206.00","--","1812700351.00","15424.00","15250452.00","98718.00","--","124851111.00","1152029.00","39829717.00","3823067.00","1247799.00","2368663.00","2984403161.00","236597598.00","--","3202926.00","--","54541453.00","3744598.00","49323960.00","612182.00","--","2260647678.00","99380000.00","651000.00","--","66712911.00","58932767.00","3426325.00","1498754.00","2839272152.00","86142667.00","56125224.00","6162812.00","58517.00","-6417991.00","--","142071229.00","3059780.00","145131009.00","0.00","195234242.00","17.91"
