出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/03/26","102","4","2801","彰銀","46802014.00","84798723.00","60001473.00","62494.00","--","20208734.00","780220.00","--","1142867165.00","37884111.00","226989182.00","--","--","39272679.00","23935458.00","10937868.00","80006.00","3107599.00","2327815.00","1700055541.00","126829032.00","--","1715364.00","--","4504591.00","25233888.00","125334.00","--","1372890099.00","43322818.00","--","--","672028.00","3673201.00","6461749.00","2224107.00","1587652211.00","77490592.00","--","35279846.00","-367108.00","0.00","112403330.00","--","--","--","112403330.00","0.00","0.00","14.51"
"114/03/26","102","4","2809","京城銀","16328494.00","37713306.00","1544550.00","--","248029.00","1251865.00","--","--","107542844.00","33337378.00","6017544.00","--","--","6642016.00","2682595.00","--","--","222352.00","466658.00","213997631.00","15445318.00","3833600.00","93311.00","--","22652181.00","1079473.00","243698.00","--","145581326.00","0.00","--","--","1177.00","513153.00","79436.00","166984.00","189689657.00","12012343.00","178746.00","10689749.00","1427136.00","0.00","24307974.00","--","--","0.00","24307974.00","0.00","0.00","20.24"
"114/03/26","102","4","2812","台中銀","5590728.00","75496734.00","12195016.00","--","4550801.00","6485651.00","57372.00","0.00","362916674.00","19197158.00","3340584.00","142654.00","164290.00","1158259.00","3416335.00","--","97380.00","391478.00","1011621.00","496212735.00","8341508.00","4968239.00","74800.00","--","358769.00","4420341.00","292018.00","--","429704469.00","16042869.00","--","--","111741.00","348829.00","111021.00","400541.00","465175145.00","25345339.00","675435.00","5050993.00","-34177.00","--","31037590.00","--","--","--","31037590.00","0.00","0.00","12.25"
"114/03/26","102","4","2820","華票","286036.00","82362.00","111604771.00","--","1358800.00","1511909.00","88107.00","--","--","70195578.00","1844679.00","--","--","178792.00","166064.00","--","--","100354.00","921362.00","188338814.00","14220000.00","--","4315.00","--","150704136.00","1047266.00","0.00","--","--","--","--","--","--","1303496.00","0.00","111275.00","167390488.00","13429600.00","2474.00","7205420.00","310832.00","--","--","--","--","--","20948326.00","0.00","0.00","15.60"
"114/03/26","102","4","2834","臺企銀","32244163.00","68296127.00","2974594.00","--","20870025.00","14303296.00","546319.00","--","958077590.00","13045318.00","194434171.00","--","--","3325207.00","14298731.00","--","180839.00","2021651.00","1750045.00","1326368076.00","79079753.00","13000.00","280882.00","--","4199242.00","19752202.00","--","--","1095420273.00","51450000.00","--","--","14153582.00","3113241.00","880712.00","771621.00","1269114508.00","50941482.00","0.00","6408324.00","-96238.00","0.00","57253568.00","0.00","--","0.00","57253568.00","0.00","0.00","11.24"
"114/03/26","102","4","2836","高雄銀","3329141.00","23220274.00","1590421.00","--","3460558.00","757500.00","19862.00","--","178261475.00","19249602.00","0.00","--","--","1566331.00","2744082.00","--","41315.00","133821.00","58981.00","234433363.00","15024665.00","--","5621.00","--","68019.00","2747219.00","9811.00","--","198689944.00","6000000.00","--","--","138703.00","855490.00","--","144849.00","223684321.00","7210492.00","2016605.00","1608002.00","-86057.00","--","10749042.00","--","--","0.00","10749042.00","0.00","0.00","14.91"
"114/03/26","102","4","2838","聯邦銀","8227163.00","70874052.00","10115316.00","--","20237019.00","13917483.00","160672.00","--","227974804.00","8711283.00","440233.00","54294.00","--","57559287.00","7644442.00","2777603.00","2049795.00","2992503.00","6419023.00","440154972.00","5315113.00","--","16006.00","--","24582657.00","4267543.00","18954.00","--","364084582.00","7400000.00","--","--","2180986.00","769416.00","574580.00","2264761.00","411474598.00","22165251.00","34288.00","5391915.00","831878.00","--","28423332.00","--","--","257042.00","28680374.00","0.00","0.00","12.82"
"114/03/26","102","4","2845","遠東銀","4397645.00","88827255.00","18795444.00","111034.00","23006325.00","20672272.00","--","--","292517032.00","21735693.00","3105972.00","2365826.00","--","11226390.00","2814164.00","--","1830904.00","576972.00","206250.00","492189178.00","13782129.00","--","7288065.00","12631.00","--","13502992.00","10870.00","--","398305940.00","27103885.00","--","--","2060491.00","754125.00","--","414966.00","463236094.00","23621182.00","34923.00","5595176.00","-298197.00","--","28953084.00","--","--","--","28953084.00","0.00","0.00","12.26"
"114/03/26","102","4","2849","安泰銀","4193198.00","67398842.00","16697537.00","--","1773334.00","6371080.00","184523.00","0.00","185828247.00","58058353.00","--","--","--","786193.00","928296.00","--","259158.00","3553076.00","2214873.00","348246710.00","15404398.00","--","9758288.00","--","3994956.00","4336783.00","47450.00","--","276629149.00","10000000.00","--","1414865.00","883607.00","389638.00","45124.00","109688.00","323013946.00","16796775.00","1461505.00","7737481.00","-762997.00","0.00","25232764.00","--","--","0.00","25232764.00","0.00","0.00","15.02"
"114/03/26","102","4","2897","王道銀行","5219249.00","9202531.00","146282464.00","--","1358800.00","14918975.00","148287.00","--","115354251.00","86838448.00","2293502.00","394431.00","462193.00","2664823.00","2776274.00","--","1210533.00","539048.00","3365724.00","393029533.00","44990370.00","--","2399922.00","--","152552307.00","3405538.00","142647.00","--","120881706.00","11480000.00","--","--","11437995.00","1486399.00","81576.00","1275367.00","350133827.00","23905063.00","--","2727494.00","160136.00","-50620.00","26742073.00","--","--","16153633.00","42895706.00","7774000.00","0.00","11.22"
