出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","102","4","1101","台泥","87788055.00","194892684.00","282680739.00","70398494.00","58663668.00","129062162.00","36921759.00","12193297.00","47265512.00","16697377.00","--","113077945.00","--","--","40540632.00","153618577.00","0.00","0.00","30.63"
"114/03/26","102","4","1102","亞泥","65337233.00","150670197.00","216007430.00","61955511.00","46712879.00","108668390.00","32955365.00","1018079.00","46676663.00","8299190.00","--","88949297.00","--","--","18389743.00","107339040.00","0.00","0.00","26.99"
"114/03/26","102","4","1103","嘉泥","13570784.00","19803869.00","33374653.00","3287960.00","8588396.00","11876356.00","7768285.00","450521.00","9238855.00","2773856.00","-1149426.00","19082091.00","--","--","2416206.00","21498297.00","0.00","131226016.00","29.56"
"114/03/26","102","4","1104","環泥","2631135.00","15115848.00","17746983.00","1700449.00","1507385.00","3207834.00","6038919.00","26553.00","7271548.00","1029059.00","--","14366079.00","--","--","173070.00","14539149.00","0.00","0.00","23.79"
"114/03/26","102","4","1108","幸福","5593001.00","2990006.00","8583007.00","2236177.00","1943426.00","4179603.00","4047380.00","7.00","309849.00","32262.00","0.00","4389498.00","--","--","13906.00","4403404.00","0.00","0.00","10.85"
"114/03/26","102","4","1109","信大","3097944.00","6691292.00","9789236.00","1299038.00","1363834.00","2662872.00","4210008.00","22299.00","1794838.00","119409.00","0.00","6146554.00","--","--","979810.00","7126364.00","0.00","0.00","14.60"
"114/03/26","102","4","1110","東泥","1585835.00","7912704.00","9498539.00","340075.00","443665.00","783740.00","5720008.00","184707.00","1956322.00","831642.00","-12185.00","8680494.00","--","--","34305.00","8714799.00","0.00","2112865.00","15.23"
"114/03/26","102","4","1201","味全","21972928.00","16044922.00","38017850.00","17340009.00","9149746.00","26489755.00","5060629.00","688.00","3147132.00","103593.00","--","8312042.00","--","--","3216053.00","11528095.00","0.00","0.00","16.42"
"114/03/26","102","4","1203","味王","2762618.00","5053219.00","7815837.00","1265986.00","1652357.00","2918343.00","2400000.00","112965.00","1645880.00","941.00","-38464.00","4121322.00","--","--","776172.00","4897494.00","0.00","2293865.00","17.34"
"114/03/26","102","4","1210","大成","21218382.00","17239624.00","38458006.00","14983556.00","4686174.00","19669730.00","5664572.00","2320974.00","4098205.00","842959.00","-306199.00","12620511.00","--","--","6167765.00","18788276.00","0.00","40688225.00","24.00"
"114/03/26","102","4","1213","大飲","353774.00","453069.00","806843.00","118460.00","37634.00","156094.00","514751.00","21938.00","114367.00","-307.00","--","650749.00","--","--","--","650749.00","0.00","0.00","12.64"
