出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","103","1","1101","台泥","92121458.00","193640860.00","285762318.00","74388787.00","53118431.00","127507218.00","36921759.00","12195117.00","49098651.00","18879413.00","--","117094940.00","--","--","41160160.00","158255100.00","0.00","0.00","0.00","31.71"
"114/03/26","103","1","1102","亞泥","59219582.00","197138006.00","256357588.00","58466591.00","44451814.00","102918405.00","32955365.00","1102790.00","93608899.00","7739248.00","--","135406302.00","--","--","18032881.00","153439183.00","0.00","0.00","0.00","41.09"
"114/03/26","103","1","1103","嘉泥","12767191.00","21301587.00","34068778.00","4411382.00","8163488.00","12574870.00","7768285.00","450521.00","9117673.00","3282956.00","-1149426.00","19470009.00","--","--","2023899.00","21493908.00","0.00","0.00","131226016.00","30.16"
"114/03/26","103","1","1104","環泥","2536190.00","15526671.00","18062861.00","1648612.00","1503594.00","3152206.00","6038919.00","26553.00","7511209.00","1159736.00","--","14736417.00","--","--","174238.00","14910655.00","0.00","0.00","0.00","24.40"
"114/03/26","103","1","1108","幸福","5487153.00","2957839.00","8444992.00","2134938.00","1826009.00","3960947.00","4047380.00","7.00","382864.00","42128.00","0.00","4472379.00","--","--","11666.00","4484045.00","0.00","0.00","0.00","11.05"
"114/03/26","103","1","1109","信大","3190116.00","6608625.00","9798741.00","1440176.00","1135515.00","2575691.00","4210008.00","22299.00","1880558.00","112571.00","0.00","6225436.00","--","--","997614.00","7223050.00","0.00","0.00","0.00","14.79"
"114/03/26","103","1","1110","東泥","1744220.00","7988080.00","9732300.00","420617.00","445162.00","865779.00","5720008.00","184707.00","2024289.00","915192.00","-12185.00","8832011.00","--","--","34510.00","8866521.00","0.00","0.00","2112865.00","15.50"
"114/03/26","103","1","1201","味全","22487149.00","16675701.00","39162850.00","18983840.00","8427095.00","27410935.00","5060629.00","688.00","3403518.00","90522.00","--","8555357.00","--","--","3196558.00","11751915.00","0.00","0.00","0.00","16.91"
"114/03/26","103","1","1203","味王","3081351.00","5058273.00","8139624.00","1351717.00","1665819.00","3017536.00","2400000.00","112965.00","1731417.00","49784.00","-38464.00","4255702.00","--","--","866386.00","5122088.00","0.00","0.00","2293865.00","17.90"
"114/03/26","103","1","1210","大成","20971573.00","17601964.00","38573537.00","14316105.00","4839889.00","19155994.00","5664572.00","2320974.00","4455152.00","1014679.00","-306199.00","13149178.00","--","--","6268365.00","19417543.00","0.00","0.00","40688225.00","25.01"
"114/03/26","103","1","1213","大飲","374432.00","433228.00","807660.00","115623.00","37505.00","153128.00","514751.00","21938.00","118147.00","-304.00","--","654532.00","--","--","--","654532.00","0.00","0.00","0.00","12.72"
"114/03/26","103","1","1215","卜蜂","3878646.00","4891871.00","8770517.00","2907157.00","955703.00","3862860.00","2320268.00","967.00","1035182.00","1462944.00","--","4819361.00","--","--","88296.00","4907657.00","0.00","0.00","0.00","20.77"
"114/03/26","103","1","1216","統一","137440200.00","243912444.00","381352644.00","139555277.00","97934619.00","237489896.00","51542229.00","3880632.00","32851249.00","1977479.00","--","90251589.00","--","--","53611159.00","143862748.00","0.00","0.00","0.00","17.51"
"114/03/26","103","1","1217","愛之味","3478902.00","9646428.00","13125330.00","2950290.00","4510899.00","7461189.00","4976893.00","288197.00","-182977.00","-64956.00","-100582.00","4916575.00","--","--","747566.00","5664141.00","0.00","0.00","10484000.00","10.09"
