出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","103","3","1101","台泥","89472928.00","193149997.00","282622925.00","78920574.00","50291316.00","129211890.00","36921759.00","12226214.00","47018226.00","15333991.00","--","111500190.00","--","--","41910845.00","153411035.00","0.00","0.00","0.00","30.20"
"114/03/26","103","3","1102","亞泥","57967112.00","206017357.00","263984469.00","60537507.00","51289386.00","111826893.00","33614472.00","1073113.00","92772367.00","6354884.00","--","133814836.00","--","--","18342740.00","152157576.00","0.00","0.00","0.00","39.81"
"114/03/26","103","3","1103","嘉泥","12611511.00","21294423.00","33905934.00","6052018.00","8718498.00","14770516.00","7768285.00","570096.00","8530345.00","1482946.00","-1149426.00","17202246.00","--","--","1933172.00","19135418.00","0.00","0.00","131226016.00","26.65"
"114/03/26","103","3","1104","環泥","2502333.00","16063827.00","18566160.00","1885848.00","1507635.00","3393483.00","6159697.00","26553.00","7652999.00","1171403.00","--","15010652.00","--","--","162025.00","15172677.00","0.00","0.00","0.00","24.37"
"114/03/26","103","3","1108","幸福","5556970.00","2856680.00","8413650.00","2103436.00","1801963.00","3905399.00","4047380.00","7.00","433670.00","21092.00","0.00","4502149.00","--","--","6102.00","4508251.00","0.00","0.00","0.00","11.12"
"114/03/26","103","3","1109","信大","2595882.00","6506580.00","9102462.00","1796412.00","405994.00","2202406.00","4210008.00","22299.00","1520303.00","120068.00","0.00","5872678.00","--","--","1027378.00","6900056.00","0.00","0.00","0.00","13.95"
"114/03/26","103","3","1110","東泥","1720836.00","7926603.00","9647439.00","297820.00","447946.00","745766.00","5720008.00","184916.00","2009648.00","964883.00","-12185.00","8867270.00","--","--","34403.00","8901673.00","0.00","0.00","2112865.00","15.56"
"114/03/26","103","3","1201","味全","22519441.00","17284003.00","39803444.00","19765519.00","8307743.00","28073262.00","5060629.00","688.00","3218777.00","127475.00","--","8407569.00","--","--","3322613.00","11730182.00","0.00","0.00","0.00","16.61"
"114/03/26","103","3","1203","味王","3253739.00","4999518.00","8253257.00","1519086.00","1683607.00","3202693.00","2400000.00","112965.00","1600701.00","139326.00","-38464.00","4214528.00","--","--","836036.00","5050564.00","0.00","0.00","2293865.00","17.73"
"114/03/26","103","3","1210","大成","22735411.00","18123638.00","40859049.00","17367125.00","3723641.00","21090766.00","7363944.00","2377847.00","2999495.00","1128065.00","-306199.00","13563152.00","--","--","6205131.00","19768283.00","0.00","0.00","52894691.00","19.84"
"114/03/26","103","3","1213","大飲","452104.00","427842.00","879946.00","172102.00","37762.00","209864.00","514751.00","21938.00","132684.00","709.00","--","670082.00","--","--","--","670082.00","0.00","0.00","0.00","13.02"
"114/03/26","103","3","1215","卜蜂","4226876.00","5160661.00","9387537.00","3292097.00","875465.00","4167562.00","2436282.00","967.00","1080969.00","1597227.00","--","5115445.00","--","--","104530.00","5219975.00","0.00","0.00","0.00","21.00"
"114/03/26","103","3","1216","統一","143569409.00","251487809.00","395057218.00","150671507.00","101029078.00","251700585.00","54634763.00","3842581.00","27063620.00","2314556.00","--","87855520.00","--","--","55501113.00","143356633.00","0.00","0.00","0.00","16.08"
"114/03/26","103","3","1217","愛之味","3637032.00","10518586.00","14155618.00","4263100.00","3665703.00","7928803.00","4976893.00","335628.00","242473.00","-107725.00","-100582.00","5346687.00","--","--","880128.00","6226815.00","0.00","0.00","10484000.00","10.97"
"114/03/26","103","3","1218","泰山","3643985.00","5049828.00","8693813.00","2556008.00","2744402.00","5300410.00","3533360.00","23770.00","37815.00","-2376.00","-203876.00","3388693.00","0.00","--","4710.00","3393403.00","0.00","0.00","13680042.00","9.98"
"114/03/26","103","3","1219","福壽","3291707.00","2706345.00","5998052.00","923852.00","1333070.00","2256922.00","3131882.00","39004.00","553088.00","1038.00","--","3725012.00","--","--","16118.00","3741130.00","0.00","0.00","0.00","11.89"
"114/03/26","103","3","1220","台榮","1962329.00","1078782.00","3041111.00","527474.00","288453.00","815927.00","1770779.00","537.00","395892.00","-65452.00","0.00","2101756.00","--","--","123428.00","2225184.00","0.00","0.00","0.00","11.87"
"114/03/26","103","3","1225","福懋油","3442975.00","3040652.00","6483627.00","2703332.00","1027393.00","3730725.00","2112530.00","106252.00","231387.00","3743.00","--","2453912.00","--","--","298990.00","2752902.00","0.00","8258321.00","0.00","11.62"
"114/03/26","103","3","1227","佳格","11926901.00","4450130.00","16377031.00","4669593.00","300769.00","4970362.00","7206338.00","51331.00","3745806.00","286077.00","-21182.00","11268370.00","--","--","138299.00","11406669.00","0.00","0.00","5252215.00","15.75"
"114/03/26","103","3","1229","聯華","2918609.00","22560629.00","25479238.00","3409559.00","1122007.00","4531566.00","8545383.00","698545.00","8656084.00","2993854.00","-2393.00","20891473.00","--","--","56199.00","20947672.00","0.00","188300.00","94000.00","24.45"
