出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","103","2","1101","台泥","89163129.00","191450443.00","280613572.00","81190613.00","51926594.00","133117207.00","36921759.00","12227447.00","43802392.00","14928773.00","--","107880371.00","--","--","39615994.00","147496365.00","0.00","0.00","0.00","29.22"
"114/03/26","103","2","1102","亞泥","62134910.00","203535444.00","265670354.00","62611733.00","54799051.00","117410784.00","33614472.00","1103147.00","90752642.00","5251957.00","--","130722218.00","--","--","17537352.00","148259570.00","0.00","0.00","0.00","39.67"
"114/03/26","103","2","1103","嘉泥","12823227.00","20648812.00","33472039.00","6477182.00","8203210.00","14680392.00","7768285.00","450521.00","8376507.00","1440954.00","-1149426.00","16886841.00","--","--","1904806.00","18791647.00","0.00","0.00","131226016.00","26.16"
"114/03/26","103","2","1104","環泥","2895786.00","15629904.00","18525690.00","2266967.00","1505573.00","3772540.00","6159697.00","26553.00","7294906.00","1109700.00","--","14590856.00","--","--","162294.00","14753150.00","0.00","0.00","0.00","24.16"
"114/03/26","103","2","1108","幸福","5572577.00","2935530.00","8508107.00","2256891.00","1807217.00","4064108.00","4047380.00","7.00","352292.00","33488.00","0.00","4433167.00","--","--","10832.00","4443999.00","0.00","0.00","0.00","10.95"
"114/03/26","103","2","1109","信大","3346895.00","6505475.00","9852370.00","1943006.00","1106674.00","3049680.00","4210008.00","22299.00","1486854.00","67801.00","0.00","5786962.00","--","--","1015728.00","6802690.00","0.00","0.00","0.00","13.75"
"114/03/26","103","2","1110","東泥","1804814.00","7923195.00","9728009.00","412630.00","445567.00","858197.00","5720008.00","184916.00","1946398.00","996470.00","-12185.00","8835607.00","--","--","34205.00","8869812.00","0.00","0.00","2112865.00","15.50"
"114/03/26","103","2","1201","味全","23789373.00","16495781.00","40285154.00","19999752.00","8547341.00","28547093.00","5060629.00","688.00","3275372.00","48921.00","--","8385610.00","--","--","3352451.00","11738061.00","0.00","0.00","0.00","16.57"
"114/03/26","103","2","1203","味王","3318073.00","4993356.00","8311429.00","1716240.00","1669957.00","3386197.00","2400000.00","112965.00","1559268.00","89200.00","-38464.00","4122969.00","--","--","802263.00","4925232.00","0.00","0.00","2293865.00","17.34"
"114/03/26","103","2","1210","大成","22323981.00","17888473.00","40212454.00","15627957.00","5292572.00","20920529.00","7363944.00","2337200.00","2503297.00","1241482.00","-306199.00","13139724.00","--","--","6152201.00","19291925.00","0.00","0.00","40688225.00","24.99"
"114/03/26","103","2","1213","大飲","376391.00","428443.00","804834.00","113060.00","37511.00","150571.00","514751.00","21938.00","117884.00","-310.00","--","654263.00","--","--","--","654263.00","0.00","0.00","0.00","12.71"
"114/03/26","103","2","1215","卜蜂","4235700.00","4865143.00","9100843.00","3364293.00","913114.00","4277407.00","2436282.00","967.00","913020.00","1379973.00","--","4730242.00","--","--","93194.00","4823436.00","0.00","0.00","0.00","20.39"
"114/03/26","103","2","1216","統一","145442718.00","246157761.00","391600479.00","153674379.00","99955117.00","253629496.00","54634763.00","3844498.00","25124387.00","942318.00","--","84545966.00","--","--","53425017.00","137970983.00","0.00","0.00","0.00","16.40"
"114/03/26","103","2","1217","愛之味","3882127.00","10324598.00","14206725.00","3186171.00","4735077.00","7921248.00","4976893.00","339826.00","281347.00","-84854.00","-100582.00","5412630.00","--","--","872847.00","6285477.00","0.00","0.00","10484000.00","11.11"
"114/03/26","103","2","1218","泰山","3802611.00","5182863.00","8985474.00","2722144.00","2937415.00","5659559.00","3533360.00","23770.00","-34441.00","2426.00","-203876.00","3321239.00","0.00","--","4676.00","3325915.00","0.00","0.00","13680042.00","9.78"
"114/03/26","103","2","1219","福壽","3794127.00","2454657.00","6248784.00","1158261.00","1351946.00","2510207.00","3131882.00","39004.00","551653.00","-595.00","--","3721944.00","--","--","16633.00","3738577.00","0.00","0.00","0.00","11.88"
"114/03/26","103","2","1220","台榮","1921473.00","1086756.00","3008229.00","495589.00","289168.00","784757.00","1770779.00","537.00","378754.00","-56394.00","0.00","2093676.00","--","--","129796.00","2223472.00","0.00","0.00","0.00","11.82"
"114/03/26","103","2","1225","福懋油","3699073.00","3087913.00","6786986.00","2838810.00","1240272.00","4079082.00","2029947.00","90294.00","291840.00","-1247.00","--","2410834.00","--","--","297070.00","2707904.00","0.00","324998.00","0.00","11.88"
"114/03/26","103","2","1227","佳格","12026040.00","4413272.00","16439312.00","5512421.00","283281.00","5795702.00","7206338.00","43621.00","3044980.00","233132.00","-21182.00","10506889.00","--","--","136721.00","10643610.00","0.00","0.00","4818546.00","16.01"
"114/03/26","103","2","1229","聯華","3949378.00","23259507.00","27208885.00","4657745.00","1121107.00","5778852.00","8543500.00","710643.00","8217777.00","3894791.00","-2393.00","21364318.00","--","--","65715.00","21430033.00","0.00","659700.00","94000.00","25.01"
"114/03/26","103","2","1231","聯華食","2754419.00","3326754.00","6081173.00","2554118.00","1083145.00","3637263.00","1481131.00","72435.00","825362.00","41071.00","--","2419999.00","--","--","23911.00","2443910.00","0.00","0.00","0.00","18.30"
"114/03/26","103","2","1232","大統益","4128985.00","609614.00","4738599.00","1618080.00","105574.00","1723654.00","1599749.00","23784.00","1359174.00","-1937.00","--","2980770.00","--","--","34175.00","3014945.00","0.00","0.00","0.00","18.63"
"114/03/26","103","2","1233","天仁","802863.00","1219178.00","2022041.00","534297.00","144350.00","678647.00","905919.00","56075.00","400896.00","-26578.00","-3607.00","1332705.00","--","--","10689.00","1343394.00","0.00","0.00","78585.00","14.72"
"114/03/26","103","2","1234","黑松","7718652.00","14777811.00","22496463.00","2802770.00","2605103.00","5407873.00","4018711.00","184583.00","12781095.00","104201.00","0.00","17088590.00","--","--","0.00","17088590.00","0.00","0.00","0.00","42.52"
"114/03/26","103","2","1235","興泰","1563968.00","619559.00","2183527.00","926373.00","63003.00","989376.00","561688.00","27674.00","246703.00","368866.00","-11584.00","1193347.00","--","--","804.00","1194151.00","0.00","0.00","2131610.00","22.08"
"114/03/26","103","2","1236","宏亞","818564.00","2365631.00","3184195.00","613237.00","624629.00","1237866.00","1083425.00","33396.00","414996.00","414512.00","0.00","1946329.00","--","--","0.00","1946329.00","0.00","0.00","0.00","17.96"
"114/03/26","103","2","1256","鮮活果汁-KY","843318.00","414149.00","1257467.00","547433.00","42679.00","590112.00","246960.00","60109.00","344902.00","12842.00","--","664813.00","--","--","2542.00","667355.00","0.00","0.00","0.00","37.69"
