出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","103","2","2880","華南金","51402040.00","151169607.00","51680415.00","97938516.00","3363.00","421396.00","47794368.00","1744849.00","--","1398428285.00","2837573.00","251493687.00","76617.00","--","73797464.00","7811729.00","32426824.00","394923.00","2457530.00","3622426.00","2175501612.00","104401396.00","--","20629578.00","64856.00","28591214.00","4056109.00","34774333.00","1894376.00","--","1765371283.00","45842378.00","1574000.00","--","16182525.00","7087122.00","6101375.00","2772467.00","2039343012.00","93279700.00","17758986.00","26752503.00","-1634046.00","--","--","136157143.00","1457.00","136158600.00","0.00","0.00","0.00","15.03"
"114/03/26","103","2","2881","富邦金","168447311.00","159216772.00","107748438.00","1781571105.00","524606.00","70055362.00","179750224.00","942139.00","94166.00","1569422478.00","15221525.00","235176755.00","5337447.00","--","617993655.00","87390241.00","42371808.00","30167080.00","5546614.00","44379493.00","5121357219.00","110658221.00","--","47980175.00","1853027.00","91898020.00","5823522.00","100973926.00","5524865.00","--","1767923312.00","127496721.00","1100000.00","--","2284527807.00","185886426.00","8702229.00","13437523.00","4753785774.00","102336040.00","74446982.00","122421926.00","61009597.00","0.00","--","360214545.00","7356900.00","367571445.00","0.00","0.00","0.00","35.20"
"114/03/26","103","2","2882","國泰金","439314462.00","136630902.00","199076191.00","1375101005.00","921067.00","38211047.00","134123729.00","6532936.00","0.00","1777532902.00","6659756.00","62742329.00","4345561.00","--","1842622318.00","328761736.00","93456226.00","9266492.00","16068321.00","31730623.00","6503097603.00","66777514.00","1495750.00","16839141.00","0.00","65279312.00","12090000.00","65695591.00","176336.00","--","1626302712.00","107214791.00","--","--","3583478956.00","506753754.00","21937681.00","18182820.00","6092224358.00","125632102.00","88782304.00","143316028.00","47993571.00","0.00","0.00","405724005.00","5149240.00","410873245.00","0.00","0.00","0.00","33.91"
"114/03/26","103","2","2883","凱基金","39518557.00","56122192.00","118813658.00","106820537.00","0.00","38639831.00","135356284.00","632097.00","--","125043317.00","--","--","9055451.00","20520157.00","64876391.00","1770408.00","9095442.00","6598982.00","671046.00","7873040.00","741407390.00","4915702.00","--","23491753.00","43039.00","121568103.00","15409615.00","61309262.00","2312919.00","--","162080804.00","33604075.00","37908386.00","--","1136041.00","98535471.00","1210140.00","10180282.00","573705592.00","150369666.00","519008.00","13462802.00","-766503.00","-2170286.00","--","161414687.00","6287111.00","167701798.00","0.00","0.00","302586000.00","10.95"
"114/03/26","103","2","2884","玉山金","24254687.00","54910784.00","283439001.00","96280166.00","--","--","73290338.00","547740.00","--","884728900.00","--","8232883.00","--","--","56370751.00","433040.00","19974082.00","5479381.00","274788.00","3646797.00","1511863338.00","84314429.00","--","11710518.00","--","17503156.00","3069234.00","20691383.00","1045277.00","--","1212953878.00","52600000.00","358188.00","--","404444.00","3069253.00","774355.00","1708728.00","1410202843.00","70530000.00","19375697.00","10085834.00","969283.00","--","--","100960814.00","699681.00","101660495.00","0.00","0.00","0.00","15.62"
"114/03/26","103","2","2885","元大金","32447610.00","105813429.00","227571493.00","103442339.00","--","11801796.00","123237236.00","1719947.00","1305934.00","421991298.00","477597.00","33460911.00","2049060.00","2131466.00","69555562.00","11227325.00","13927374.00","27758797.00","3375853.00","13212797.00","1206507824.00","16575228.00","--","58988947.00","--","54682111.00","22789242.00","69343194.00","4606747.00","--","586586780.00","41817277.00","23270872.00","--","96779592.00","38578412.00","1410105.00","11509528.00","1026938035.00","101410666.00","33634947.00","25505354.00","3423513.00","0.00","--","163974480.00","15595309.00","179569789.00","0.00","0.00","0.00","16.57"
"114/03/26","103","2","2886","兆豐金","174195646.00","289669101.00","175725721.00","276349200.00","--","5641383.00","203644226.00","1301418.00","2582.00","1668969079.00","3481496.00","178963013.00","2679628.00","--","20699864.00","2310530.00","22041310.00","302060.00","3758271.00","4128228.00","3033862756.00","376096025.00","39510383.00","14326707.00","--","233201316.00","7187117.00","76253441.00","8295619.00","--","1915959215.00","61900000.00","10930120.00","--","21988779.00","11946570.00","2193326.00","7849328.00","2787637946.00","124498240.00","55274279.00","63850970.00","2418558.00","0.00","--","246042047.00","182763.00","246224810.00","0.00","0.00","0.00","19.76"
"114/03/26","103","2","2887","台新金","53505258.00","134625141.00","106452360.00","281299974.00","40385.00","354313.00","118490290.00","1258290.00","--","1959204680.00","--","184543904.00","73126.00","--","104918894.00","11767838.00","41653161.00","22004736.00","7209506.00","18927477.00","3046329333.00","207698778.00","447675.00","25939845.00","2292.00","63850250.00","460647.00","57451099.00","4534809.00","--","2294497695.00","108179189.00","4556117.00","--","4513774.00","52675015.00","6638806.00","5017710.00","2836463701.00","95628460.00","10615976.00","14815994.00","927912.00","0.00","--","121988342.00","87877290.00","209865632.00","0.00","3073000.00","0.00","13.92"
"114/03/26","103","2","2888","新光金","51691229.00","134633668.00","100357878.00","376741440.00","--","8394312.00","76313458.00","3453144.00","4985059.00","675525924.00","--","343425376.00","221126.00","--","685578408.00","121296478.00","24750943.00","3112655.00","14009051.00","30761006.00","2655251155.00","9088380.00","--","8463552.00","--","27726205.00","8996369.00","40027051.00","177923.00","--","603313600.00","35440089.00","4181630.00","0.00","1686059653.00","96927872.00","3574737.00","11194826.00","2535171887.00","98347538.00","9180681.00","28136608.00","-29719119.00","--","--","105945708.00","14133560.00","120079268.00","0.00","0.00","0.00","11.36"
"114/03/26","103","2","2889","國票金","2429174.00","85.00","115964194.00","81045172.00","--","818601.00","20578431.00","868116.00","--","--","--","--","1477687.00","--","4249506.00","--","1942441.00","540327.00","39353.00","1110200.00","231063287.00","--","15578706.00","240601.00","--","160763622.00","8890580.00","9452126.00","137207.00","--","--","--","--","--","1391866.00","1328701.00","20312.00","248111.00","198051832.00","26873652.00","7544.00","2209082.00","277130.00","-485234.00","--","28882174.00","4129281.00","33011455.00","0.00","0.00","50000000.00","11.20"
