出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","104","3","1101","台泥","90814601.00","205934003.00","296748604.00","70796103.00","68313122.00","139109225.00","36921759.00","12310531.00","44337361.00","15886581.00","--","109456232.00","--","--","48183147.00","157639379.00","--","0.00","0.00","29.65"
"114/03/26","104","3","1102","亞泥","65456341.00","222501014.00","287957355.00","69800135.00","57703783.00","127503918.00","33614472.00","1096249.00","91900694.00","14656162.00","--","141267577.00","--","--","19185860.00","160453437.00","--","0.00","0.00","42.03"
"114/03/26","104","3","1103","嘉泥","12540833.00","17057890.00","29598723.00","2670342.00","12838356.00","15508698.00","7768285.00","605968.00","7756185.00","-2592510.00","-1163291.00","12374637.00","--","--","1715388.00","14090025.00","--","0.00","132605016.00","19.21"
"114/03/26","104","3","1104","環泥","2830347.00","16899128.00","19729475.00","2242017.00","1506130.00","3748147.00","6282891.00","31494.00","8162274.00","1351094.00","--","15827753.00","--","--","153575.00","15981328.00","--","0.00","0.00","25.19"
"114/03/26","104","3","1108","幸福","5330369.00","2694925.00","8025294.00","2008351.00","1242329.00","3250680.00","4047380.00","8.00","673475.00","20316.00","0.00","4741179.00","--","--","33435.00","4774614.00","0.00","0.00","0.00","11.71"
"114/03/26","104","3","1109","信大","2803030.00","6450945.00","9253975.00","1511428.00","1300423.00","2811851.00","3789007.00","22299.00","1444945.00","180968.00","0.00","5437219.00","--","--","1004905.00","6442124.00","0.00","0.00","0.00","14.35"
"114/03/26","104","3","1110","東泥","1833526.00","7397521.00","9231047.00","281498.00","352135.00","633633.00","5720008.00","185126.00","1991201.00","678882.00","-12185.00","8563032.00","--","--","34382.00","8597414.00","--","0.00","2112865.00","15.03"
"114/03/26","104","3","1201","味全","23653314.00","15708657.00","39361971.00","23561999.00","6139490.00","29701489.00","5060629.00","688.00","1299265.00","313699.00","--","6674281.00","--","--","2986201.00","9660482.00","0.00","0.00","0.00","13.19"
"114/03/26","104","3","1203","味王","3519174.00","4828802.00","8347976.00","1429123.00","1712902.00","3142025.00","2400000.00","112965.00","1735782.00","102492.00","-38464.00","4312775.00","--","--","893176.00","5205951.00","0.00","0.00","2293865.00","18.14"
"114/03/26","104","3","1210","大成","21299264.00","19223179.00","40522443.00","15929809.00","4834131.00","20763940.00","7363944.00","2430782.00","2854589.00","1398058.00","-306199.00","13741174.00","--","--","6017329.00","19758503.00","--","0.00","52894691.00","20.10"
"114/03/26","104","3","1213","大飲","493550.00","405296.00","898846.00","169361.00","37651.00","207012.00","514751.00","21938.00","155451.00","-306.00","--","691834.00","--","--","--","691834.00","0.00","0.00","0.00","13.44"
"114/03/26","104","3","1215","卜蜂","4119658.00","5082343.00","9202001.00","3408446.00","677399.00","4085845.00","2679910.00","967.00","1301740.00","1015123.00","--","4997740.00","--","--","118416.00","5116156.00","0.00","0.00","0.00","18.65"
"114/03/26","104","3","1216","統一","141251915.00","262645917.00","403897832.00","156299653.00","90794351.00","247094004.00","56820154.00","3940601.00","31697909.00","4538989.00","--","96997653.00","--","--","59806175.00","156803828.00","0.00","0.00","0.00","17.07"
"114/03/26","104","3","1217","愛之味","2648787.00","8972260.00","11621047.00","3178429.00","2259241.00","5437670.00","4872053.00","370460.00","274089.00","-51661.00","0.00","5464941.00","--","--","718436.00","6183377.00","0.00","0.00","0.00","11.22"
"114/03/26","104","3","1218","泰山","3326323.00","4912164.00","8238487.00","2400403.00","2422852.00","4823255.00","3533360.00","23770.00","79568.00","-22545.00","-203876.00","3410277.00","0.00","--","4955.00","3415232.00","0.00","0.00","13680042.00","10.04"
"114/03/26","104","3","1219","福壽","3498915.00","3318430.00","6817345.00","1607746.00","1298677.00","2906423.00","3188256.00","36696.00","547493.00","4031.00","--","3776476.00","--","--","134446.00","3910922.00","0.00","0.00","0.00","11.84"
"114/03/26","104","3","1220","台榮","1925389.00","1088572.00","3013961.00","433520.00","300919.00","734439.00","1770779.00","631.00","421170.00","-73030.00","0.00","2119550.00","--","--","159972.00","2279522.00","--","0.00","0.00","11.97"
"114/03/26","104","3","1225","福懋油","3413892.00","2696675.00","6110567.00","1730104.00","1387185.00","3117289.00","2187030.00","121015.00","344518.00","20256.00","--","2672819.00","--","--","320459.00","2993278.00","--","0.00","0.00","12.22"
"114/03/26","104","3","1227","佳格","14569793.00","4854986.00","19424779.00","5854961.00","483225.00","6338186.00","7926972.00","63153.00","4492300.00","427973.00","-21182.00","12889216.00","--","--","197377.00","13086593.00","0.00","0.00","5777436.00","16.38"
"114/03/26","104","3","1229","聯華","2869901.00","21591425.00","24461326.00","3223020.00","1236352.00","4459372.00","8887198.00","674492.00","8616586.00","1731027.00","-2393.00","19906910.00","--","--","95044.00","20001954.00","--","0.00","98000.00","22.40"
"114/03/26","104","3","1231","聯華食","2963490.00","3510054.00","6473544.00","2070812.00","1676237.00","3747049.00","1481131.00","72435.00","1102469.00","52391.00","--","2708426.00","--","--","18069.00","2726495.00","--","0.00","0.00","18.29"
"114/03/26","104","3","1232","大統益","3825957.00","612842.00","4438799.00","867884.00","100323.00","968207.00","1599749.00","23784.00","1807379.00","0.00","--","3430912.00","--","--","39680.00","3470592.00","0.00","0.00","0.00","21.45"
"114/03/26","104","3","1233","天仁","685264.00","1242232.00","1927496.00","420340.00","125986.00","546326.00","905919.00","54263.00","462920.00","-43538.00","-2754.00","1376810.00","--","--","4360.00","1381170.00","0.00","0.00","60000.00","15.21"
"114/03/26","104","3","1234","黑松","7333670.00","14466304.00","21799974.00","1681681.00","2676712.00","4358393.00","4018711.00","184583.00","13127709.00","110578.00","0.00","17441581.00","--","--","0.00","17441581.00","0.00","0.00","0.00","43.40"
"114/03/26","104","3","1235","興泰","1988394.00","621458.00","2609852.00","1239041.00","62192.00","1301233.00","606623.00","41515.00","209064.00","461222.00","-9953.00","1308471.00","--","--","148.00","1308619.00","--","0.00","1831610.00","24.08"
"114/03/26","104","3","1236","宏亞","758160.00","2264104.00","3022264.00","523579.00","844007.00","1367586.00","1083425.00","33396.00","379532.00","158325.00","0.00","1654678.00","--","--","0.00","1654678.00","0.00","0.00","0.00","15.27"
"114/03/26","104","3","1256","鮮活果汁-KY","1117143.00","635481.00","1752624.00","742280.00","95429.00","837709.00","271656.00","60109.00","495447.00","70438.00","0.00","897650.00","--","--","17265.00","914915.00","0.00","0.00","0.00","33.04"
"114/03/26","104","3","1301","台塑","150222229.00","272055906.00","422278135.00","63996119.00","85974928.00","149971047.00","63657408.00","11443725.00","142696776.00","54509179.00","--","272307088.00","--","--","--","272307088.00","0.00","0.00","0.00","42.78"
"114/03/26","104","3","1303","南亞","215033477.00","307337519.00","522370996.00","82282701.00","112223214.00","194505915.00","79308216.00","23389013.00","166030586.00","45564234.00","0.00","314292049.00","--","--","13573032.00","327865081.00","0.00","0.00","0.00","39.63"
"114/03/26","104","3","1304","台聚","30422973.00","27037047.00","57460020.00","14798436.00","11836538.00","26634974.00","11426024.00","197779.00","5750957.00","-30706.00","-475606.00","16868448.00","--","--","13956598.00","30825046.00","--","0.00","111943075.00","16.37"
"114/03/26","104","3","1305","華夏","6122927.00","5937717.00","12060644.00","2851879.00","2701794.00","5553673.00","4683034.00","8224.00","1467480.00","59153.00","--","6217891.00","0.00","--","289080.00","6506971.00","0.00","0.00","0.00","13.28"
"114/03/26","104","3","1307","三芳","7943414.00","6305303.00","14248717.00","3606212.00","2413510.00","6019722.00","3862312.00","137866.00","3725383.00","503434.00","--","8228995.00","--","--","--","8228995.00","--","0.00","0.00","21.31"
"114/03/26","104","3","1308","亞聚","2250608.00","7620831.00","9871439.00","853989.00","354424.00","1208413.00","4931607.00","14116.00","3785771.00","-68468.00","0.00","8663026.00","--","--","0.00","8663026.00","0.00","0.00","0.00","17.57"
"114/03/26","104","3","1309","台達化","5966852.00","3573337.00","9540189.00","4028002.00","2047578.00","6075580.00","3276518.00","473.00","-24357.00","211975.00","--","3464609.00","--","--","--","3464609.00","0.00","0.00","0.00","10.57"
"114/03/26","104","3","1310","台苯","3946356.00","6966010.00","10912366.00","2792155.00","1794885.00","4587040.00","5278698.00","84646.00","1020194.00","-513495.00","0.00","5870043.00","--","--","455283.00","6325326.00","0.00","0.00","0.00","11.12"
"114/03/26","104","3","1312","國喬","6462042.00","16761755.00","23223797.00","2389995.00","1829102.00","4219097.00","9266203.00","115935.00","6427808.00","1051029.00","-199604.00","16661371.00","--","--","2343329.00","19004700.00","0.00","0.00","8254473.00","18.14"
"114/03/26","104","3","1313","聯成","23582208.00","18984746.00","42566954.00","16363423.00","7629680.00","23993103.00","11712366.00","1111644.00","4342238.00","1597381.00","-189778.00","18573851.00","--","--","0.00","18573851.00","0.00","0.00","18417000.00","16.11"
"114/03/26","104","3","1314","中石化","15759824.00","59436592.00","75196416.00","4516800.00","17071070.00","21587870.00","23199897.00","18141.00","31156549.00","-986607.00","--","53387980.00","--","--","220566.00","53608546.00","0.00","0.00","0.00","23.01"
"114/03/26","104","3","1315","達新","3738782.00","5211752.00","8950534.00","1110725.00","1071404.00","2182129.00","1980000.00","70498.00","3627054.00","1204285.00","-118879.00","6762958.00","0.00","--","5447.00","6768405.00","0.00","0.00","7137000.00","35.43"
"114/03/26","104","3","1316","上曜","2785693.00","621423.00","3407116.00","832451.00","661674.00","1494125.00","1699079.00","129080.00","-568779.00","-8235.00","-20541.00","1230604.00","0.00","--","682387.00","1912991.00","0.00","0.00","8301000.00","7.61"
"114/03/26","104","3","1319","東陽","9887606.00","25115275.00","35002881.00","8700915.00","7667482.00","16368397.00","5914771.00","4149257.00","7145818.00","417209.00","--","17627055.00","--","--","1007429.00","18634484.00","0.00","0.00","0.00","29.80"
"114/03/26","104","3","1321","大洋","1422748.00","8949088.00","10371836.00","1105066.00","4239012.00","5344078.00","2272283.00","7792.00","2777031.00","6841.00","-36189.00","5027758.00","--","--","--","5027758.00","0.00","0.00","6542716.00","22.78"
"114/03/26","104","3","1323","永裕","1930487.00","1678211.00","3608698.00","512805.00","1189111.00","1701916.00","912745.00","55817.00","653534.00","75523.00","-2813.00","1694806.00","--","--","211976.00","1906782.00","0.00","0.00","1200017.00","18.82"
"114/03/26","104","3","1324","地球","911569.00","418066.00","1329635.00","262083.00","83557.00","345640.00","751219.00","0.00","208990.00","23786.00","0.00","983995.00","--","--","0.00","983995.00","0.00","0.00","0.00","13.10"
"114/03/26","104","3","1325","恆大","1101823.00","986162.00","2087985.00","70262.00","85888.00","156150.00","1003308.00","2954.00","809559.00","18952.00","0.00","1834773.00","--","--","97062.00","1931835.00","0.00","0.00","0.00","18.29"
"114/03/26","104","3","1326","台化","211822733.00","304634704.00","516457437.00","95044374.00","105468264.00","200512638.00","58611863.00","8841002.00","133129307.00","66654887.00","-352309.00","266884750.00","--","--","49060049.00","315944799.00","0.00","0.00","18036610.00","45.67"
"114/03/26","104","3","1337","再生-KY","4014402.00","7914667.00","11929069.00","1358765.00","73699.00","1432464.00","2595884.00","2949789.00","3930008.00","1020924.00","0.00","10496605.00","--","--","--","10496605.00","--","0.00","0.00","40.44"
"114/03/26","104","3","1338","廣華-KY","5458251.00","3491219.00","8949470.00","2289296.00","129790.00","2419086.00","838400.00","2787090.00","2254140.00","517388.00","0.00","6397018.00","--","--","133366.00","6530384.00","0.00","0.00","0.00","76.30"
"114/03/26","104","3","1339","昭輝","1613071.00","3312456.00","4925527.00","942942.00","933979.00","1876921.00","759259.00","1191890.00","943424.00","31989.00","-64964.00","2861598.00","--","--","187008.00","3048606.00","--","0.00","1187000.00","38.29"
"114/03/26","104","3","1340","勝悅-KY","6025850.00","301343.00","6327193.00","695376.00","7492.00","702868.00","1148932.00","2540814.00","1528968.00","405611.00","--","5624325.00","--","--","--","5624325.00","--","0.00","0.00","48.95"
"114/03/26","104","3","1402","遠東新","109921253.00","407224799.00","517146052.00","104440656.00","148706270.00","253146926.00","53528751.00","2731027.00","137461257.00","7715799.00","-25063.00","201411771.00","--","--","62587355.00","263999126.00","--","0.00","779000.00","37.63"
"114/03/26","104","3","1410","南染","690261.00","825849.00","1516110.00","103653.00","195948.00","299601.00","720000.00","21784.00","439648.00","-13802.00","--","1167630.00","--","--","48879.00","1216509.00","0.00","0.00","0.00","16.22"
"114/03/26","104","3","1413","宏洲","999387.00","1553713.00","2553100.00","1172127.00","571839.00","1743966.00","1321124.00","0.00","-511990.00","0.00","0.00","809134.00","--","--","0.00","809134.00","0.00","0.00","0.00","6.12"
"114/03/26","104","3","1414","東和","749712.00","3943024.00","4692736.00","848691.00","799245.00","1647936.00","2200000.00","0.00","993218.00","-148418.00","0.00","--","--","--","--","3044800.00","0.00","0.00","0.00","13.84"
"114/03/26","104","3","1416","廣豐","4790944.00","6363863.00","11154807.00","4102430.00","1906089.00","6008519.00","2640202.00","866184.00","1127492.00","510730.00","-16096.00","5128512.00","--","--","17776.00","5146288.00","0.00","0.00","3219120.00","19.66"
"114/03/26","104","3","1417","嘉裕","3662868.00","2558765.00","6221633.00","1540671.00","246602.00","1787273.00","3798837.00","--","-8588.00","644111.00","--","4434360.00","--","--","--","4434360.00","--","0.00","0.00","11.67"
"114/03/26","104","3","1418","東華","499824.00","1395686.00","1895510.00","960606.00","348773.00","1309379.00","1319276.00","8005.00","-583519.00","-59012.00","-98717.00","586033.00","--","--","98.00","586131.00","0.00","0.00","8733000.00","4.76"
"114/03/26","104","3","1419","新紡","1848691.00","9295613.00","11144304.00","3234884.00","854732.00","4089616.00","3000413.00","1610.00","1897492.00","2105076.00","-13174.00","6991417.00","0.00","--","63271.00","7054688.00","0.00","0.00","803829.00","23.36"
"114/03/26","104","3","1423","利華","1387774.00","1468034.00","2855808.00","21806.00","235223.00","257029.00","1730000.00","122705.00","405961.00","340113.00","0.00","--","--","--","--","2598779.00","--","0.00","0.00","15.02"
"114/03/26","104","3","1432","大魯閣","1284103.00","3935579.00","5219682.00","1275455.00","1462302.00","2737757.00","1662834.00","509429.00","-26719.00","72873.00","-70174.00","2148243.00","--","--","333682.00","2481925.00","0.00","0.00","3500000.00","13.20"
"114/03/26","104","3","1434","福懋","22701887.00","56713061.00","79414948.00","10857563.00","13402075.00","24259638.00","16846646.00","21411.00","11303033.00","23765870.00","-22285.00","51914675.00","--","--","3240635.00","55155310.00","0.00","0.00","2563228.00","30.86"
"114/03/26","104","3","1435","中福","395660.00","721083.00","1116743.00","2851.00","168001.00","170852.00","1397801.00","1302.00","-293921.00","0.00","-159275.00","945907.00","--","--","-16.00","945891.00","--","0.00","14424000.00","7.55"
"114/03/26","104","3","1436","華友聯","6108646.00","380900.00","6489546.00","3890734.00","364427.00","4255161.00","690000.00","245201.00","1299184.00","0.00","--","2234385.00","--","--","--","2234385.00","0.00","0.00","0.00","32.38"
"114/03/26","104","3","1437","勤益控","1158207.00","8209182.00","9367389.00","471324.00","4168488.00","4639812.00","2026899.00","314688.00","2238797.00","196390.00","-79510.00","4697264.00","--","--","30313.00","4727577.00","0.00","0.00","4524000.00","23.70"
"114/03/26","104","3","1438","三地開發","623774.00","1097.00","624871.00","2070.00","68800.00","70870.00","1024115.00","81330.00","-551444.00","0.00","0.00","--","--","--","--","554001.00","0.00","0.00","0.00","5.41"
"114/03/26","104","3","1439","雋揚","1379835.00","768850.00","2148685.00","14484.00","149826.00","164310.00","920000.00","8686.00","1055689.00","0.00","0.00","--","--","--","--","1984375.00","0.00","0.00","0.00","21.57"
"114/03/26","104","3","1440","南紡","8478338.00","32543339.00","41021677.00","7745519.00","7396660.00","15142179.00","16568159.00","75112.00","7764315.00","960663.00","--","25368249.00","--","--","511249.00","25879498.00","0.00","0.00","0.00","15.31"
"114/03/26","104","3","1441","大東","769791.00","2009201.00","2778992.00","811444.00","1150582.00","1962026.00","897991.00","16841.00","-108786.00","10920.00","0.00","816966.00","--","--","--","816966.00","0.00","0.00","0.00","9.10"
"114/03/26","104","3","1442","名軒","14022839.00","389031.00","14411870.00","5019421.00","4587268.00","9606689.00","2439839.00","873631.00","1487415.00","4296.00","--","4805181.00","--","--","--","4805181.00","--","0.00","0.00","19.69"
"114/03/26","104","3","1443","立益物流","1780169.00","3038457.00","4818626.00","2870516.00","919572.00","3790088.00","1353430.00","701.00","852.00","-105065.00","-9056.00","1240862.00","--","--","-212324.00","1028538.00","0.00","0.00","460610.00","9.20"
"114/03/26","104","3","1444","力麗","5883114.00","11428844.00","17311958.00","4571871.00","681958.00","5253829.00","9573029.00","40841.00","1508099.00","103644.00","-28470.00","11197143.00","--","--","860986.00","12058129.00","--","0.00","10774028.00","11.83"
"114/03/26","104","3","1445","大宇","1170762.00","1168144.00","2338906.00","170728.00","214436.00","385164.00","1386670.00","172064.00","323191.00","71817.00","0.00","1953742.00","--","--","0.00","1953742.00","0.00","0.00","0.00","14.09"
"114/03/26","104","3","1446","宏和","3070414.00","738454.00","3808868.00","352511.00","1626665.00","1979176.00","1386215.00","297632.00","171728.00","-12062.00","-13821.00","1829692.00","--","--","0.00","1829692.00","0.00","0.00","728000.00","13.27"
"114/03/26","104","3","1447","力鵬","10927209.00","10054712.00","20981921.00","8483649.00","1769137.00","10252786.00","9144872.00","77993.00","1576267.00","-403021.00","-357738.00","10038373.00","--","--","690762.00","10729135.00","--","0.00","82948106.00","12.07"
"114/03/26","104","3","1449","佳和","2410369.00","3002805.00","5413174.00","2103499.00","2205868.00","4309367.00","1200000.00","40224.00","-765416.00","398087.00","-14323.00","858572.00","0.00","--","245235.00","1103807.00","--","0.00","318665.00","7.17"
"114/03/26","104","3","1451","年興","7641476.00","5859583.00","13501059.00","2113951.00","1635595.00","3749546.00","4000000.00","410589.00","5220845.00","48455.00","--","9679889.00","--","--","71624.00","9751513.00","--","0.00","0.00","24.20"
"114/03/26","104","3","1452","宏益","1651727.00","1043293.00","2695020.00","208253.00","60503.00","268756.00","1326414.00","151649.00","928762.00","19439.00","--","--","--","--","--","2426264.00","0.00","0.00","0.00","18.29"
"114/03/26","104","3","1453","大將","725393.00","414513.00","1139906.00","71474.00","54910.00","126384.00","879164.00","2762.00","125939.00","-6755.00","0.00","1001110.00","--","--","12412.00","1013522.00","--","0.00","0.00","11.39"
"114/03/26","104","3","1454","台富","1138255.00","953449.00","2091704.00","272531.00","120012.00","392543.00","1403098.00","67094.00","177333.00","128655.00","-77032.00","1699148.00","--","--","13.00","1699161.00","--","0.00","7714103.00","12.81"
"114/03/26","104","3","1455","集盛","5130783.00","7232139.00","12362922.00","3022181.00","1884056.00","4906237.00","6117634.00","360356.00","977934.00","761.00","--","7456685.00","--","--","--","7456685.00","--","0.00","0.00","12.19"
"114/03/26","104","3","1456","怡華","2415424.00","2046196.00","4461620.00","3193830.00","329476.00","3523306.00","2130000.00","23093.00","-1260941.00","46162.00","--","938314.00","--","--","--","938314.00","0.00","0.00","0.00","4.41"
"114/03/26","104","3","1457","宜進","2650671.00","9509979.00","12160650.00","3087710.00","2679638.00","5767348.00","3351640.00","306284.00","505168.00","137658.00","-282628.00","4018122.00","--","--","2375180.00","6393302.00","0.00","0.00","72362089.00","15.29"
"114/03/26","104","3","1459","聯發","2769475.00","4170090.00","6939565.00","2274513.00","1165306.00","3439819.00","3586289.00","314504.00","807116.00","-846963.00","-514925.00","3346021.00","--","--","153725.00","3499746.00","0.00","0.00","41344531.00","10.55"
"114/03/26","104","3","1460","宏遠","5317050.00","3875698.00","9192748.00","3171428.00","1328508.00","4499936.00","4711891.00","62039.00","372046.00","12503.00","-465679.00","4692800.00","--","--","12.00","4692812.00","--","0.00","33706585.00","10.73"
"114/03/26","104","3","1463","強盛新","2307951.00","1096505.00","3404456.00","1260636.00","117199.00","1377835.00","1732684.00","179073.00","134926.00","7088.00","-124693.00","1929078.00","--","--","97543.00","2026621.00","0.00","0.00","11447523.00","11.92"
