出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/03/26","104","2","2801","彰銀","38861339.00","102702321.00","40280660.00","26317.00","--","20162581.00","259652.00","--","1287286985.00","67902797.00","194204103.00","--","--","46128658.00","23018788.00","11674723.00","459250.00","2653229.00","512765.00","1836134168.00","116953775.00","1020195.00","19243196.00","0.00","5675536.00","26279802.00","432541.00","--","1485055689.00","43347070.00","--","--","1043434.00","3957629.00","6690649.00","2851032.00","1712550548.00","84573232.00","--","38589533.00","420855.00","0.00","123583620.00","--","--","--","123583620.00","0.00","0.00","0.00","15.64"
"114/03/26","104","2","2809","京城銀","11201088.00","31347249.00","4587856.00","--","2485514.00","1005727.00","--","--","124787384.00","58899602.00","0.00","--","--","3934062.00","2544605.00","--","--","258738.00","705059.00","241756884.00","20549641.00","3573050.00","258929.00","--","21160434.00","3198727.00","459120.00","--","163361501.00","--","--","--","0.00","465686.00","71927.00","290791.00","213389806.00","12012343.00","178746.00","14651609.00","1524380.00","--","28367078.00","--","--","0.00","28367078.00","0.00","0.00","0.00","23.61"
"114/03/26","104","2","2812","台中銀","8605431.00","81276558.00","22846638.00","0.00","4279554.00","7096057.00","1164.00","0.00","381978165.00","19765587.00","3943896.00","139702.00","362992.00","1021051.00","9164576.00","0.00","156769.00","537698.00","1483754.00","542659592.00","15863765.00","3806220.00","296517.00","0.00","1022713.00","4961436.00","263115.00","0.00","463257911.00","14400000.00","0.00","0.00","304733.00","785826.00","111021.00","523927.00","505597184.00","30340027.00","683751.00","5893227.00","145403.00","0.00","37062408.00","--","--","0.00","37062408.00","0.00","0.00","0.00","13.00"
"114/03/26","104","2","2820","華票","302998.00","0.00","111571505.00","--","2750996.00","1215856.00","90517.00","--","--","74092170.00","119596.00","--","--","178802.00","161053.00","--","--","106720.00","885966.00","191476179.00","14120000.00","--","2264.00","--","152448536.00","2019403.00","23998.00","--","--","--","--","--","--","1448181.00","8766.00","83962.00","170155110.00","13429600.00","2474.00","7474726.00","414269.00","0.00","--","0.00","--","--","21321069.00","0.00","0.00","0.00","15.88"
"114/03/26","104","2","2834","臺企銀","52033756.00","75850559.00","3091843.00","--","60055.00","23508123.00","141143.00","--","1003951513.00","18039181.00","194574944.00","306130.00","--","3278131.00","14051492.00","--","123680.00","1748084.00","2314515.00","1393073149.00","77658004.00","0.00","219633.00","--","4772859.00","26795807.00","--","--","1157071440.00","41600000.00","--","--","15247857.00","2997033.00","883359.00","786015.00","1328032007.00","56846618.00","0.00","8369979.00","-175455.00","0.00","65041142.00","0.00","--","0.00","65041142.00","0.00","0.00","0.00","12.28"
"114/03/26","104","2","2836","高雄銀","3111857.00","19257404.00","6514526.00","--","11609697.00","992602.00","23593.00","--","177410007.00","29786473.00","7808142.00","--","--","1918201.00","2969675.00","--","76155.00","201641.00","98343.00","261778316.00","8959601.00","--","1288.00","--","46627.00","2560225.00","37517.00","--","230239394.00","7000000.00","--","--","176400.00","976824.00","--","133028.00","250130904.00","7788659.00","1872395.00","1964989.00","21369.00","--","11647412.00","--","--","0.00","11647412.00","0.00","0.00","0.00","15.73"
"114/03/26","104","2","2838","聯邦銀","8489762.00","65312825.00","23602623.00","--","24865797.00","15163297.00","305494.00","--","268098306.00","16768273.00","1780015.00","53987.00","--","59101544.00","7738019.00","3643655.00","2154895.00","2186127.00","7079873.00","506344492.00","9395437.00","--","78521.00","--","32777630.00","4253149.00","19619.00","--","409625311.00","9600000.00","559132.00","--","2704692.00","980000.00","677315.00","2526128.00","473196934.00","26049374.00","33006.00","5377790.00","1438092.00","--","32898262.00","--","--","249296.00","33147558.00","--","0.00","0.00","13.42"
"114/03/26","104","2","2845","遠東銀","7006998.00","77987793.00","21402372.00","11516.00","14909686.00","22916493.00","4919.00","--","332036824.00","41106387.00","3266077.00","1579459.00","--","10833001.00","2839709.00","--","1788792.00","734266.00","155124.00","538579416.00","14667624.00","--","9232991.00","4512.00","12188813.00","7179143.00","221974.00","--","430446223.00","23007531.00","--","--","2977176.00","984688.00","--","521207.00","501431882.00","30332430.00","459918.00","6566900.00","-211714.00","--","37147534.00","--","--","--","37147534.00","--","0.00","0.00","12.98"
"114/03/26","104","2","2849","安泰銀","5775456.00","56090042.00","20366916.00","--","548514.00","6764765.00","266696.00","--","190937534.00","38351872.00","465900.00","--","--","490353.00","956644.00","--","228830.00","2843816.00","3233577.00","327320915.00","7307934.00","--","6140824.00","--","8809538.00","4231827.00","219854.00","--","258743151.00","10000000.00","--","1414865.00","1530822.00","414234.00","42623.00","135717.00","298991389.00","16796775.00","1461505.00","10284264.00","-213018.00","0.00","28329526.00","--","--","0.00","28329526.00","0.00","0.00","0.00","16.87"
"114/03/26","104","2","2897","王道銀行","5449741.00","14392186.00","149312953.00","--","2750996.00","20132390.00","117792.00","--","138417721.00","100475605.00","9969124.00","190487.00","474838.00","2321032.00","2924643.00","8220.00","1255610.00","511333.00","4134566.00","452839237.00","51977768.00","--","4747437.00","--","153957494.00","6863632.00","194733.00","--","153535855.00","14980000.00","--","--","18512741.00","1676567.00","151513.00","1503947.00","408101687.00","23905063.00","1773.00","4175910.00","559966.00","-18693.00","28624019.00","--","--","16113531.00","44737550.00","0.00","2869000.00","0.00","11.99"
