出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","105","1","2880","華南金","31726894.00","204005015.00","61479346.00","129256277.00","154.00","497554.00","51304663.00","981442.00","--","1483970752.00","3644581.00","311986269.00","61156.00","--","67940004.00","9685518.00","32360933.00","488633.00","1946692.00","2527063.00","2393862946.00","106027107.00","--","21766736.00","33619.00","25880139.00","14041153.00","30228517.00","2239543.00","--","1934858215.00","50545426.00","1463898.00","--","17237663.00","23488555.00","6116763.00","3156941.00","2237084275.00","99063042.00","17758986.00","38821442.00","1133660.00","--","--","156777130.00","1541.00","156778671.00","--","0.00","0.00","15.83"
"114/03/26","105","1","2881","富邦金","183064356.00","210769288.00","166177385.00","1635754273.00","1328023.00","122027834.00","152188603.00","2371222.00","49612.00","1655994554.00","20008680.00","324648610.00","23768240.00","--","1150731308.00","178563787.00","54744604.00","30034483.00","8332072.00","64626332.00","5985183266.00","107799603.00","7342458.00","70601337.00","2770157.00","108980155.00","3209251.00","86850377.00","6143934.00","--","2002862158.00","151373515.00","1400000.00","--","2821984216.00","172165953.00","14733076.00","19900350.00","5578116540.00","102336040.00","74449718.00","220360998.00","1434814.00","--","--","398581570.00","8485156.00","407066726.00","0.00","0.00","0.00","38.95"
"114/03/26","105","1","2882","國泰金","273432811.00","112690284.00","339029155.00","1365353120.00","490781.00","57155937.00","140481692.00","4693550.00","--","1826552910.00","8329836.00","74099404.00","26397586.00","--","2797401004.00","381200354.00","97719277.00","60301855.00","12431896.00","58922648.00","7636684100.00","62544383.00","0.00","98632682.00","--","44705132.00","35957885.00","50189989.00","946549.00","--","1880240144.00","71800000.00","--","--","4323295118.00","548449945.00","29869368.00","19083179.00","7165714374.00","125632102.00","88781174.00","238362260.00","11981788.00","--","--","464757324.00","6212402.00","470969726.00","0.00","0.00","0.00","36.99"
"114/03/26","105","1","2883","凱基金","24723408.00","65444068.00","184756092.00","79222112.00","--","42643814.00","106681793.00","1027411.00","--","224291716.00","--","300000.00","11464947.00","27966483.00","59922286.00","2045053.00","14646189.00","8427490.00","5556594.00","17998200.00","877117656.00","4284054.00","--","46038166.00","0.00","134064099.00","15265913.00","67427566.00","946212.00","--","316982738.00","28627509.00","20808432.00","--","1396551.00","62651817.00","1481199.00","8934628.00","708908884.00","151170222.00","650386.00","19631458.00","-3350715.00","-3527187.00","--","164574164.00","3634608.00","168208772.00","--","137038.00","466241938.00","11.23"
"114/03/26","105","1","2884","玉山金","36336221.00","60369174.00","401915568.00","123561781.00","0.00","783110.00","76731127.00","15311.00","0.00","1017679357.00","0.00","5209208.00","0.00","0.00","40854385.00","460535.00","26856289.00","6005193.00","556143.00","5031096.00","1802364498.00","60546525.00","0.00","48508986.00","0.00","6356529.00","2870254.00","24176740.00","1764973.00","0.00","1476958940.00","50750000.00","1564399.00","0.00","486561.00","1379592.00","1163133.00","1555664.00","1678082296.00","79517000.00","20501164.00","21951495.00","1510219.00","0.00","0.00","123479878.00","802324.00","124282202.00","0.00","0.00","0.00","15.53"
"114/03/26","105","1","2885","元大金","59389025.00","94684626.00","404145595.00","222376798.00","--","34990259.00","151484435.00","2107290.00","--","766313349.00","368661.00","88944779.00","2308198.00","2677128.00","118063620.00","6228448.00","20738361.00","36882641.00","6509245.00","23675463.00","2041887921.00","53617517.00","--","111475222.00","2103.00","159780242.00","49277316.00","161013649.00","3958743.00","--","946326152.00","74356789.00","30559415.00","3824663.00","135172854.00","74185050.00","3801527.00","16516276.00","1823867518.00","119986478.00","37916488.00","34729754.00","8305251.00","-1498603.00","--","199439368.00","18581035.00","218020403.00","0.00","0.00","125875001.00","16.80"
"114/03/26","105","1","2886","兆豐金","108360322.00","584625324.00","185326374.00","369227474.00","--","13065190.00","129902582.00","2395391.00","0.00","1728414778.00","3959084.00","231570339.00","3190482.00","--","17007986.00","1542262.00","21767107.00","304436.00","4834218.00","5651638.00","3411144987.00","431855452.00","48795769.00","22815947.00","--","201979485.00","16696222.00","66840649.00","11234184.00","--","2217150791.00","41889867.00","3860984.00","--","24384808.00","11971620.00","2429859.00","7507049.00","3109412686.00","135998240.00","68194233.00","96026325.00","1460579.00","0.00","0.00","301679377.00","52924.00","301732301.00","--","0.00","0.00","22.18"
"114/03/26","105","1","2887","台新金","14685285.00","43445030.00","105898604.00","298532315.00","--","421127.00","90428901.00","361873.00","--","834859441.00","--","5110.00","35823867.00","--","12008927.00","889417.00","18418327.00","2055744.00","3567540.00","20603995.00","1482005503.00","51448819.00","--","39296191.00","--","84819267.00","2784324.00","20082334.00","1157874.00","--","1025938161.00","75000000.00","8858140.00","--","1030715.00","46385990.00","57160.00","2733410.00","1359592385.00","92247070.00","7148625.00","22361186.00","524183.00","--","--","122281064.00","132054.00","122413118.00","--","1797105.00","0.00","13.26"
"114/03/26","105","1","2888","新光金","57071851.00","151600847.00","130708024.00","312903653.00","--","16573603.00","64582819.00","3652522.00","4570798.00","664008519.00","--","458733159.00","11350.00","--","920516015.00","106888933.00","27284085.00","2819166.00","18844333.00","30369605.00","2971139282.00","4305086.00","--","11181214.00","--","37086698.00","0.00","31243026.00","146534.00","--","640620390.00","36774744.00","4131631.00","--","1982547521.00","81330979.00","8903123.00","11152386.00","2849423332.00","102281441.00","9557397.00","28608040.00","-31487515.00","-1907115.00","--","107052248.00","14663702.00","121715950.00","--","0.00","200000000.00","10.68"
"114/03/26","105","1","2889","國票金","2739036.00","21.00","110168836.00","105601401.00","--","311126.00","16308423.00","703481.00","--","--","--","988107.00","1630383.00","--","4954944.00","--","1910565.00","361398.00","111705.00","979499.00","246768925.00","--","20764547.00","408543.00","--","170345878.00","8080793.00","8223176.00","237996.00","--","--","--","--","--","1343417.00","1444050.00","30643.00","389072.00","211268115.00","26764862.00","100068.00","3496840.00","1041232.00","-1195.00","--","31401807.00","4099003.00","35500810.00","0.00","0.00","150000.00","11.73"
