出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/03/26","105","3","2801","彰銀","32140659.00","205612781.00","42531153.00","235086.00","--","19453778.00","50623.00","--","1298880749.00","75335291.00","204426448.00","--","--","23966448.00","20802934.00","13755321.00","432663.00","2261993.00","599810.00","1940485737.00","134922580.00","0.00","23003159.00","--","3343285.00","29086403.00","370822.00","--","1565172801.00","31524608.00","--","--","2362139.00","4271183.00","6615449.00","3883064.00","1804555493.00","89647626.00","--","45207535.00","1075083.00","--","--","--","--","--","135930244.00","--","0.00","0.00","15.16"
"114/03/26","105","3","2809","京城銀","4006646.00","30840878.00","2394757.00","--","3856075.00","1436351.00","--","--","125237752.00","64051615.00","--","--","--","4010779.00","2462561.00","--","--","244094.00","418131.00","238959639.00","11818186.00","2250620.00","133576.00","--","17943718.00","1601239.00","416618.00","--","171242011.00","--","--","--","50000.00","476373.00","50135.00","314121.00","206296597.00","11512343.00","62323.00","18409238.00","2808778.00","-129640.00","32663042.00","0.00","--","0.00","32663042.00","0.00","5000000.00","0.00","28.50"
"114/03/26","105","3","2812","台中銀","8967877.00","84553792.00","23545925.00","0.00","2466793.00","9264510.00","126319.00","0.00","408317252.00","35059540.00","13166798.00","133043.00","314407.00","1101178.00","9497088.00","0.00","173410.00","688769.00","1872642.00","599249343.00","10558517.00","3616287.00","157661.00","0.00","2300535.00","7370043.00","19534.00","0.00","518979174.00","12800000.00","0.00","0.00","595442.00","1122918.00","111044.00","564788.00","558195943.00","32381307.00","684156.00","7469033.00","518904.00","0.00","41053400.00","--","--","0.00","41053400.00","0.00","0.00","0.00","12.68"
"114/03/26","105","3","2820","華票","287554.00","--","113155801.00","--","2100615.00","1451468.00","143460.00","--","--","88266701.00","0.00","--","--","177923.00","159394.00","--","--","106364.00","1172260.00","207021540.00","29163660.00","--","4682.00","--","150552855.00","747604.00","--","--","--","--","--","--","1999820.00","1499907.00","17490.00","89535.00","184075553.00","13429600.00","2474.00","8490182.00","1023731.00","--","--","--","--","--","22945987.00","--","0.00","0.00","17.09"
"114/03/26","105","3","2834","臺企銀","41818407.00","81843167.00","1398776.00","--","12402553.00","22230507.00","116707.00","--","1019802748.00","74927925.00","205242202.00","--","--","2140854.00","14068445.00","--","168416.00","1021206.00","2066665.00","1479248578.00","72456364.00","0.00","160139.00","--","1684560.00","28473063.00","--","--","1233060182.00","53600000.00","--","--","11942026.00","3237107.00","883630.00","2306738.00","1407803809.00","59688949.00","0.00","11265536.00","490284.00","0.00","71444769.00","0.00","--","0.00","71444769.00","0.00","0.00","0.00","11.97"
"114/03/26","105","3","2836","高雄銀","3592318.00","10441133.00","4766243.00","--","5165586.00","914131.00","33489.00","--","171916804.00","37329522.00","17261496.00","--","--","1197705.00","2920959.00","--","65437.00","196887.00","200119.00","256001829.00","10566933.00","--","4436.00","--","1153583.00","3474723.00","4821.00","--","223670699.00","4000000.00","--","--","107267.00","400249.00","--","135612.00","243518323.00","8232238.00","1872395.00","2273718.00","105155.00","--","12483506.00","--","--","0.00","12483506.00","0.00","0.00","0.00","15.16"
"114/03/26","105","3","2838","聯邦銀","8702002.00","57228739.00","16767331.00","--","36019145.00","16012670.00","274962.00","--","271089378.00","38636677.00","6910881.00","53524.00","--","54583706.00","7719992.00","5708843.00","2139215.00","1558597.00","7526639.00","530932301.00","7365658.00","--","42535.00","--","34184773.00","5239039.00","121533.00","--","427895478.00","11200000.00","683219.00","--","3738695.00","239403.00","831673.00","2873323.00","494415329.00","26051524.00","32413.00","8060968.00","2101144.00","--","36246049.00","--","--","270923.00","36516972.00","--","0.00","0.00","13.91"
"114/03/26","105","3","2845","遠東銀","7613149.00","32527999.00","39987792.00","--","14721758.00","21666589.00","175.00","--","339856554.00","78205294.00","2789456.00","1725870.00","--","12440348.00","2832915.00","--","1756939.00","631861.00","244458.00","557001157.00","15481571.00","--","10587018.00","--","13180628.00","7411084.00","380282.00","--","437726220.00","24251834.00","--","--","5670077.00","1167127.00","--","609780.00","516465621.00","31113672.00","456426.00","8944342.00","21096.00","--","40535536.00","--","--","--","40535536.00","--","0.00","0.00","13.03"
"114/03/26","105","3","2849","安泰銀","4560131.00","25862818.00","28867933.00","--","1913118.00","4675392.00","97722.00","89967.00","182061041.00","19398152.00","29546720.00","--","--","193235.00","823108.00","--","217705.00","2338566.00","2360607.00","303006215.00","6747093.00","--","2005756.00","--","3170397.00","2450418.00","137981.00","--","243571824.00","10000000.00","--","1414865.00","2716193.00","440033.00","37149.00","127764.00","272819473.00","16796775.00","1461505.00","11876254.00","52208.00","0.00","30186742.00","--","--","0.00","30186742.00","0.00","0.00","0.00","17.97"
"114/03/26","105","3","2897","王道銀行","7942806.00","18793988.00","155891752.00","--","2100615.00","18175637.00","187287.00","--","150020226.00","123620998.00","9544674.00","103275.00","236018.00","1871967.00","3570752.00","0.00","1442389.00","676349.00","4001462.00","498180195.00","71239900.00","--","2370067.00","--","150552855.00","3376478.00","146974.00","--","184027814.00","17950000.00","--","--","18072013.00","1777600.00","213311.00","1967075.00","451694087.00","23905063.00","3193.00","4986684.00","752183.00","0.00","29647123.00","--","--","16838985.00","46486108.00","--","0.00","0.00","12.40"
