出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","105","3","2880","華南金","46440997.00","191584361.00","71093991.00","108229164.00","336.00","5554259.00","54650551.00","863987.00","--","1522922919.00","4353563.00","399302877.00","60659.00","--","77262108.00","9589864.00","32291122.00","459760.00","2116795.00","2722827.00","2529500140.00","124156629.00","--","17916693.00","20140.00","31774239.00","16068334.00","58266711.00","1218253.00","--","2030583444.00","52346284.00","1190000.00","--","17831620.00","10573031.00","6120533.00","4295653.00","2372361564.00","105204951.00","17758986.00","33264922.00","908188.00","--","--","157137047.00","1529.00","157138576.00","--","0.00","0.00","14.94"
"114/03/26","105","3","2881","富邦金","173985561.00","267646337.00","138683340.00","1620890811.00","1435697.00","115812435.00","126692680.00","1472684.00","48207.00","1643483433.00","23668302.00","379894538.00","26146351.00","--","1366018323.00","175903231.00","57096595.00","28787996.00","6264465.00","65552159.00","6219483145.00","81975318.00","6899116.00","56359911.00","2699305.00","120327929.00","3374749.00","86620796.00","11157220.00","--","2073396587.00","154232725.00","1640000.00","--","2941973593.00","175238191.00","10055342.00","20119504.00","5746070286.00","108336040.00","105170427.00","231445434.00","20371514.00","--","--","465323415.00","8089444.00","473412859.00","0.00","0.00","0.00","42.95"
"114/03/26","105","3","2882","國泰金","291642002.00","100272971.00","304989787.00","1549141336.00","456538.00","60337058.00","153432930.00","4214708.00","--","1915892998.00","9398888.00","76052232.00","28806885.00","--","2840742847.00","377475918.00","98749815.00","58901254.00","17019654.00","53200578.00","7940728399.00","62672251.00","--","85122266.00","--","47948785.00","36119130.00","52904991.00","8378225.00","--","1986917547.00","71800000.00","--","--","4478337623.00","558240384.00","33014694.00","20643859.00","7442099755.00","125632102.00","88782670.00","243820518.00","34227182.00","--","--","492462472.00","6166172.00","498628644.00","0.00","0.00","0.00","39.20"
"114/03/26","105","3","2883","凱基金","24817551.00","73456853.00","196165123.00","94498811.00","--","24069199.00","93625848.00","844310.00","--","251897396.00","--","300000.00","12567714.00","29068117.00","63591454.00","2092022.00","14629597.00","8102461.00","5271901.00","17032476.00","912030833.00","23349332.00","--","51036281.00","--","139222803.00","20828387.00","71714660.00","808509.00","--","311361040.00","28605062.00","17904915.00","--","1442859.00","60970118.00","1455306.00","18394196.00","747093468.00","149741766.00","1101779.00","15457417.00","-2591829.00","-2376747.00","--","161332386.00","3604979.00","164937365.00","--","164446.00","323231938.00","11.01"
"114/03/26","105","3","2884","玉山金","28298298.00","57817690.00","378157121.00","142589343.00","0.00","496874.00","79367444.00","33.00","0.00","1080228252.00","0.00","5539383.00","0.00","0.00","32957666.00","283653.00","27450987.00","6002545.00","564565.00","4093918.00","1843847772.00","78354742.00","0.00","42609004.00","0.00","6977083.00","2670444.00","27639908.00","1815358.00","0.00","1494252675.00","50450000.00","2014785.00","0.00","468614.00","5760353.00","876436.00","2010541.00","1715899943.00","87654000.00","20658669.00","17363915.00","1484940.00","0.00","0.00","127161524.00","786305.00","127947829.00","0.00","0.00","0.00","14.51"
"114/03/26","105","3","2885","元大金","64610511.00","115119180.00","400761467.00","233780099.00","--","40098837.00","146176083.00","1780042.00","35451.00","770112544.00","347815.00","100633706.00","2033860.00","5838247.00","108818984.00","5985065.00","21134797.00","36994917.00","6546243.00","21086477.00","2081894325.00","25173519.00","--","113869283.00","845.00","156704039.00","20003880.00","166443143.00","4705470.00","--","989322666.00","83858242.00","45228461.00","3871684.00","148298575.00","77500865.00","3795107.00","21879956.00","1860655735.00","119986478.00","37955999.00","37464702.00","8645737.00","-1498603.00","--","202554313.00","18684277.00","221238590.00","0.00","0.00","125875001.00","17.06"
"114/03/26","105","3","2886","兆豐金","89711928.00","498286375.00","209052211.00","369598234.00","--","299413.00","87582062.00","719549.00","0.00","1718297864.00","4549479.00","273034042.00","3136526.00","--","15690075.00","1537071.00","21695631.00","252353.00","5071386.00","2909892.00","3301424091.00","304727021.00","55076957.00","21207197.00","--","234658961.00","19532941.00","72175920.00","7778872.00","--","2204781193.00","41912560.00","2075497.00","--","24628969.00","11340157.00","2457614.00","7336093.00","3009689952.00","135998240.00","68194233.00","85632629.00","1856109.00","0.00","--","291681211.00","52928.00","291734139.00","0.00","0.00","0.00","21.45"
"114/03/26","105","3","2887","台新金","17926918.00","52326198.00","74431452.00","298044889.00","--","8714693.00","105435719.00","545070.00","--","873914106.00","--","6126.00","36457660.00","--","13112826.00","884691.00","18455661.00","2195060.00","3219675.00","14517013.00","1520187757.00","48422576.00","--","29215669.00","--","82567595.00","8047376.00","33976016.00","1354790.00","--","1061601673.00","75000000.00","7543368.00","--","890406.00","45350673.00","56215.00","2732183.00","1396758540.00","98751064.00","7151313.00","16710075.00","694013.00","0.00","--","123306465.00","122752.00","123429217.00","--","8177500.00","0.00","12.49"
"114/03/26","105","3","2888","新光金","81329416.00","105317504.00","145599757.00","304405400.00","--","21916156.00","59408324.00","4211705.00","0.00","675462487.00","--","638831362.00","0.00","--","829981933.00","110267030.00","28516118.00","2747576.00","13094111.00","29451764.00","3050540643.00","4255740.00","--","8244072.00","--","37038809.00","1999849.00","44561344.00","77971.00","--","603552332.00","32784235.00","4168474.00","--","2087442066.00","78449339.00","4315955.00","11174874.00","2918065060.00","102281441.00","9557240.00","32717836.00","-24880894.00","-1907115.00","--","117768508.00","14707075.00","132475583.00","--","0.00","200000000.00","11.74"
"114/03/26","105","3","2889","國票金","2251333.00","705955.00","109498836.00","110076414.00","--","154970.00","16137976.00","488927.00","--","--","--","988343.00","1632405.00","--","4696972.00","--","1892661.00","362513.00","108068.00","1277585.00","250272958.00","--","30212901.00","273313.00","--","165959885.00","7942693.00","6465464.00","180278.00","--","--","--","--","--","1379224.00","1428990.00","30367.00","340821.00","214213936.00","27460748.00","100068.00","3281178.00","1364270.00","-316245.00","--","31890019.00","4169003.00","36059022.00","0.00","0.00","40000000.00","11.78"
