出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","105","2","1101","台泥","72814811.00","195962510.00","268777321.00","58857466.00","63147112.00","122004578.00","36921759.00","12309615.00","42887203.00","10215827.00","--","102334404.00","--","--","44438339.00","146772743.00","--","0.00","0.00","27.72"
"114/03/26","105","2","1102","亞泥","44972783.00","201356806.00","246329589.00","61818500.00","43873353.00","105691853.00","33614472.00","1155723.00","89237093.00","-1394228.00","--","122613060.00","--","--","18024676.00","140637736.00","--","0.00","0.00","36.48"
"114/03/26","105","2","1103","嘉泥","10066494.00","16237515.00","26304009.00","2884177.00","10077093.00","12961270.00","7747805.00","605621.00","8040857.00","-3550134.00","-1149426.00","11694723.00","--","--","1648016.00","13342739.00","--","0.00","131226016.00","18.17"
"114/03/26","105","2","1104","環泥","3362713.00","17344499.00","20707212.00","3151030.00","1383462.00","4534492.00","6345720.00","49272.00","8804918.00","836978.00","--","16036888.00","--","--","135832.00","16172720.00","--","0.00","0.00","25.52"
"114/03/26","105","2","1108","幸福","5257193.00","2473848.00","7731041.00","2342023.00","692722.00","3034745.00","4047380.00","8.00","578923.00","38754.00","0.00","4665065.00","--","--","31231.00","4696296.00","0.00","0.00","0.00","11.53"
"114/03/26","105","2","1109","信大","2386724.00","6056171.00","8442895.00","979826.00","1182249.00","2162075.00","3789007.00","22299.00","1467217.00","68200.00","0.00","5346723.00","--","--","934097.00","6280820.00","0.00","0.00","0.00","14.11"
"114/03/26","105","2","1110","東泥","2197446.00","7301833.00","9499279.00","446822.00","319719.00","766541.00","5720008.00","185044.00","2034346.00","671818.00","-12185.00","8599031.00","--","--","133707.00","8732738.00","--","0.00","2112865.00","15.09"
"114/03/26","105","2","1201","味全","21986929.00","14355097.00","36342026.00","26180915.00","2199255.00","28380170.00","5060629.00","688.00","81942.00","115667.00","--","5258926.00","--","--","2702930.00","7961856.00","0.00","0.00","0.00","10.39"
"114/03/26","105","2","1203","味王","3535149.00","4805236.00","8340385.00","1632333.00","1642178.00","3274511.00","2400000.00","112965.00","1597530.00","104662.00","-38464.00","4176693.00","--","--","889181.00","5065874.00","0.00","0.00","2293865.00","17.57"
"114/03/26","105","2","1210","大成","19233940.00","18912216.00","38146156.00","15758930.00","2766732.00","18525662.00","7363944.00","2432908.00","3356852.00","1132238.00","-306199.00","13979743.00","--","--","5640751.00","19620494.00","--","0.00","52894691.00","20.45"
"114/03/26","105","2","1213","大飲","434419.00","419520.00","853939.00","126036.00","36958.00","162994.00","566226.00","21938.00","103047.00","-266.00","--","690945.00","--","--","--","690945.00","0.00","0.00","0.00","13.42"
"114/03/26","105","2","1215","卜蜂","4154519.00","5974642.00","10129161.00","4075538.00","261069.00","4336607.00","2679910.00","967.00","1511302.00","1481152.00","--","5673331.00","--","--","119223.00","5792554.00","0.00","0.00","0.00","21.17"
"114/03/26","105","2","1216","統一","147130618.00","248643159.00","395773777.00","159125374.00","88260148.00","247385522.00","56820154.00","3991720.00","30616422.00","275632.00","--","91703928.00","--","--","56684327.00","148388255.00","0.00","0.00","0.00","16.14"
"114/03/26","105","2","1217","愛之味","2340611.00","9162374.00","11502985.00","2289320.00","3280083.00","5569403.00","4945134.00","256854.00","129737.00","-117216.00","0.00","5214509.00","--","--","719073.00","5933582.00","0.00","0.00","0.00","10.70"
"114/03/26","105","2","1218","泰山","3344538.00","4929408.00","8273946.00","2460767.00","2274600.00","4735367.00","3533360.00","23770.00","205530.00","-25271.00","-203876.00","3533513.00","0.00","--","5066.00","3538579.00","0.00","0.00","13680042.00","10.40"
"114/03/26","105","2","1219","福壽","4151919.00","3924643.00","8076562.00","1736925.00","2450286.00","4187211.00","3188256.00","36696.00","584565.00","533.00","--","3810050.00","--","--","79301.00","3889351.00","0.00","0.00","0.00","11.95"
"114/03/26","105","2","1220","台榮","1879947.00","1089023.00","2968970.00","451059.00","212279.00","663338.00","1770779.00","1413.00","449306.00","-77894.00","0.00","2143604.00","--","--","162028.00","2305632.00","--","0.00","0.00","12.11"
"114/03/26","105","2","1225","福懋油","4287451.00","2614698.00","6902149.00","2175379.00","1272133.00","3447512.00","2187030.00","121015.00","778812.00","-17865.00","--","3068992.00","--","--","385645.00","3454637.00","--","0.00","0.00","14.03"
"114/03/26","105","2","1227","佳格","14224517.00","5807659.00","20032176.00","6308537.00","476507.00","6785044.00","8798939.00","63153.00","4170992.00","52050.00","-21182.00","13063952.00","--","--","183180.00","13247132.00","0.00","0.00","5777436.00","16.60"
"114/03/26","105","2","1229","聯華","3742699.00","22300019.00","26042718.00","4547180.00","1176442.00","5723622.00","9109378.00","743199.00","8322142.00","2057766.00","-2393.00","20230092.00","--","--","89004.00","20319096.00","0.00","0.00","98000.00","22.77"
"114/03/26","105","2","1231","聯華食","3111774.00","3351165.00","6462939.00","1982598.00","1669546.00","3652144.00","1530008.00","72435.00","1150663.00","39858.00","--","2792964.00","--","--","17831.00","2810795.00","--","0.00","0.00","18.86"
"114/03/26","105","2","1232","大統益","4513722.00","602193.00","5115915.00","1698050.00","68588.00","1766638.00","1599749.00","23784.00","1684491.00","0.00","--","3308024.00","--","--","41253.00","3349277.00","0.00","0.00","0.00","20.68"
"114/03/26","105","2","1233","天仁","735650.00","1194501.00","1930151.00","467902.00","124129.00","592031.00","905919.00","54263.00","450591.00","-74848.00","-2754.00","1333171.00","0.00","--","4949.00","1338120.00","0.00","0.00","60000.00","14.73"
"114/03/26","105","2","1234","黑松","7416636.00","14642960.00","22059596.00","2173510.00","2339252.00","4512762.00","4018711.00","184583.00","13318516.00","25024.00","0.00","17546834.00","--","--","0.00","17546834.00","--","0.00","0.00","43.66"
"114/03/26","105","2","1235","興泰","2640043.00","992926.00","3632969.00","1072396.00","334203.00","1406599.00","606623.00","41515.00","373608.00","1214146.00","-9953.00","2225939.00","--","--","431.00","2226370.00","--","0.00","1978138.00","37.93"
"114/03/26","105","2","1236","宏亞","558493.00","2490135.00","3048628.00","599762.00","571741.00","1171503.00","1083425.00","33396.00","341976.00","418328.00","0.00","1877125.00","--","--","0.00","1877125.00","0.00","0.00","0.00","17.33"
"114/03/26","105","2","1256","鮮活果汁-KY","1299601.00","629395.00","1928996.00","956226.00","120380.00","1076606.00","271656.00","60109.00","506228.00","11052.00","--","849045.00","--","--","3345.00","852390.00","--","0.00","0.00","31.25"
"114/03/26","105","2","1301","台塑","154014631.00","279746060.00","433760691.00","91799361.00","65989931.00","157789292.00","63657408.00","11443667.00","140674289.00","60196035.00","--","275971399.00","--","--","--","275971399.00","0.00","0.00","0.00","43.35"
"114/03/26","105","2","1303","南亞","213613457.00","304686671.00","518300128.00","90524158.00","107145816.00","197669974.00","79308216.00","24963259.00","157261415.00","46045994.00","--","307578884.00","--","--","13051270.00","320630154.00","0.00","0.00","0.00","38.78"
"114/03/26","105","2","1304","台聚","34212273.00","28321709.00","62533982.00","17817448.00","13473211.00","31290659.00","11426024.00","216135.00","6076710.00","-35682.00","-475606.00","17207581.00","--","--","14035742.00","31243323.00","0.00","0.00","111943075.00","16.70"
"114/03/26","105","2","1305","華夏","6640295.00","5948616.00","12588911.00","2934816.00","2765072.00","5699888.00","4776695.00","8221.00","1746173.00","37357.00","--","6568446.00","0.00","--","320577.00","6889023.00","0.00","0.00","0.00","14.03"
"114/03/26","105","2","1307","三芳","8125361.00","6267602.00","14392963.00","3952104.00","2133439.00","6085543.00","3978181.00","137866.00","3859397.00","331976.00","--","8307420.00","--","--","--","8307420.00","--","0.00","0.00","21.51"
"114/03/26","105","2","1308","亞聚","6172694.00","8064582.00","14237276.00","3239224.00","2253452.00","5492676.00","5030240.00","14046.00","3811862.00","-111548.00","0.00","8744600.00","--","--","0.00","8744600.00","0.00","0.00","0.00","17.73"
"114/03/26","105","2","1309","台達化","5378727.00","3516452.00","8895179.00","3720040.00","1810206.00","5530246.00","3276518.00","469.00","-5806.00","93752.00","--","3364933.00","--","--","--","3364933.00","0.00","0.00","0.00","10.27"
"114/03/26","105","2","1310","台苯","4648305.00","6780186.00","11428491.00","3491903.00","1348025.00","4839928.00","5278698.00","65426.00","1213489.00","-376496.00","--","6181117.00","--","--","407446.00","6588563.00","--","0.00","0.00","11.71"
"114/03/26","105","2","1312","國喬","6810502.00","16455651.00","23266153.00","3190041.00","1235132.00","4425173.00","9266203.00","115935.00","6730832.00","634754.00","-199604.00","16548120.00","--","--","2292860.00","18840980.00","0.00","0.00","8254473.00","18.02"
"114/03/26","105","2","1313","聯成","15130613.00","19672423.00","34803036.00","7460594.00","9897250.00","17357844.00","11712366.00","1111644.00","3937229.00","1038215.00","-354262.00","17445192.00","--","--","--","17445192.00","0.00","0.00","36957000.00","15.38"
"114/03/26","105","2","1314","中石化","15238761.00","59737629.00","74976390.00","5956633.00","17514731.00","23471364.00","23199897.00","18141.00","29663828.00","-1589408.00","--","51292458.00","--","--","212568.00","51505026.00","0.00","0.00","0.00","22.11"
"114/03/26","105","2","1315","達新","4159724.00","5149252.00","9308976.00","1574264.00","981079.00","2555343.00","1980000.00","70498.00","3518338.00","1300592.00","-118879.00","6750549.00","0.00","--","3084.00","6753633.00","0.00","0.00","7137000.00","35.37"
"114/03/26","105","2","1316","上曜","3134760.00","702386.00","3837146.00","1437255.00","609073.00","2046328.00","1699079.00","143635.00","-667995.00","-3049.00","-23399.00","1148271.00","0.00","--","642547.00","1790818.00","0.00","0.00","9269000.00","7.15"
"114/03/26","105","2","1319","東陽","10061611.00","25440119.00","35501730.00","8931559.00","7414363.00","16345922.00","5914771.00","4149257.00","8027232.00","89628.00","--","18180888.00","--","--","974920.00","19155808.00","0.00","0.00","0.00","30.74"
"114/03/26","105","2","1321","大洋","1483467.00","9469390.00","10952857.00","1218086.00","4770156.00","5988242.00","2272283.00","7792.00","2747491.00","-26762.00","-36189.00","4964615.00","--","--","--","4964615.00","0.00","0.00","6542716.00","22.50"
"114/03/26","105","2","1323","永裕","2162108.00","1570380.00","3732488.00","651616.00","1187438.00","1839054.00","912745.00","55817.00","699602.00","8360.00","-2813.00","1673711.00","--","--","219723.00","1893434.00","0.00","0.00","391086.00","18.42"
"114/03/26","105","2","1324","地球","974309.00","410464.00","1384773.00","332829.00","62837.00","395666.00","751219.00","0.00","231848.00","6040.00","0.00","989107.00","--","--","0.00","989107.00","0.00","0.00","0.00","13.17"
"114/03/26","105","2","1325","恆大","1217652.00","934199.00","2151851.00","152575.00","65850.00","218425.00","1003308.00","2954.00","833738.00","2094.00","--","1842094.00","--","--","91332.00","1933426.00","0.00","0.00","0.00","18.36"
"114/03/26","105","2","1326","台化","219015641.00","304321446.00","523337087.00","96340991.00","95424970.00","191765961.00","58611863.00","8839492.00","137889297.00","73922567.00","-360572.00","278902647.00","--","--","52668479.00","331571126.00","0.00","0.00","18535610.00","47.74"
"114/03/26","105","2","1337","再生-KY","4002623.00","7175905.00","11178528.00","927745.00","69004.00","996749.00","2653681.00","2955669.00","4233288.00","339141.00","--","10181779.00","--","--","--","10181779.00","--","0.00","0.00","39.22"
"114/03/26","105","2","1338","廣華-KY","5337822.00","3593387.00","8931209.00","2177979.00","447059.00","2625038.00","838400.00","2787090.00","2413925.00","95883.00","0.00","6135298.00","--","--","170873.00","6306171.00","0.00","0.00","0.00","73.18"
"114/03/26","105","2","1339","昭輝","1650993.00","4167271.00","5818264.00","1281638.00","1412530.00","2694168.00","741389.00","1166414.00","957704.00","7770.00","--","2873277.00","--","--","250819.00","3124096.00","--","0.00","0.00","38.76"
"114/03/26","105","2","1340","勝悅-KY","5835356.00","809267.00","6644623.00","841643.00","7013.00","848656.00","1148932.00","2540814.00","2083213.00","23008.00","--","5795967.00","--","--","--","5795967.00","--","0.00","0.00","50.45"
"114/03/26","105","2","1402","遠東新","117953656.00","408156097.00","526109753.00","107441663.00","169457783.00","276899446.00","53528751.00","2855238.00","134139684.00","-130231.00","-25063.00","190368379.00","--","--","58841928.00","249210307.00","--","0.00","779000.00","35.57"
"114/03/26","105","2","1410","南染","768055.00","822016.00","1590071.00","206306.00","175939.00","382245.00","720000.00","21784.00","432368.00","-16398.00","--","1157754.00","--","--","50072.00","1207826.00","0.00","0.00","0.00","16.08"
"114/03/26","105","2","1413","宏洲","814905.00","1489448.00","2304353.00","749779.00","731840.00","1481619.00","1321124.00","0.00","-498390.00","0.00","0.00","822734.00","--","--","0.00","822734.00","--","0.00","0.00","6.23"
"114/03/26","105","2","1414","東和","824827.00","3913624.00","4738451.00","898912.00","794081.00","1692993.00","2200000.00","0.00","961576.00","-116118.00","0.00","--","--","--","--","3045458.00","0.00","0.00","0.00","13.84"
"114/03/26","105","2","1416","廣豐","4330880.00","7025933.00","11356813.00","3089681.00","2569604.00","5659285.00","2640202.00","171679.00","2548579.00","318382.00","0.00","5678842.00","--","--","18686.00","5697528.00","0.00","0.00","0.00","21.51"
"114/03/26","105","2","1417","嘉裕","3071791.00","2260269.00","5332060.00","1118249.00","132230.00","1250479.00","3798837.00","--","-112427.00","395171.00","--","4081581.00","--","--","--","4081581.00","--","0.00","0.00","10.74"
"114/03/26","105","2","1418","東華","492443.00","1336141.00","1828584.00","1035886.00","344105.00","1379991.00","1319276.00","8005.00","-717492.00","-62561.00","-98717.00","448511.00","--","--","82.00","448593.00","0.00","0.00","8733000.00","3.64"
"114/03/26","105","2","1419","新紡","2068136.00","9613806.00","11681942.00","3701223.00","858030.00","4559253.00","3000413.00","1610.00","1749792.00","2325258.00","-13174.00","7063899.00","0.00","--","58790.00","7122689.00","0.00","0.00","803829.00","23.61"
"114/03/26","105","2","1423","利華","1392919.00","1399738.00","2792657.00","18790.00","201699.00","220489.00","1730000.00","122705.00","402065.00","317398.00","0.00","--","--","--","--","2572168.00","--","0.00","0.00","14.87"
"114/03/26","105","2","1432","大魯閣","1355161.00","6036449.00","7391610.00","1928026.00","2638326.00","4566352.00","1714376.00","683181.00","-60943.00","76088.00","-70174.00","2342528.00","--","--","482730.00","2825258.00","0.00","0.00","3500000.00","13.95"
"114/03/26","105","2","1434","福懋","23428651.00","59958837.00","83387488.00","12247696.00","13296064.00","25543760.00","16846646.00","20791.00","10767139.00","26974880.00","-22285.00","54587171.00","--","--","3256557.00","57843728.00","0.00","0.00","2563228.00","32.45"
"114/03/26","105","2","1435","中福","398905.00","711069.00","1109974.00","5173.00","169699.00","174872.00","1397801.00","1302.00","-304710.00","--","-159275.00","935118.00","--","--","-16.00","935102.00","--","0.00","14424000.00","7.46"
"114/03/26","105","2","1436","華友聯","6142402.00","375352.00","6517754.00","3569260.00","692653.00","4261913.00","759000.00","245201.00","1251640.00","0.00","--","2255841.00","--","--","--","2255841.00","0.00","0.00","0.00","32.69"
"114/03/26","105","2","1437","勤益控","1624285.00","7728432.00","9352717.00","536161.00","3851100.00","4387261.00","1981899.00","323713.00","2541914.00","137453.00","-48708.00","4936271.00","--","--","29185.00","4965456.00","0.00","0.00","2303000.00","25.20"
"114/03/26","105","2","1438","三地開發","581774.00","35963.00","617737.00","2127.00","68800.00","70927.00","1024115.00","81330.00","-558635.00","0.00","0.00","--","--","--","--","546810.00","--","0.00","0.00","5.34"
"114/03/26","105","2","1439","雋揚","1379100.00","764493.00","2143593.00","61315.00","149514.00","210829.00","920000.00","8686.00","1004078.00","0.00","0.00","--","--","--","--","1932764.00","0.00","0.00","0.00","21.01"
"114/03/26","105","2","1440","南紡","8233520.00","32373670.00","40607190.00","8701614.00","6507253.00","15208867.00","16568159.00","75112.00","7401369.00","910783.00","--","24955423.00","--","--","442900.00","25398323.00","0.00","0.00","0.00","15.06"
"114/03/26","105","2","1441","大東","795611.00","2126156.00","2921767.00","745326.00","1494572.00","2239898.00","897991.00","16841.00","-234601.00","1638.00","0.00","681869.00","--","--","--","681869.00","--","0.00","0.00","7.59"
"114/03/26","105","2","1442","名軒","14805682.00","579597.00","15385279.00","6196628.00","4340820.00","10537448.00","2683823.00","910431.00","1248868.00","4709.00","--","4847831.00","--","--","0.00","4847831.00","0.00","0.00","0.00","19.87"
"114/03/26","105","2","1443","立益物流","1636708.00","2952131.00","4588839.00","2645041.00","1088222.00","3733263.00","1353430.00","701.00","-192773.00","-52238.00","-9056.00","1100064.00","--","--","-244488.00","855576.00","0.00","0.00","460610.00","8.16"
"114/03/26","105","2","1444","力麗","7855742.00","11144310.00","19000052.00","6970667.00","488042.00","7458709.00","9573029.00","64075.00","1117328.00","18543.00","-28470.00","10744505.00","--","--","796838.00","11541343.00","--","0.00","10774028.00","11.35"
"114/03/26","105","2","1445","大宇","1087923.00","1174139.00","2262062.00","210013.00","152325.00","362338.00","1386670.00","172064.00","305215.00","35775.00","0.00","1899724.00","--","--","0.00","1899724.00","0.00","0.00","0.00","13.70"
"114/03/26","105","2","1446","宏和","3146912.00","690280.00","3837192.00","2061102.00","25239.00","2086341.00","1377095.00","268134.00","130227.00","-24605.00","0.00","1750851.00","--","--","0.00","1750851.00","0.00","0.00","0.00","12.71"
