出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/03/26","105","4","2801","彰銀","45199330.00","194825223.00","34699024.00","86265.00","--","20280261.00","56689.00","--","1367259890.00","76824866.00","204864541.00","--","--","23097828.00","20801823.00","13753981.00","423465.00","2447734.00","530584.00","2005151504.00","139162582.00","0.00","18093146.00","--","2954981.00","33834971.00","550984.00","--","1624429817.00","31375226.00","--","--","2718964.00","4524224.00","6672201.00","3310883.00","1867627979.00","89647626.00","--","47775705.00","100194.00","0.00","--","--","--","--","137523525.00","--","0.00","0.00","15.34"
"114/03/26","105","4","2809","京城銀","4985673.00","34302886.00","5585356.00","--","3106295.00","1470477.00","--","--","124251450.00","63973405.00","0.00","--","--","3052381.00","2461730.00","--","--","235828.00","658481.00","244083962.00","10381448.00","7811960.00","34946.00","--","15553347.00","2260933.00","577283.00","--","173752830.00","0.00","--","--","70000.00","491765.00","55482.00","293472.00","211283466.00","11512343.00","62323.00","19593229.00","1762241.00","-129640.00","32800496.00","0.00","--","0.00","32800496.00","0.00","5000000.00","0.00","28.62"
"114/03/26","105","4","2812","台中銀","14105611.00","86216971.00","22383134.00","0.00","3627189.00","9802310.00","6313.00","0.00","425166259.00","37455220.00","14276270.00","130935.00","285234.00","1171178.00","9436524.00","78268.00","166769.00","713301.00","2081215.00","627102701.00","11617728.00","4199858.00","162792.00","0.00","4222258.00","9805707.00","60890.00","0.00","539809008.00","13000000.00","0.00","0.00","807967.00","1307838.00","111021.00","615599.00","585720666.00","32381307.00","684156.00","8302938.00","13634.00","0.00","41382035.00","--","--","0.00","41382035.00","0.00","0.00","0.00","12.78"
"114/03/26","105","4","2820","華票","334499.00","1023091.00","107982899.00","--","200092.00","1276545.00","119050.00","--","--","90637886.00","0.00","--","--","177924.00","157643.00","--","--","105326.00","1324136.00","203339091.00","14822790.00","--","27883.00","--","161213032.00","689356.00","--","--","--","--","--","--","2499824.00","1530697.00","5645.00","112806.00","180902033.00","13429600.00","2474.00","8781359.00","223625.00","--","--","--","--","--","22437058.00","0.00","0.00","0.00","16.71"
"114/03/26","105","4","2834","臺企銀","49564948.00","90619262.00","1443693.00","--","619201.00","24000980.00","116062.00","--","1045014647.00","73330688.00","192523259.00","--","--","2132723.00","14120706.00","--","183061.00","1240678.00","3819074.00","1498728982.00","75817857.00","0.00","214259.00","--","2758905.00","35412594.00","310077.00","--","1253804477.00","42750000.00","--","--","10819145.00","3606753.00","884569.00","1480006.00","1427858642.00","59688949.00","0.00","12210873.00","-1029482.00","0.00","70870340.00","0.00","--","0.00","70870340.00","0.00","0.00","0.00","11.87"
"114/03/26","105","4","2836","高雄銀","3992115.00","10574542.00","3986251.00","--","3349155.00","1149528.00","48251.00","--","175615779.00","31298076.00","21609828.00","--","--","1199328.00","2907253.00","--","66674.00","193307.00","184233.00","256174320.00","8892284.00","--","1349.00","--","1101523.00","3673012.00","7768.00","--","225470045.00","4000000.00","--","--","12221.00","426018.00","--","125066.00","243709286.00","8232238.00","1872395.00","2404335.00","-43934.00","--","12465034.00","--","--","0.00","12465034.00","0.00","0.00","0.00","15.14"
"114/03/26","105","4","2838","聯邦銀","10971118.00","54414461.00","9538090.00","--","27855242.00","17888230.00","186231.00","--","282416950.00","39978425.00","7192115.00","53447.00","--","57403743.00","8156305.00","5415376.00","2167730.00","1447039.00","7622068.00","532706570.00","8389312.00","0.00","39523.00","0.00","28874137.00","6981464.00","97549.00","0.00","431618915.00","11200000.00","1135884.00","0.00","4235138.00","189572.00","834410.00","2892210.00","496488114.00","26051524.00","32413.00","8673248.00","1192131.00","--","35949316.00","--","--","269140.00","36218456.00","--","0.00","0.00","13.80"
"114/03/26","105","4","2845","遠東銀","7361878.00","32744760.00","33830105.00","--","6396656.00","22847242.00","4117.00","--","355963672.00","79594706.00","2630635.00","1702220.00","--","12841547.00","2889674.00","--","1750568.00","635104.00","222399.00","561415283.00","7432194.00","--","7954542.00","--","13711223.00","5799874.00","405097.00","--","452720460.00","24309357.00","--","--","6385369.00","1240278.00","--","506012.00","520464406.00","31113672.00","456426.00","9609340.00","-228561.00","--","40950877.00","--","--","--","40950877.00","--","0.00","0.00","13.16"
"114/03/26","105","4","2849","安泰銀","4317897.00","24016375.00","26970324.00","--","1389700.00","3975434.00","97722.00","89967.00","182231120.00","26088335.00","30521290.00","--","--","151726.00","803521.00","--","212307.00","2091945.00","1679116.00","304636779.00","5006933.00","--","1307927.00","--","2250000.00","2447186.00","113455.00","--","248308550.00","10000000.00","--","1414865.00","2689367.00","436257.00","41580.00","123141.00","274139261.00","16796775.00","1461505.00","12246537.00","-7299.00","0.00","--","--","--","--","30497518.00","0.00","0.00","0.00","18.16"
"114/03/26","105","4","2897","王道銀行","5979980.00","17126977.00","147722285.00","--","200092.00","19046408.00","200582.00","--","162544641.00","126981565.00","5544703.00","107981.00","148214.00","1520931.00","3771171.00","0.00","1499011.00","565263.00","3924946.00","496884750.00","56697931.00","--","2377872.00","--","163304781.00","3753143.00","75726.00","--","184587611.00","17450000.00","--","--","18831642.00","1801044.00","248870.00","1885021.00","451013641.00","23905063.00","3193.00","5195687.00","284715.00","0.00","29388658.00","--","--","16482451.00","45871109.00","0.00","0.00","0.00","12.29"
"114/03/26","105","4","5876","上海商銀","66775994.00","244371302.00","12744976.00","--","0.00","15326174.00","112400.00","--","849330659.00","351138563.00","72666706.00","1421566.00","--","6749.00","22280250.00","5760628.00","--","870520.00","4002465.00","1646808952.00","35428666.00","--","1377770.00","--","10186212.00","25340348.00","873972.00","--","1354361910.00","38150000.00","--","--","3280387.00","1796539.00","10744497.00","2246221.00","1483786522.00","40791031.00","4647655.00","66538513.00","8339449.00","-83144.00","120233504.00","--","--","42788926.00","163022430.00","--","11397439.00","0.00","29.56"
