出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","105","4","1101","台泥","77884012.00","189104684.00","266988696.00","55104919.00","64487106.00","119592025.00","36921759.00","13534162.00","47337524.00","8974606.00","--","106768051.00","--","--","40628620.00","147396671.00","--","0.00","0.00","28.92"
"114/03/26","105","4","1102","亞泥","42148568.00","196322217.00","238470785.00","40857530.00","56950034.00","97807564.00","33614472.00","1167881.00","91599413.00","-3718689.00","--","122663077.00","--","--","18000144.00","140663221.00","--","0.00","0.00","36.49"
"114/03/26","105","4","1103","嘉泥","9443483.00","16685434.00","26128917.00","1981486.00","8334173.00","10315659.00","7747805.00","617579.00","8335423.00","-1447600.00","-1149426.00","14103781.00","--","--","1709477.00","15813258.00","--","0.00","131226000.00","21.92"
"114/03/26","105","4","1104","環泥","3644849.00","16702301.00","20347150.00","2569341.00","1381686.00","3951027.00","6345720.00","47112.00","9650044.00","221727.00","--","16264603.00","--","--","131520.00","16396123.00","--","0.00","0.00","25.63"
"114/03/26","105","4","1108","幸福","5360762.00","2391882.00","7752644.00","2604897.00","345911.00","2950808.00","4047380.00","8.00","696907.00","27400.00","0.00","4771695.00","--","--","30141.00","4801836.00","0.00","0.00","0.00","11.79"
"114/03/26","105","4","1109","信大","2784672.00","5858992.00","8643664.00","1239358.00","1075485.00","2314843.00","3789007.00","22299.00","1567993.00","27667.00","0.00","5406966.00","--","--","921855.00","6328821.00","0.00","0.00","0.00","14.27"
"114/03/26","105","4","1110","東泥","1998413.00","7209833.00","9208246.00","251953.00","315443.00","567396.00","5720008.00","185044.00","2007235.00","607502.00","-12185.00","8507604.00","--","--","133246.00","8640850.00","--","0.00","2112865.00","14.93"
"114/03/26","105","4","1201","味全","19715510.00","14152423.00","33867933.00","22986719.00","3791828.00","26778547.00","5060629.00","688.00","-361846.00","-15442.00","--","4684029.00","--","--","2405357.00","7089386.00","0.00","0.00","0.00","9.26"
"114/03/26","105","4","1203","味王","3840797.00","4759749.00","8600546.00","1670553.00","1647121.00","3317674.00","2400000.00","112965.00","1816095.00","90791.00","-38464.00","4381387.00","--","--","901485.00","5282872.00","0.00","0.00","2293865.00","18.43"
"114/03/26","105","4","1210","大成","19613298.00","18250994.00","37864292.00","15899996.00","1781282.00","17681278.00","7363944.00","2471263.00","4385307.00","853315.00","-306199.00","14767630.00","--","--","5415384.00","20183014.00","--","0.00","52894691.00","21.61"
"114/03/26","105","4","1213","大飲","404937.00","446294.00","851231.00","125998.00","31192.00","157190.00","566226.00","21938.00","106077.00","-200.00","--","694041.00","--","--","--","694041.00","0.00","0.00","0.00","12.26"
"114/03/26","105","4","1215","卜蜂","4654788.00","6532390.00","11187178.00","4081285.00","497156.00","4578441.00","2679910.00","967.00","2223021.00","1502172.00","--","6406070.00","--","--","202667.00","6608737.00","0.00","0.00","0.00","23.90"
"114/03/26","105","4","1216","統一","139819001.00","238766464.00","378585465.00","140997934.00","84887265.00","225885199.00","56820154.00","3900138.00","35508754.00","-1823199.00","--","94405847.00","--","--","58294419.00","152700266.00","0.00","0.00","0.00","16.61"
"114/03/26","105","4","1217","愛之味","2093466.00","9452223.00","11545689.00","2818893.00","2685421.00","5504314.00","4945134.00","256837.00","315859.00","-168212.00","0.00","5349618.00","--","--","691757.00","6041375.00","0.00","0.00","0.00","10.82"
"114/03/26","105","4","1218","泰山","3134401.00","4748445.00","7882846.00","2415600.00","1991079.00","4406679.00","3533360.00","23770.00","149478.00","-32070.00","-203876.00","3470662.00","--","--","5505.00","3476167.00","0.00","0.00","13680042.00","10.22"
"114/03/26","105","4","1219","福壽","3957017.00","4072053.00","8029070.00","1867229.00","2284981.00","4152210.00","3188256.00","32946.00","634818.00","-1125.00","--","3854895.00","--","--","21965.00","3876860.00","0.00","0.00","0.00","12.09"
