出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,備供出售金融資產－淨額,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/03/26","105","4","2880","華南金","49695558.00","173059582.00","63108328.00","121586378.00","876.00","349015.00","39320895.00","330891.00","52653.00","1578533168.00","4107957.00","400946073.00","57665.00","--","65862973.00","9633097.00","32369672.00","536897.00","2410889.00","3979395.00","2545941962.00","122944916.00","--","13713879.00","15162.00","41941561.00","15706047.00","38697024.00","1271789.00","--","2062911746.00","50646716.00","1670000.00","--","18060519.00","9383510.00","6109882.00","3885941.00","2386958692.00","105204951.00","17758986.00","36464135.00","-446342.00","--","--","158981730.00","1540.00","158983270.00","--","0.00","0.00","15.11"
"114/03/26","105","4","2881","富邦金","176347729.00","280627636.00","163910238.00","1631039162.00","1329276.00","94388499.00","134983628.00","1618718.00","49606.00","1636622497.00","23804912.00","377185061.00","23300447.00","--","1471680907.00","175529080.00","57262849.00","28900583.00","9991402.00","62686042.00","6351258272.00","80851838.00","7081137.00","97546186.00","2935500.00","122889790.00","654787.00","84255953.00","9823469.00","--","2121289731.00","178601095.00","4420000.00","--","2999495105.00","177391307.00","10794468.00","26122520.00","5924152886.00","108336040.00","102713132.00","238544307.00","-22773818.00","--","--","426819661.00","285725.00","427105386.00","0.00","0.00","0.00","39.40"
"114/03/26","105","4","2882","國泰金","196549185.00","71940935.00","244529264.00","1591359657.00","232269.00","49524682.00","154212060.00","4215323.00","0.00","2045532795.00","8767841.00","81826739.00","35209790.00","--","3036381213.00","311014127.00","164114231.00","58597243.00","14729993.00","66400120.00","8135137467.00","77493795.00","0.00","115014826.00","0.00","59139059.00","41578838.00","55295781.00","3512350.00","--","1999943172.00","51900000.00","--","--","4596525084.00","561224829.00","26362443.00","17323269.00","7605313446.00","133965102.00","130448697.00","252687821.00","6222952.00","--","--","523324572.00","6499449.00","529824021.00","0.00","0.00","0.00","39.06"
"114/03/26","105","4","2883","凱基金","28312347.00","71884564.00","159280102.00","106359065.00","--","29883158.00","92190214.00","855145.00","--","252376992.00","--","300000.00","12675804.00","27933924.00","64285076.00","2179356.00","14512916.00","7948378.00","4912053.00","16308415.00","892197509.00","31078769.00","--","51565266.00","--","119560443.00","17549797.00","60337328.00","826620.00","--","315451964.00","27684236.00","19878458.00","--","1373667.00","62753830.00","1487885.00","15552208.00","725100471.00","149744213.00","1104521.00","16798782.00","-1782652.00","-2376747.00","--","163488117.00","3608921.00","167097038.00","--","1000.00","323231938.00","11.16"
"114/03/26","105","4","2884","玉山金","36813204.00","62731770.00","366689364.00","141645924.00","--","173470.00","83935869.00","33.00","--","1118148669.00","--","3616960.00","--","--","31009269.00","2033334.00","26439666.00","6241852.00","438264.00","4382542.00","1884300190.00","52516006.00","--","42145098.00","--","8881723.00","2557414.00","27503039.00","1636966.00","--","1557116388.00","48950000.00","3592271.00","--","442271.00","6903561.00","925546.00","1948549.00","1755118832.00","87654000.00","20658669.00","19802447.00","409359.00","--","--","128524475.00","656883.00","129181358.00","--","0.00","0.00","14.66"
"114/03/26","105","4","2885","元大金","62625574.00","137403382.00","392778509.00","277420469.00","--","36499146.00","146219693.00","1845929.00","36265.00","791673242.00","415679.00","116136617.00","2052715.00","5546781.00","99416653.00","6153340.00","20885538.00","36600681.00","6238885.00","22296486.00","2162245584.00","28846322.00","--","101204943.00","220.00","195838373.00","19295184.00","153687021.00","4732529.00","--","1050062790.00","78197495.00","45821349.00","3896505.00","161386351.00","74506891.00","3879175.00","21095871.00","1942451019.00","119986478.00","37956289.00","40441423.00","4524288.00","-1498603.00","--","201409875.00","18384690.00","219794565.00","0.00","0.00","125875001.00","16.96"
"114/03/26","105","4","2886","兆豐金","98131357.00","540011742.00","186317373.00","354464708.00","--","2855885.00","86825802.00","577485.00","0.00","1715278766.00","4261668.00","280997362.00","3108470.00","--","14955209.00","1711561.00","21787452.00","270438.00","5463227.00","2772911.00","3319791416.00","401731599.00","39974427.00","12105231.00","--","231191763.00","11701649.00","59001999.00","8589599.00","--","2171287924.00","41924088.00","5954030.00","--","25047224.00","10849706.00","2201659.00","6203075.00","3027763973.00","135998240.00","68194233.00","89958846.00","-2165966.00","0.00","--","291985353.00","42090.00","292027443.00","0.00","0.00","0.00","21.47"
"114/03/26","105","4","2887","台新金","20274849.00","76897693.00","89814395.00","302421489.00","--","5340360.00","113258142.00","534816.00","--","877317379.00","--","6126.00","36822426.00","--","14051576.00","866065.00","18514420.00","2200915.00","2950676.00","15714400.00","1576985727.00","46966461.00","--","35815311.00","--","70108624.00","8537889.00","30162981.00","1123810.00","--","1104139089.00","75000000.00","7485844.00","--","1165486.00","44120749.00","127762.00","3356087.00","1428110093.00","103825072.00","27132585.00","18051306.00","-257823.00","--","--","148751140.00","124494.00","148875634.00","--","7649000.00","0.00","14.33"
"114/03/26","105","4","2888","新光金","48594815.00","80861581.00","111206127.00","362155777.00","--","15483759.00","83891232.00","4282426.00","0.00","688641256.00","--","761286083.00","0.00","--","816038450.00","110288861.00","28819220.00","2858002.00","13668876.00","29596107.00","3157672572.00","2685360.00","--","24096961.00","--","26987935.00","0.00","31487058.00","134266.00","--","657104926.00","45802604.00","2653000.00","--","2140109002.00","73606228.00","4131864.00","13305283.00","3022104487.00","102281441.00","9577224.00","35251281.00","-23806156.00","-1907115.00","--","121396675.00","14171410.00","135568085.00","--","0.00","200000000.00","12.11"
"114/03/26","105","4","2889","國票金","1993195.00","177492.00","123200250.00","103914636.00","--","589962.00","15073595.00","488767.00","--","--","--","988462.00","1618287.00","--","4552218.00","--","1903896.00","364019.00","96821.00","1210981.00","256172581.00","--","18505752.00","235128.00","--","183998860.00","8211458.00","6706110.00","177103.00","--","--","--","--","--","1399410.00","1453999.00","21081.00","431166.00","221140067.00","27460748.00","100068.00","3542751.00","147381.00","-316245.00","--","30934703.00","4097811.00","35032514.00","--","0.00","40000000.00","11.43"
"114/03/26","105","4","2890","永豐金","28122261.00","142406843.00","117189893.00","241794535.00","--","16758811.00","75586574.00","393253.00","--","894394211.00","--","78132231.00","420179.00","--","45466838.00","2649839.00","12565470.00","3209306.00","2988558.00","16851549.00","1678930351.00","29854651.00","--","26801740.00","19705.00","45686894.00","46819831.00","34745908.00","790532.00","--","1249596128.00","41779336.00","25997020.00","18437.00","3215411.00","30482014.00","1562452.00","7662339.00","1545032398.00","106763797.00","2227009.00","24016672.00","832637.00","--","--","133840115.00","57838.00","133897953.00","--","0.00","0.00","12.54"
"114/03/26","105","4","2891","中信金","128881516.00","265151265.00","195315251.00","808810459.00","416342.00","25510984.00","130315259.00","2377851.00","--","2112661940.00","3322732.00","216315007.00","17885709.00","--","739955696.00","47009937.00","60463447.00","23383294.00","10347900.00","51126665.00","4839251254.00","63498683.00","15752488.00","97582396.00","303599.00","49491084.00","28248099.00","78876776.00","2435981.00","--","2748419254.00","99355898.00","--","0.00","1152859490.00","199621926.00","1506995.00","19103166.00","4557055835.00","194969896.00","36637717.00","67810916.00","-16728988.00","-582754.00","--","282106787.00","88632.00","282195419.00","--","0.00","27168000.00","14.49"
"114/03/26","105","4","2892","第一金","62114275.00","212149563.00","86755897.00","147365013.00","0.00","0.00","62848009.00","442235.00","--","1544094992.00","10991.00","344583594.00","2281074.00","--","36009745.00","9526074.00","27367819.00","417196.00","1727240.00","3462618.00","2541156335.00","126253621.00","95859.00","23691418.00","0.00","9995347.00","12596063.00","71763770.00","1905454.00","--","1973472355.00","42300000.00","2705205.00","--","13385094.00","61093064.00","5738127.00","4132036.00","2349127413.00","119768562.00","25916221.00","39753479.00","6336770.00","--","--","191775032.00","253890.00","192028922.00","0.00","0.00","0.00","16.01"
"114/03/26","105","4","5880","合庫金","55452824.00","295423266.00","54427847.00","178645924.00","--","1298413.00","26034155.00","1292964.00","--","1966819818.00","8034.00","512635209.00","121381.00","--","199782619.00","3739784.00","38233003.00","3616843.00","1114522.00","2680479.00","3341327085.00","234035185.00","--","15131105.00","--","44139415.00","16515191.00","48439269.00","248785.00","--","2562587776.00","74610000.00","1328384.00","--","50334071.00","90127625.00","3313792.00","2035626.00","3142846224.00","118472850.00","57964343.00","18864961.00","-624156.00","--","--","194677998.00","3802863.00","198480861.00","--","0.00","0.00","16.43"
