出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","102","4","2801","彰銀","-42686055.00","28417.00","31609300.00","282193.00","-10766145.00","83966009.00","73199864.00"
"114/03/26","102","4","2809","京城銀","145464.00","-1186186.00","3485060.00","42043.00","2486381.00","47627698.00","50114079.00"
"114/03/26","102","4","2812","台中銀","-4286693.00","5469223.00","5364632.00","24265.00","6571427.00","65866855.00","72438282.00"
"114/03/26","102","4","2820","華票","--","--","--","--","--","--","--"
"114/03/26","102","4","2834","臺企銀","24046871.00","-25709589.00","7721166.00","36300.00","6094748.00","26149415.00","32244163.00"
"114/03/26","102","4","2836","高雄銀","-3861035.00","-215581.00","1949673.00","9475.00","-2117468.00","26428457.00","24310989.00"
"114/03/26","102","4","2838","聯邦銀","-10024347.00","-4369514.00","3168489.00","251127.00","-10974245.00","93538427.00","82564182.00"
"114/03/26","102","4","2845","遠東銀","-1781443.00","35439.00","4103300.00","-25115.00","2332181.00","100225182.00","102557363.00"
"114/03/26","102","4","2849","安泰銀","-618752.00","387020.00","1065925.00","49421.00","883614.00","3309584.00","4193198.00"
"114/03/26","102","4","2897","王道銀行","-20660582.00","13777001.00","11815215.00","-233324.00","4698310.00","7930057.00","12628367.00"
"114/03/26","102","4","5876","上海商銀","-76244852.00","-563435.00","-10852284.00","3463085.00","-84197486.00","276607164.00","192409678.00"
