出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","105","1","1101","台泥","5608258.00","-2382291.00","-10249223.00","-207064.00","-7230320.00","38977360.00","31747040.00"
"114/03/26","105","1","1102","亞泥","3170445.00","390839.00","-4032008.00","-164499.00","-635223.00","11024089.00","10388866.00"
"114/03/26","105","1","1103","嘉泥","-94066.00","847985.00","-361221.00","-25734.00","366964.00","1829306.00","2196270.00"
"114/03/26","105","1","1104","環泥","-134848.00","-125015.00","300709.00","0.00","40846.00","395027.00","435873.00"
"114/03/26","105","1","1108","幸福","-91538.00","-26425.00","75487.00","841.00","-41635.00","220129.00","178494.00"
"114/03/26","105","1","1109","信大","45729.00","-142184.00","-25508.00","-8794.00","-130757.00","675075.00","544318.00"
"114/03/26","105","1","1110","東泥","-110493.00","259352.00","18271.00","--","167130.00","496486.00","663616.00"
"114/03/26","105","1","1201","味全","-2278301.00","143368.00","1778789.00","-256702.00","-612846.00","3664391.00","3051545.00"
"114/03/26","105","1","1203","味王","126386.00","-21459.00","79164.00","-5239.00","178852.00","1184617.00","1363469.00"
"114/03/26","105","1","1210","大成","1156253.00","-198041.00","-1136308.00","-114989.00","-293085.00","4404597.00","4111512.00"
"114/03/26","105","1","1213","大飲","-14889.00","-17294.00","14941.00","9.00","-17233.00","261704.00","244471.00"
"114/03/26","105","1","1215","卜蜂","365525.00","-287423.00","-139372.00","-3280.00","-64550.00","242233.00","177683.00"
"114/03/26","105","1","1216","統一","14344705.00","-12301035.00","-1464933.00","-195989.00","382748.00","45034743.00","45417491.00"
"114/03/26","105","1","1217","愛之味","-48227.00","-3691.00","-72719.00","-9088.00","-133725.00","636247.00","502522.00"
"114/03/26","105","1","1218","泰山","-32071.00","-122279.00","429432.00","-7255.00","267827.00","726095.00","993922.00"
"114/03/26","105","1","1219","福壽","387865.00","-113279.00","-237193.00","650.00","38043.00","833690.00","871733.00"
"114/03/26","105","1","1220","台榮","90555.00","-24066.00","-78713.00","-4558.00","-16782.00","434642.00","417860.00"
"114/03/26","105","1","1225","福懋油","284753.00","-11251.00","-253268.00","-25053.00","-4819.00","451931.00","447112.00"
"114/03/26","105","1","1227","佳格","919748.00","-486719.00","-754866.00","-20416.00","-342253.00","2916818.00","2574565.00"
"114/03/26","105","1","1229","聯華","363743.00","-346680.00","100035.00","24414.00","141512.00","604099.00","745611.00"
"114/03/26","105","1","1231","聯華食","-122728.00","61643.00","174050.00","-1179.00","111786.00","196732.00","308518.00"
"114/03/26","105","1","1232","大統益","229577.00","-8202.00","-1136.00","0.00","220239.00","1232661.00","1452900.00"
"114/03/26","105","1","1233","天仁","59050.00","-27080.00","-18971.00","584.00","13583.00","213357.00","226940.00"
"114/03/26","105","1","1234","黑松","-345400.00","171387.00","-354201.00","4773.00","-523441.00","3377050.00","2853609.00"
"114/03/26","105","1","1235","興泰","40009.00","-78037.00","32965.00","-20.00","-5083.00","13940.00","8857.00"
"114/03/26","105","1","1236","宏亞","-99247.00","-39892.00","101848.00","1090.00","-36201.00","203654.00","167453.00"
"114/03/26","105","1","1256","鮮活果汁-KY","39815.00","-17239.00","85235.00","-3099.00","104712.00","334510.00","439222.00"
"114/03/26","105","1","1301","台塑","5063847.00","-1967870.00","7522844.00","203508.00","10822329.00","19756722.00","30579051.00"
"114/03/26","105","1","1303","南亞","7251162.00","-2229514.00","2845427.00","-1756073.00","6111002.00","51911314.00","58022316.00"
"114/03/26","105","1","1304","台聚","1107468.00","-149604.00","-275835.00","-152851.00","529178.00","7267382.00","7796560.00"
"114/03/26","105","1","1305","華夏","344957.00","-52769.00","12100.00","-2172.00","302116.00","782564.00","1084680.00"
"114/03/26","105","1","1307","三芳","267492.00","-776626.00","99250.00","-97942.00","-507826.00","4523915.00","4016089.00"
"114/03/26","105","1","1308","亞聚","-45544.00","-18673.00","149503.00","-3840.00","81446.00","330356.00","411802.00"
"114/03/26","105","1","1309","台達化","228676.00","-189882.00","5364.00","-5629.00","38529.00","586040.00","624569.00"
"114/03/26","105","1","1310","台苯","474206.00","-15555.00","-142523.00","-1381.00","314747.00","2673347.00","2988094.00"
"114/03/26","105","1","1312","國喬","133648.00","-137960.00","27504.00","-18145.00","5047.00","810436.00","815483.00"
"114/03/26","105","1","1313","聯成","527615.00","-736376.00","-959386.00","-163988.00","-1332135.00","8876114.00","7543979.00"
"114/03/26","105","1","1314","中石化","-651729.00","207377.00","857353.00","3937.00","416938.00","8887290.00","9304228.00"
"114/03/26","105","1","1315","達新","75430.00","-49109.00","145523.00","-5913.00","165931.00","683871.00","849802.00"
"114/03/26","105","1","1316","上曜","-83122.00","-24945.00","-40000.00","-8255.00","-156322.00","623994.00","467672.00"
"114/03/26","105","1","1319","東陽","1215618.00","-1160685.00","-622158.00","9649.00","-557576.00","2061468.00","1503892.00"
"114/03/26","105","1","1321","大洋","-310583.00","-217954.00","528632.00","-1544.00","-1449.00","322924.00","321475.00"
"114/03/26","105","1","1323","永裕","-98587.00","-3056.00","80000.00","-4440.00","-26083.00","686552.00","660469.00"
"114/03/26","105","1","1324","地球","22595.00","-12301.00","-100.00","-400.00","9794.00","295017.00","304811.00"
"114/03/26","105","1","1325","恆大","63763.00","-153237.00","0.00","-1027.00","-90501.00","152665.00","62164.00"
"114/03/26","105","1","1326","台化","9758303.00","-6134624.00","-929212.00","-1171794.00","1522673.00","34744139.00","36266812.00"
"114/03/26","105","1","1337","再生-KY","421715.00","-36616.00","0.00","-15428.00","369671.00","1554007.00","1923678.00"
"114/03/26","105","1","1338","廣華-KY","235004.00","-145585.00","-71608.00","-32339.00","-14528.00","2315158.00","2300630.00"
"114/03/26","105","1","1339","昭輝","98583.00","-202591.00","43858.00","3417.00","-56733.00","594925.00","538192.00"
"114/03/26","105","1","1340","勝悅-KY","213196.00","-396998.00","-60599.00","-8673.00","-253074.00","3016221.00","2763147.00"
"114/03/26","105","1","1402","遠東新","11327322.00","-11672648.00","1335155.00","-244897.00","744932.00","40878814.00","41623746.00"
"114/03/26","105","1","1410","南染","54408.00","-76481.00","--","--","-22073.00","439502.00","417429.00"
"114/03/26","105","1","1413","宏洲","-51028.00","-872.00","54122.00","--","2222.00","26163.00","28385.00"
"114/03/26","105","1","1414","東和","--","--","--","--","--","--","--"
"114/03/26","105","1","1416","廣豐","365785.00","272172.00","-628846.00","-388.00","8723.00","108639.00","117362.00"
"114/03/26","105","1","1417","嘉裕","-155635.00","55800.00","18096.00","-8078.00","-89817.00","856994.00","767177.00"
"114/03/26","105","1","1418","東華","-4290.00","-3372.00","6419.00","--","-1243.00","50695.00","49452.00"
"114/03/26","105","1","1419","新紡","91873.00","-26245.00","33884.00","-6141.00","93371.00","514142.00","607513.00"
"114/03/26","105","1","1423","利華","--","--","--","--","--","--","--"
"114/03/26","105","1","1432","大魯閣","-111589.00","-558933.00","374652.00","4784.00","-291086.00","590087.00","299001.00"
"114/03/26","105","1","1434","福懋","912464.00","-1026392.00","144707.00","23805.00","54584.00","5640597.00","5695181.00"
"114/03/26","105","1","1435","中福","-82.00","-5000.00","0.00","0.00","-5082.00","60224.00","55142.00"
"114/03/26","105","1","1436","華友聯","-71255.00","-498.00","171091.00","--","99338.00","275058.00","374396.00"
"114/03/26","105","1","1437","勤益控","-4095.00","43478.00","-29866.00","-3898.00","5619.00","366883.00","372502.00"
"114/03/26","105","1","1438","三地開發","--","--","--","--","--","--","--"
"114/03/26","105","1","1439","雋揚","--","--","--","--","--","--","--"
"114/03/26","105","1","1440","南紡","-768975.00","-441258.00","721861.00","-99997.00","-588369.00","1895521.00","1307152.00"
"114/03/26","105","1","1441","大東","38783.00","89298.00","50339.00","-7662.00","170758.00","87458.00","258216.00"
"114/03/26","105","1","1442","名軒","-307233.00","-24092.00","162457.00","--","-168868.00","521663.00","352795.00"
"114/03/26","105","1","1443","立益物流","-54818.00","1262.00","48777.00","30876.00","26097.00","52233.00","78330.00"
"114/03/26","105","1","1444","力麗","-64598.00","-65765.00","702491.00","-133906.00","438222.00","3691833.00","4130055.00"
"114/03/26","105","1","1445","大宇","22639.00","-1517.00","-1.00","-1.00","21120.00","267328.00","288448.00"
"114/03/26","105","1","1446","宏和","-33702.00","-22.00","-6606.00","-3766.00","-44096.00","217090.00","172994.00"
"114/03/26","105","1","1447","力鵬","631336.00","-353065.00","287249.00","-117766.00","447754.00","2896269.00","3344023.00"
"114/03/26","105","1","1449","佳和","-101469.00","-36500.00","30655.00","-797.00","-108111.00","342655.00","234544.00"
"114/03/26","105","1","1451","年興","527562.00","-95700.00","11644.00","-24035.00","419471.00","1614577.00","2034048.00"
"114/03/26","105","1","1452","宏益","--","--","--","--","--","--","--"
"114/03/26","105","1","1453","大將","-14626.00","12227.00","10705.00","--","8306.00","19922.00","28228.00"
"114/03/26","105","1","1454","台富","-44432.00","-16025.00","80400.00","--","19943.00","150977.00","170920.00"
"114/03/26","105","1","1455","集盛","-13405.00","-174892.00","288130.00","-116.00","99717.00","228323.00","328040.00"
"114/03/26","105","1","1456","怡華","-74477.00","15322.00","59881.00","--","726.00","23269.00","23995.00"
"114/03/26","105","1","1457","宜進","19954.00","70411.00","31369.00","-664.00","121070.00","289926.00","410996.00"
