出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","110","3","2801","彰銀","-37926893.00","-454694.00","-25492337.00","-447811.00","-64321735.00","175454685.00","111132950.00"
"114/03/26","110","3","2809","京城銀","12900043.00","-247238.00","-13617901.00","45671.00","-919425.00","10582934.00","9663509.00"
"114/03/26","110","3","2812","台中銀","-3605132.00","-145989.00","1539685.00","34791.00","-2176645.00","46249219.00","44072574.00"
"114/03/26","110","3","2820","華票","--","--","--","--","--","--","--"
"114/03/26","110","3","2834","臺企銀","32112883.00","-44800242.00","13633161.00","-17906.00","927896.00","30817437.00","31745333.00"
"114/03/26","110","3","2836","高雄銀","--","--","--","--","--","--","--"
"114/03/26","110","3","2838","聯邦銀","-4515670.00","-2876240.00","4763051.00","-409541.00","-3038400.00","72872911.00","69834511.00"
"114/03/26","110","3","2845","遠東銀","8538149.00","685443.00","-1258239.00","-387385.00","7577968.00","38991142.00","46569110.00"
"114/03/26","110","3","2849","安泰銀","--","--","--","--","--","--","--"
"114/03/26","110","3","2897","王道銀行","5120932.00","86774.00","-256610.00","-279912.00","4671184.00","16905644.00","21576828.00"
"114/03/26","110","3","5876","上海商銀","25218257.00","-5198645.00","-2201066.00","-4519306.00","13299240.00","195843112.00","209142352.00"
