出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/03/26","113","2","2801","彰銀","-28109834.00","-345996.00","4679204.00","1953078.00","-21823548.00","135031401.00","113207853.00"
"114/03/26","113","2","2809","京城銀","-2516610.00","673425.00","1289464.00","-20989.00","-574710.00","20630267.00","20055557.00"
"114/03/26","113","2","2812","台中銀","2909172.00","-19553030.00","1724674.00","56259.00","-14862925.00","58184278.00","43321353.00"
"114/03/26","113","2","2820","華票","--","--","--","--","--","--","--"
"114/03/26","113","2","2834","臺企銀","15768074.00","-14407333.00","-2577759.00","34411.00","-1182607.00","34356881.00","33174274.00"
"114/03/26","113","2","2836","高雄銀","--","--","--","--","--","--","--"
"114/03/26","113","2","2838","聯邦銀","-8255490.00","-1339128.00","445145.00","847238.00","-8302235.00","74254434.00","65952199.00"
"114/03/26","113","2","2845","遠東銀","6817238.00","-383925.00","-3287249.00","710253.00","3856317.00","33369904.00","37226221.00"
"114/03/26","113","2","2849","安泰銀","--","--","--","--","--","--","--"
"114/03/26","113","2","2897","王道銀行","3551601.00","-135280.00","6935952.00","254654.00","10606927.00","18767399.00","29374326.00"
"114/03/26","113","2","5876","上海商銀","39744945.00","-949848.00","-14886438.00","14580826.00","38489485.00","356404573.00","394894058.00"
