出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","102","1","2880","華南金","5586718.00","3274288.00","8861006.00","884379.00","--","4881177.00","3095450.00","-498690.00","2596760.00","--","2596760.00","385207.00","2981967.00","2596750.00","--","10.00","2981957.00","--","10.00","0.30"
"114/03/26","102","1","2881","富邦金","17324979.00","68774115.00","86099094.00","-189654.00","63848464.00","10142872.00","12297412.00","-2150996.00","10146416.00","--","10146416.00","-11320831.00","-1174415.00","10146416.00","--","--","-1174415.00","--","--","1.06"
"114/03/26","102","1","2882","國泰金","28690203.00","59134763.00","87824966.00","89058.00","67123878.00","12779271.00","7832759.00","-768339.00","7064420.00","--","7064420.00","122056.00","7186476.00","6929169.00","--","135251.00","6930883.00","--","255593.00","0.65"
"114/03/26","102","1","2883","凱基金","975070.00","4166449.00","5141519.00","108010.00","--","3377533.00","1655976.00","-194677.00","1461299.00","--","1461299.00","2959474.00","4420773.00","1428786.00","--","32513.00","4387341.00","--","33432.00","0.10"
"114/03/26","102","1","2884","玉山金","3077352.00","3580319.00","6657671.00","350558.00","--","3539425.00","2767688.00","-499504.00","2268184.00","--","2268184.00","856225.00","3124409.00","2268184.00","--","--","3124409.00","--","--","0.45"
"114/03/26","102","1","2885","元大金","2355867.00","4367219.00","6723086.00","117311.00","--","4591493.00","2014282.00","-298179.00","1716103.00","--","1716103.00","-190658.00","1525445.00","1619851.00","--","96252.00","1404087.00","--","121358.00","0.16"
"114/03/26","102","1","2886","兆豐金","7588805.00","5686900.00","13275705.00","861176.00","-97943.00","5310316.00","7202156.00","-1014569.00","6187587.00","--","6187587.00","1423501.00","7611088.00","6186420.00","--","1167.00","7587240.00","--","23848.00","0.54"
"114/03/26","102","1","2887","台新金","7489395.00","6241503.00","13730898.00","-674987.00","--","7310553.00","7095332.00","-1097119.00","5998213.00","--","5998213.00","-542340.00","5455873.00","4181690.00","--","1816523.00","3698449.00","--","1757424.00","0.57"
"114/03/26","102","1","2888","新光金","13253913.00","23583277.00","36837190.00","280338.00","22822048.00","4994015.00","8740789.00","-1094406.00","7646383.00","--","7646383.00","1169692.00","8816075.00","7429210.00","--","217173.00","8522254.00","--","293821.00","0.88"
"114/03/26","102","1","2889","國票金","363460.00","607323.00","970783.00","-17671.00","--","605224.00","383230.00","-66499.00","316731.00","--","316731.00","-30669.00","286062.00","306999.00","--","9732.00","274077.00","--","11985.00","0.12"
"114/03/26","102","1","2890","永豐金","3843535.00","4023152.00","7866687.00","-113858.00","--","4432525.00","3548020.00","-674849.00","2873171.00","--","2873171.00","912960.00","3786131.00","2873171.00","--","0.00","3786131.00","--","--","0.38"
"114/03/26","102","1","2891","中信金","7877297.00","17195718.00","25073015.00","-245250.00","8295097.00","9388979.00","7634189.00","-1188269.00","6445920.00","--","6445920.00","-671682.00","5774238.00","6443898.00","--","2022.00","5770572.00","--","3666.00","0.52"
"114/03/26","102","1","2892","第一金","6310475.00","2232541.00","8543016.00","235337.00","150561.00","4604638.00","3552480.00","-582424.00","2970056.00","0.00","2970056.00","1109395.00","4079451.00","2963417.00","--","6639.00","4089196.00","--","-9745.00","0.36"
"114/03/26","102","1","5880","合庫金","6846810.00","2907983.00","9754793.00","964812.00","679725.00","5253719.00","2856537.00","-447708.00","2408829.00","--","2408829.00","-403735.00","2005094.00","2376887.00","--","31942.00","2025392.00","--","-20298.00","0.30"
