出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","102","4","2801","彰銀","17080428.00","6742781.00","-637773.00","13713262.00","10747720.00","-1929471.00","8818249.00","--","--","8818249.00","-586318.00","--","8231931.00","8818249.00","--","--","8231931.00","--","--","1.14"
"114/03/26","102","4","2809","京城銀","4341162.00","2430890.00","567374.00","1442137.00","4762541.00","-620528.00","4142013.00","--","--","4142013.00","459773.00","--","4601786.00","4142013.00","--","--","4601786.00","--","--","3.53"
"114/03/26","102","4","2812","台中銀","6310267.00","2953985.00","1864173.00","3863100.00","3536979.00","-476708.00","3060271.00","--","--","3060271.00","-175831.00","--","2884440.00","3060271.00","--","--","2884440.00","--","--","1.23"
"114/03/26","102","4","2820","華票","910987.00","705132.00","-543319.00","475551.00","1683887.00","-283026.00","1400861.00","--","--","1400861.00","-168978.00","--","1231883.00","--","--","--","--","--","--","1.04"
"114/03/26","102","4","2834","臺企銀","13594502.00","4128739.00","3000139.00","10866352.00","3856750.00","-246548.00","3610202.00","0.00","--","3610202.00","-1379.00","--","3608823.00","3610202.00","0.00","0.00","3608823.00","0.00","0.00","0.71"
"114/03/26","102","4","2836","高雄銀","2269327.00","667938.00","400838.00","2057308.00","479119.00","-60014.00","419105.00","--","--","419105.00","-211736.00","--","207369.00","419105.00","--","0.00","207369.00","--","0.00","0.58"
"114/03/26","102","4","2838","聯邦銀","5840519.00","4650027.00","-95868.00","7178056.00","3408358.00","-520554.00","2887804.00","0.00","--","2887804.00","686856.00","--","3574660.00","2867891.00","--","19913.00","3554518.00","--","20142.00","1.30"
"114/03/26","102","4","2845","遠東銀","4884367.00","4603262.00","-68604.00","5993126.00","3563107.00","-501837.00","3061270.00","--","--","3061270.00","-132848.00","--","2928422.00","3061270.00","--","--","2928422.00","--","--","1.30"
"114/03/26","102","4","2849","安泰銀","4225947.00","2335572.00","196560.00","3016584.00","3348375.00","-707120.00","2641255.00","0.00","--","2641255.00","-599275.00","--","2041980.00","2641255.00","--","0.00","2041980.00","--","0.00","1.57"
"114/03/26","102","4","2897","王道銀行","2134450.00","3820924.00","202292.00","2983056.00","2770026.00","-593717.00","2176309.00","--","--","2176309.00","-220990.00","--","1955319.00","1128836.00","--","1047473.00","1069643.00","--","885676.00","0.47"
"114/03/26","102","4","5876","上海商銀","17652026.00","9385615.00","736933.00","10129089.00","16171619.00","-3129561.00","13042058.00","--","--","13042058.00","2291039.00","--","15333097.00","10143546.00","--","2898512.00","11322873.00","--","4010224.00","2.74"
