出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","103","2","2801","彰銀","9265803.00","3435735.00","-1510036.00","7093380.00","7118194.00","-1149971.00","5968223.00","--","--","5968223.00","41834.00","--","6010057.00","5968223.00","--","--","6010057.00","--","--","0.76"
"114/03/26","103","2","2809","京城銀","2410750.00","1797021.00","72623.00","722683.00","3412465.00","-526359.00","2886106.00","--","--","2886106.00","1172733.00","--","4058839.00","2886106.00","--","--","4058839.00","--","--","2.40"
"114/03/26","103","2","2812","台中銀","3428986.00","1786622.00","764152.00","2134537.00","2316919.00","-271218.00","2045701.00","--","--","2045701.00","78850.00","--","2124551.00","2045701.00","--","--","2124551.00","--","--","0.74"
"114/03/26","103","2","2820","華票","479778.00","504870.00","-61229.00","218714.00","827163.00","-126545.00","700618.00","--","--","700618.00","52353.00","--","752971.00","--","--","--","--","--","--","0.52"
"114/03/26","103","2","2834","臺企銀","7146417.00","2022112.00","1361449.00","5241444.00","2565636.00","-32772.00","2532864.00","--","--","2532864.00","-18669.00","--","2514195.00","2532864.00","--","0.00","2514195.00","--","0.00","0.48"
"114/03/26","103","2","2836","高雄銀","1201569.00","446256.00","355849.00","1044795.00","247181.00","-35698.00","211483.00","--","--","211483.00","51504.00","--","262987.00","211483.00","--","0.00","262987.00","--","0.00","0.29"
"114/03/26","103","2","2838","聯邦銀","2939072.00","2328303.00","-283143.00","3658850.00","1891668.00","-336271.00","1555397.00","--","--","1555397.00","154075.00","--","1709472.00","1531887.00","--","23510.00","1685962.00","--","23510.00","0.63"
"114/03/26","103","2","2845","遠東銀","2553694.00","2739415.00","-85804.00","3100930.00","2277983.00","-304167.00","1973816.00","--","--","1973816.00","71813.00","--","2045629.00","1973816.00","--","--","2045629.00","--","--","0.71"
"114/03/26","103","2","2849","安泰銀","1988539.00","1490298.00","11143.00","1553895.00","1913799.00","-261966.00","1651833.00","0.00","--","1651833.00","221649.00","--","1873482.00","1651833.00","--","0.00","1873482.00","--","0.00","0.98"
"114/03/26","103","2","2897","王道銀行","1290700.00","2319353.00","125407.00","1640385.00","1844261.00","-347377.00","1496884.00","--","--","1496884.00","455300.00","--","1952184.00","975870.00","--","521014.00","1360813.00","--","591371.00","0.41"
"114/03/26","103","2","5876","上海商銀","9944594.00","4255313.00","351600.00","5151061.00","8697246.00","-1880318.00","6816928.00","--","--","6816928.00","693237.00","--","7510165.00","5258388.00","--","1558540.00","5861519.00","--","1648646.00","1.38"
