出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","103","2","2880","華南金","12256888.00","6969653.00","19226541.00","1335472.00","283468.00","10179940.00","7427661.00","-1102199.00","6325462.00","--","6325462.00","511822.00","6837284.00","6325434.00","--","28.00","6837256.00","--","28.00","0.68"
"114/03/26","103","2","2881","富邦金","43822551.00","136540868.00","180363419.00","398515.00","123682456.00","23129722.00","33152726.00","-5667608.00","27485118.00","--","27485118.00","31616688.00","59101806.00","27347943.00","--","137175.00","59107317.00","--","-5511.00","2.67"
"114/03/26","103","2","2882","國泰金","61487291.00","105624706.00","167111997.00","442641.00","107057816.00","26266323.00","33345217.00","-2743368.00","30601849.00","--","30601849.00","17920701.00","48522550.00","30453228.00","--","148621.00","48355251.00","--","167299.00","2.42"
"114/03/26","103","2","2883","凱基金","3566282.00","9450369.00","13016651.00","-67089.00","--","7430146.00","5653594.00","-752688.00","4900906.00","--","4900906.00","-71615.00","4829291.00","4821142.00","--","79764.00","4751061.00","--","78230.00","0.33"
"114/03/26","103","2","2884","玉山金","7261002.00","8614847.00","15875849.00","550811.00","--","8528588.00","6796450.00","-1218500.00","5577950.00","--","5577950.00","153620.00","5731570.00","5541927.00","--","36023.00","5694575.00","--","36995.00","0.86"
"114/03/26","103","2","2885","元大金","6429358.00","22240084.00","28669442.00","455311.00","4625860.00","10809710.00","12778561.00","-949408.00","11829153.00","--","11829153.00","245552.00","12074705.00","11721524.00","--","107629.00","11994154.00","--","80551.00","1.16"
"114/03/26","103","2","2886","兆豐金","17921272.00","13110688.00","31031960.00","662304.00","-64846.00","11091745.00","19342757.00","-3216728.00","16126029.00","--","16126029.00","2328134.00","18454163.00","16135439.00","--","-9410.00","18453159.00","--","1004.00","1.30"
"114/03/26","103","2","2887","台新金","16952013.00","13887325.00","30839338.00","-1231341.00","--","16389510.00","15681169.00","-2069513.00","13611656.00","--","13611656.00","15174.00","13626830.00","9035319.00","--","4576337.00","9018548.00","--","4608282.00","1.11"
"114/03/26","103","2","2888","新光金","30282418.00","57729674.00","88012092.00","816528.00","71358926.00","11703420.00","4133218.00","-775839.00","3357379.00","--","3357379.00","2932980.00","6290359.00","2723499.00","--","633880.00","5560010.00","--","730349.00","0.28"
"114/03/26","103","2","2889","國票金","771626.00","1913509.00","2685135.00","16848.00","--","1352444.00","1315843.00","-96083.00","1219760.00","--","1219760.00","84628.00","1304388.00","1083612.00","--","136148.00","1148891.00","--","155497.00","0.41"
"114/03/26","103","2","2890","永豐金","8944350.00","12723852.00","21668202.00","2641980.00","--","9874432.00","9151790.00","-1951548.00","7200242.00","--","7200242.00","-239947.00","6960295.00","7200402.00","--","-160.00","6960455.00","--","-160.00","0.88"
"114/03/26","103","2","2891","中信金","20388628.00","71586136.00","91974764.00","870400.00","39211515.00","21240896.00","30651953.00","-2169789.00","28482164.00","--","28482164.00","2286167.00","30768331.00","28477897.00","--","4267.00","30762191.00","--","6140.00","1.94"
"114/03/26","103","2","2892","第一金","13915264.00","7033613.00","20948877.00","1309808.00","404480.00","9832561.00","9402028.00","-1197021.00","8205007.00","0.00","8205007.00","894020.00","9099027.00","8207195.00","--","-2188.00","9102601.00","--","-3574.00","0.89"
"114/03/26","103","2","5880","合庫金","14395620.00","2505077.00","16900697.00","2760861.00","-2944936.00","10784473.00","6300299.00","-955203.00","5345096.00","--","5345096.00","-42013.00","5303083.00","5255115.00","--","89981.00","5230896.00","--","72187.00","0.58"
