出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","1","1101","台泥","21440142.00","18579134.00","2861008.00","--","--","2861008.00","1167500.00","--","1693508.00","-223641.00","1469867.00","495349.00","974518.00","--","--","974518.00","-772223.00","--","202295.00","808778.00","--","165740.00","349121.00","--","-146826.00","0.22"
"114/03/26","104","1","1102","亞泥","15362530.00","13729956.00","1632574.00","1263.00","--","1631311.00","593936.00","--","1037375.00","807325.00","1844700.00","302412.00","1542288.00","--","--","1542288.00","3927296.00","--","5469584.00","1468473.00","--","73815.00","5633392.00","--","-163808.00","0.47"
"114/03/26","104","1","1103","嘉泥","671355.00","747020.00","-75665.00","--","--","-75665.00","110102.00","--","-185767.00","-23780.00","-209547.00","-26257.00","-183290.00","--","--","-183290.00","-450076.00","--","-633366.00","-187780.00","--","4490.00","-622310.00","--","-11056.00","-0.29"
"114/03/26","104","1","1104","環泥","1327430.00","1217267.00","110163.00","--","--","110163.00","85583.00","--","24580.00","245154.00","269734.00","7897.00","261837.00","--","--","261837.00","45966.00","--","307803.00","263305.00","--","-1468.00","309271.00","--","-1468.00","0.43"
"114/03/26","104","1","1108","幸福","1290902.00","1021426.00","269476.00","--","--","269476.00","71038.00","--","198438.00","-11492.00","186946.00","31941.00","155005.00","--","--","155005.00","1625.00","--","156630.00","156298.00","--","-1293.00","157746.00","--","-1116.00","0.39"
"114/03/26","104","1","1109","信大","951789.00","836497.00","115292.00","--","--","115292.00","95126.00","--","20166.00","-12332.00","7834.00","6327.00","1507.00","0.00","--","1507.00","-26012.00","--","-24505.00","10502.00","--","-8995.00","-6970.00","--","-17535.00","0.02"
"114/03/26","104","1","1110","東泥","475433.00","428669.00","46764.00","--","--","46764.00","14024.00","--","32740.00","-1299.00","31441.00","-4546.00","35987.00","0.00","--","35987.00","59880.00","--","95867.00","35833.00","--","154.00","95714.00","--","153.00","0.06"
"114/03/26","104","1","1201","味全","4742993.00","3481869.00","1261124.00","--","--","1261124.00","1566544.00","--","-305420.00","-57183.00","-362603.00","-45329.00","-317274.00","-11978.00","--","-329252.00","-70076.00","--","-399328.00","-293436.00","--","-35816.00","-358480.00","--","-40848.00","-0.58"
"114/03/26","104","1","1203","味王","1654449.00","1253800.00","400649.00","0.00","0.00","400649.00","215972.00","--","184677.00","72209.00","256886.00","53655.00","203231.00","0.00","--","203231.00","13060.00","--","216291.00","118298.00","--","84933.00","130152.00","--","86139.00","0.50"
"114/03/26","104","1","1210","大成","20079300.00","18212106.00","1867194.00","--","--","1867194.00","1654463.00","--","212731.00","-29658.00","183073.00","93381.00","89692.00","--","--","89692.00","86631.00","--","176323.00","158238.00","--","-68546.00","344772.00","--","-168449.00","0.23"
"114/03/26","104","1","1213","大飲","182697.00","148624.00","34073.00","--","--","34073.00","21589.00","--","12484.00","1111.00","13595.00","2526.00","11069.00","--","--","11069.00","-3.00","--","11066.00","11069.00","--","--","11066.00","--","--","0.22"
"114/03/26","104","1","1215","卜蜂","4008464.00","3505592.00","502872.00","--","--","502872.00","273897.00","-12346.00","216629.00","4387.00","221016.00","42313.00","178703.00","--","--","178703.00","-300526.00","--","-121823.00","174847.00","--","3856.00","-124666.00","--","2843.00","0.72"
"114/03/26","104","1","1216","統一","104940238.00","70402856.00","34537382.00","--","--","34537382.00","28259488.00","--","6277894.00","2091236.00","8369130.00","1752853.00","6616277.00","--","--","6616277.00","-810146.00","--","5806131.00","4299459.00","--","2316818.00","3641583.00","--","2164548.00","0.79"
"114/03/26","104","1","1217","愛之味","1016187.00","717928.00","298259.00","--","--","298259.00","373784.00","--","-75525.00","-3926.00","-79451.00","-2836.00","-76615.00","--","--","-76615.00","-2867.00","--","-79482.00","-63155.00","--","-13460.00","-65913.00","--","-13569.00","-0.13"
"114/03/26","104","1","1218","泰山","1982171.00","1695365.00","286806.00","820.00","182.00","286168.00","311587.00","--","-25419.00","16164.00","-9255.00","472.00","-9727.00","--","--","-9727.00","-7631.00","--","-17358.00","-9803.00","--","76.00","-17434.00","--","76.00","-0.03"
"114/03/26","104","1","1219","福壽","2325248.00","2139275.00","185973.00","--","--","185973.00","164019.00","--","21954.00","4427.00","26381.00","7393.00","18988.00","--","--","18988.00","-752.00","--","18236.00","22504.00","--","-3516.00","21888.00","--","-3652.00","0.07"
"114/03/26","104","1","1220","台榮","837271.00","787147.00","50124.00","--","--","50124.00","62849.00","--","-12725.00","7827.00","-4898.00","-1064.00","-3834.00","--","--","-3834.00","8850.00","--","5016.00","-1573.00","--","-2261.00","7304.00","--","-2288.00","-0.01"
"114/03/26","104","1","1225","福懋油","2718613.00","2551783.00","166830.00","110.00","--","166720.00","116867.00","0.00","49853.00","-9955.00","39898.00","7456.00","32442.00","--","--","32442.00","-3546.00","--","28896.00","31588.00","--","854.00","28042.00","--","854.00","0.14"
"114/03/26","104","1","1227","佳格","7183052.00","4804777.00","2378275.00","--","--","2378275.00","1181377.00","--","1196898.00","17834.00","1214732.00","295884.00","918848.00","--","--","918848.00","-58867.00","--","859981.00","912101.00","--","6747.00","853234.00","--","6747.00","1.27"
"114/03/26","104","1","1229","聯華","1253789.00","1097685.00","156104.00","--","--","156104.00","103753.00","--","52351.00","236479.00","288830.00","6352.00","282478.00","--","--","282478.00","-460166.00","--","-177688.00","281506.00","--","972.00","-178127.00","--","439.00","0.33"
"114/03/26","104","1","1231","聯華食","1677670.00","1310156.00","367514.00","0.00","0.00","367514.00","253395.00","--","114119.00","3991.00","118110.00","20127.00","97983.00","--","--","97983.00","-2863.00","--","95120.00","98452.00","--","-469.00","95810.00","--","-690.00","0.66"
"114/03/26","104","1","1232","大統益","4750989.00","4306393.00","444596.00","--","--","444596.00","151647.00","--","292949.00","795.00","293744.00","49784.00","243960.00","--","--","243960.00","222.00","--","244182.00","241953.00","--","2007.00","242175.00","--","2007.00","1.51"
"114/03/26","104","1","1233","天仁","565923.00","230412.00","335511.00","--","--","335511.00","264444.00","--","71067.00","1725.00","72792.00","12673.00","60119.00","0.00","--","60119.00","-4526.00","--","55593.00","60104.00","--","15.00","56191.00","--","-598.00","0.66"
"114/03/26","104","1","1234","黑松","1331189.00","948971.00","382218.00","--","--","382218.00","421466.00","--","-39248.00","187077.00","147829.00","24801.00","123028.00","0.00","--","123028.00","19858.00","--","142886.00","123028.00","--","--","142886.00","--","--","0.31"
"114/03/26","104","1","1235","興泰","22330.00","21691.00","639.00","--","--","639.00","4865.00","--","-4226.00","4178.00","-48.00","144.00","-192.00","--","--","-192.00","22255.00","--","22063.00","-192.00","--","0.00","22063.00","--","0.00","0.00"
"114/03/26","104","1","1236","宏亞","705960.00","492919.00","213041.00","--","--","213041.00","125969.00","--","87072.00","302.00","87374.00","14314.00","73060.00","--","--","73060.00","-31962.00","--","41098.00","73060.00","--","0.00","41098.00","--","0.00","0.67"
"114/03/26","104","1","1256","鮮活果汁-KY","506333.00","358882.00","147451.00","--","--","147451.00","75922.00","--","71529.00","735.00","72264.00","24754.00","47510.00","--","--","47510.00","-7792.00","--","39718.00","47268.00","--","242.00","39502.00","--","216.00","1.91"
"114/03/26","104","1","1301","台塑","47697112.00","42125233.00","5571879.00","--","--","5571879.00","2632896.00","--","2938983.00","1513001.00","4451984.00","808299.00","3643685.00","--","--","3643685.00","2874768.00","--","6518453.00","3643685.00","--","--","6518453.00","--","--","0.57"
"114/03/26","104","1","1303","南亞","79525772.00","68480472.00","11045300.00","-214.00","--","11045514.00","4521659.00","--","6523855.00","3294117.00","9817972.00","1648631.00","8169341.00","--","--","8169341.00","-4207978.00","--","3961363.00","7950168.00","--","219173.00","4063483.00","--","-102120.00","1.00"
"114/03/26","104","1","1304","台聚","13066416.00","11712905.00","1353511.00","--","--","1353511.00","932786.00","--","420725.00","40824.00","461549.00","63523.00","398026.00","-6614.00","--","391412.00","-167263.00","--","224149.00","187745.00","--","203667.00","46289.00","--","177860.00","0.18"
