出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","2","1101","台泥","46434327.00","39655906.00","6778421.00","--","--","6778421.00","2167282.00","--","4611139.00","101237.00","4712376.00","1010013.00","3702363.00","--","--","3702363.00","-2911615.00","--","790748.00","3051907.00","--","650456.00","861165.00","--","-70417.00","0.83"
"114/03/26","104","2","1102","亞泥","32252761.00","28822804.00","3429957.00","822.00","0.00","3429135.00","1428418.00","--","2000717.00","3125491.00","5126208.00","549957.00","4576251.00","--","--","4576251.00","671196.00","--","5247447.00","4356999.00","--","219252.00","5420782.00","--","-173335.00","1.39"
"114/03/26","104","2","1103","嘉泥","1408790.00","1492139.00","-83349.00","--","--","-83349.00","210711.00","39907.00","-254153.00","244544.00","-9609.00","57997.00","-67606.00","--","--","-67606.00","-1711113.00","--","-1778719.00","-79498.00","--","11892.00","-1723417.00","--","-55302.00","-0.12"
"114/03/26","104","2","1104","環泥","2558276.00","2342505.00","215771.00","--","--","215771.00","167082.00","--","48689.00","622817.00","671506.00","59837.00","611669.00","--","--","611669.00","-23880.00","--","587789.00","615988.00","--","-4319.00","592108.00","--","-4319.00","0.98"
"114/03/26","104","2","1108","幸福","2636961.00","2062912.00","574049.00","--","--","574049.00","147893.00","-9647.00","416509.00","-22329.00","394180.00","85320.00","308860.00","--","--","308860.00","-10811.00","--","298049.00","315548.00","--","-6688.00","304438.00","--","-6389.00","0.78"
"114/03/26","104","2","1109","信大","2052241.00","1847004.00","205237.00","--","--","205237.00","190904.00","--","14333.00","-8908.00","5425.00","34650.00","-29225.00","--","--","-29225.00","-71996.00","--","-101221.00","-3524.00","--","-25701.00","-54804.00","--","-46417.00","-0.01"
"114/03/26","104","2","1110","東泥","958841.00","873285.00","85556.00","--","--","85556.00","28647.00","--","56909.00","1008.00","57917.00","-2980.00","60897.00","--","--","60897.00","8225.00","--","69122.00","60629.00","--","268.00","68858.00","--","264.00","0.11"
"114/03/26","104","2","1201","味全","10243099.00","7553680.00","2689419.00","--","--","2689419.00","3394070.00","--","-704651.00","-82762.00","-787413.00","-88453.00","-698960.00","92983.00","--","-605977.00","-112390.00","--","-718367.00","-601833.00","--","-4144.00","-706205.00","--","-12162.00","-1.19"
"114/03/26","104","2","1203","味王","3305337.00","2519116.00","786221.00","0.00","0.00","786221.00","433050.00","--","353171.00","60784.00","413955.00","97513.00","316442.00","0.00","--","316442.00","-103747.00","--","212695.00","202958.00","--","113484.00","145723.00","--","66972.00","0.85"
"114/03/26","104","2","1210","大成","38795605.00","34969209.00","3826396.00","--","--","3826396.00","3364004.00","--","462392.00","-27898.00","434494.00","201438.00","233056.00","-3952.00","--","229104.00","-306052.00","--","-76948.00","255946.00","--","-26842.00","135024.00","--","-211972.00","0.37"
