出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","4","2880","華南金","26320077.00","13263704.00","39583781.00","1186835.00","388444.00","21814195.00","16194307.00","-2113646.00","14080661.00","0.00","14080661.00","832014.00","14912675.00","14080583.00","--","78.00","14912597.00","--","78.00","1.42"
"114/03/26","104","4","2881","富邦金","94964961.00","335277799.00","430242760.00","1212002.00","296913117.00","54300077.00","77817564.00","-14011732.00","63805832.00","--","63805832.00","-73459217.00","-9653385.00","63592585.00","--","213247.00","-9748131.00","--","94746.00","6.21"
"114/03/26","104","4","2882","國泰金","139961774.00","301303265.00","441265039.00","2467452.00","306598275.00","65067110.00","67132202.00","-9249831.00","57882371.00","--","57882371.00","-45358364.00","12524007.00","57513572.00","--","368799.00","11939628.00","--","584379.00","4.58"
"114/03/26","104","4","2883","凱基金","9107813.00","21414709.00","30522522.00","-329789.00","--","21409324.00","9442987.00","-827812.00","8615175.00","--","8615175.00","-3116463.00","5498712.00","8528231.00","--","86944.00","5415879.00","--","82833.00","0.58"
"114/03/26","104","4","2884","玉山金","17473628.00","21015701.00","38489329.00","3566430.00","0.00","20137768.00","14785131.00","-1906172.00","12878959.00","0.00","12878959.00","783746.00","13662705.00","12816347.00","0.00","62612.00","13567419.00","0.00","95286.00","1.63"
"114/03/26","104","4","2885","元大金","15844344.00","53943688.00","69788032.00","1094887.00","24874422.00","30702170.00","13116553.00","-1119078.00","11997475.00","--","11997475.00","2461610.00","14459085.00","10814545.00","--","1182930.00","13878005.00","--","581080.00","1.02"
"114/03/26","104","4","2886","兆豐金","37688593.00","22539713.00","60228306.00","-426459.00","12356.00","25533427.00","35108982.00","-5835713.00","29273269.00","--","29273269.00","-3644024.00","25629245.00","29417211.00","0.00","-143942.00","25672449.00","0.00","-43204.00","2.35"
"114/03/26","104","4","2887","台新金","17796820.00","19711007.00","37507827.00","2818084.00","--","19793219.00","14896524.00","-1670433.00","13226091.00","--","13226091.00","-744461.00","12481630.00","13222544.00","--","3547.00","12477225.00","--","4405.00","1.39"
"114/03/26","104","4","2888","新光金","73430803.00","131541690.00","204972493.00","1753172.00","170892417.00","24219041.00","8107863.00","-1269860.00","6838003.00","--","6838003.00","-5500559.00","1337444.00","5780140.00","--","1057863.00","324946.00","--","1012498.00","0.57"
"114/03/26","104","4","2889","國票金","1839733.00","3099933.00","4939666.00","259460.00","--","2708364.00","1971842.00","-377296.00","1594546.00","--","1594546.00","238775.00","1833321.00","1563259.00","--","31287.00","1859122.00","--","-25801.00","0.58"
"114/03/26","104","4","2890","永豐金","17238790.00","15327551.00","32566341.00","496379.00","--","19612956.00","12457006.00","-1600564.00","10856442.00","--","10856442.00","120487.00","10976929.00","10856550.00","--","-108.00","10977037.00","--","-108.00","1.07"
"114/03/26","104","4","2891","中信金","59152111.00","156419816.00","215571927.00","1504991.00","117725465.00","55291150.00","41050321.00","-5648279.00","35402042.00","--","35402042.00","-2732044.00","32669998.00","35397576.00","--","4466.00","32669531.00","--","467.00","2.10"
"114/03/26","104","4","2892","第一金","28452473.00","12395760.00","40848233.00","518155.00","-539599.00","21893934.00","18975743.00","-3013512.00","15962231.00","--","15962231.00","412733.00","16374964.00","16006088.00","--","-43857.00","16460579.00","--","-85615.00","1.55"
"114/03/26","104","4","5880","合庫金","32074369.00","6248325.00","38322694.00","2224992.00","-4343586.00","24829668.00","15611620.00","-2149909.00","13461711.00","--","13461711.00","1345289.00","14807000.00","13079052.00","--","382659.00","14314848.00","--","492152.00","1.22"
