出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","3","2801","彰銀","16181180.00","7026114.00","855902.00","11424977.00","10926415.00","-1610719.00","9315696.00","--","--","9315696.00","99652.00","9415348.00","--","--","--","--","--","--","1.04"
"114/03/26","105","3","2809","京城銀","3708372.00","2097798.00","161504.00","1454057.00","4190609.00","-612573.00","3578036.00","--","--","3578036.00","1489602.00","5067638.00","3578036.00","--","--","5067638.00","--","--","3.12"
"114/03/26","105","3","2812","台中銀","5722046.00","2011595.00","571523.00","4196484.00","2965634.00","-436841.00","2528793.00","--","--","2528793.00","170619.00","2699412.00","2528793.00","--","--","2699412.00","--","--","0.78"
"114/03/26","105","3","2820","華票","975084.00","850391.00","-171811.00","378226.00","1619060.00","-291899.00","1327161.00","0.00","0.00","1327161.00","348146.00","1675307.00","--","--","--","--","--","--","0.99"
"114/03/26","105","3","2834","臺企銀","11144421.00","4635227.00","2190900.00","8784155.00","4804593.00","-813823.00","3990770.00","0.00","--","3990770.00","363336.00","4354106.00","3990770.00","0.00","0.00","4354106.00","0.00","0.00","0.67"
"114/03/26","105","3","2836","高雄銀","1885323.00","669053.00","295069.00","1721374.00","537933.00","-45127.00","492806.00","--","--","492806.00","78074.00","570880.00","492806.00","--","0.00","570880.00","--","0.00","0.60"
"114/03/26","105","3","2838","聯邦銀","4659402.00","4140147.00","-619.00","6223422.00","2576746.00","-534811.00","2041935.00","0.00","--","2041935.00","382867.00","2424802.00","2015079.00","--","26856.00","2397946.00","--","26856.00","0.77"
"114/03/26","105","3","2845","遠東銀","4356042.00","3581124.00","150135.00","4877132.00","2909899.00","-446016.00","2463883.00","--","--","2463883.00","136201.00","2600084.00","2463883.00","--","--","2600084.00","--","--","0.79"
"114/03/26","105","3","2849","安泰銀","2743336.00","2038331.00","1352529.00","2343745.00","1085393.00","-400402.00","684991.00","0.00","--","684991.00","27409.00","712400.00","684991.00","--","0.00","712400.00","--","0.00","0.41"
"114/03/26","105","3","2897","王道銀行","3086773.00","2780245.00","501444.00","2545401.00","2820173.00","-520974.00","2299199.00","95097.00","--","2394296.00","-49269.00","2345027.00","1429115.00","--","965181.00","1150682.00","--","1194345.00","0.60"
