出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","3","1101","台泥","63016298.00","51410157.00","11606141.00","--","--","11606141.00","3571054.00","--","8035087.00","-263974.00","7771113.00","1684433.00","6086680.00","--","--","6086680.00","-6169989.00","--","-83309.00","4546032.00","--","1540648.00","819090.00","--","-902399.00","1.23"
"114/03/26","105","3","1102","亞泥","44104283.00","38442512.00","5661771.00","0.00","680.00","5662451.00","1623845.00","--","4038606.00","-713994.00","3324612.00","622632.00","2701980.00","--","--","2701980.00","-14048462.00","--","-11346482.00","2341615.00","--","360365.00","-10648901.00","--","-697581.00","0.75"
"114/03/26","105","3","1103","嘉泥","2104649.00","2043539.00","61110.00","--","--","61110.00","256165.00","0.00","-195055.00","123834.00","-71221.00","32496.00","-103717.00","--","--","-103717.00","2028983.00","--","1925266.00","-119540.00","--","15823.00","1835459.00","--","89807.00","-0.19"
"114/03/26","105","3","1104","環泥","3362708.00","2908298.00","454410.00","--","--","454410.00","276173.00","--","178237.00","1100499.00","1278736.00","76656.00","1202080.00","--","--","1202080.00","-354083.00","--","847997.00","1213662.00","--","-11582.00","859579.00","--","-11582.00","1.91"
"114/03/26","105","3","1108","幸福","3160477.00","2612970.00","547507.00","--","--","547507.00","183146.00","106.00","364467.00","-13200.00","351267.00","68784.00","282483.00","-8936.00","--","273547.00","151.00","--","273698.00","273857.00","--","-310.00","274015.00","--","-317.00","0.67"
"114/03/26","105","3","1109","信大","3025702.00","2614460.00","411242.00","--","--","411242.00","268406.00","--","142836.00","-44101.00","98735.00","22268.00","76467.00","--","--","76467.00","-122186.00","--","-45719.00","83594.00","--","-7127.00","9330.00","--","-55049.00","0.22"
"114/03/26","105","3","1110","東泥","1087712.00","1077528.00","10184.00","--","--","10184.00","54780.00","--","-44596.00","251765.00","207169.00","-19424.00","226593.00","--","--","226593.00","-49776.00","--","176817.00","126691.00","--","99902.00","76916.00","--","99901.00","0.22"
"114/03/26","105","3","1201","味全","13011614.00","9208590.00","3803024.00","--","--","3803024.00","4690727.00","--","-887703.00","389977.00","-497726.00","-11333.00","-486393.00","76665.00","--","-409728.00","-255283.00","--","-665011.00","-449530.00","--","39802.00","-704299.00","--","39288.00","-0.89"
"114/03/26","105","3","1203","味王","4752123.00","3501782.00","1250341.00","0.00","0.00","1250341.00","736537.00","--","513804.00","33557.00","547361.00","123745.00","423616.00","0.00","--","423616.00","-39933.00","--","383683.00","298977.00","--","124639.00","266734.00","--","116949.00","1.26"
"114/03/26","105","3","1210","大成","55421051.00","48123272.00","7297779.00","--","--","7297779.00","5363576.00","--","1934203.00","332941.00","2267144.00","277949.00","1989195.00","0.00","--","1989195.00","-762516.00","--","1226679.00","1595469.00","--","393726.00","1266231.00","--","-39552.00","2.33"
"114/03/26","105","3","1213","大飲","535562.00","463982.00","71580.00","--","--","71580.00","53315.00","--","18265.00","5030.00","23295.00","4153.00","19142.00","--","--","19142.00","63.00","--","19205.00","19142.00","--","--","19205.00","--","--","0.34"
"114/03/26","105","3","1215","卜蜂","13327847.00","11367892.00","1959955.00","--","--","1959955.00","949367.00","1052.00","1011640.00","59615.00","1071255.00","204067.00","867188.00","--","--","867188.00","745350.00","--","1612538.00","846366.00","--","20822.00","1597491.00","--","15047.00","3.16"
"114/03/26","105","3","1216","統一","318948156.00","210649990.00","108298166.00","--","--","108298166.00","90678153.00","--","17620013.00","7898631.00","25518644.00","5691471.00","19827173.00","--","--","19827173.00","-5432446.00","--","14394727.00","13239483.00","--","6587690.00","9018060.00","--","5376667.00","2.33"
