出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","3","2880","華南金","20037752.00","11751715.00","31789467.00","2714091.00","422751.00","16763140.00","11889485.00","-1374418.00","10515067.00","--","10515067.00","-204792.00","10310275.00","10515012.00","--","55.00","10310220.00","--","55.00","1.00"
"114/03/26","105","3","2881","富邦金","78483329.00","261407984.00","339891313.00","1814570.00","250887639.00","42004456.00","45184648.00","-4687000.00","40497648.00","--","40497648.00","40622292.00","81119940.00","40333530.00","--","164118.00","81458998.00","--","-339058.00","3.94"
"114/03/26","105","3","2882","國泰金","114089228.00","294505829.00","408595057.00","3782881.00","305033857.00","52815116.00","46963203.00","-7713733.00","39249470.00","--","39249470.00","23366165.00","62615635.00","38751510.00","--","497960.00","62530402.00","--","85233.00","3.08"
"114/03/26","105","3","2883","凱基金","5177921.00","14990921.00","20168842.00","614601.00","--","14432160.00","5122081.00","-618781.00","4503300.00","--","4503300.00","148856.00","4652156.00","4441633.00","--","61667.00","4596389.00","--","55767.00","0.30"
"114/03/26","105","3","2884","玉山金","13608456.00","16882101.00","30490557.00","1601555.00","--","16199533.00","12689469.00","-1974993.00","10714476.00","--","10714476.00","-1441166.00","9273310.00","10718232.00","--","-3756.00","9310844.00","--","-37534.00","1.22"
"114/03/26","105","3","2885","元大金","15591967.00","42155082.00","57747049.00","743659.00","18075721.00","25736667.00","13191002.00","-2070662.00","11120340.00","--","11120340.00","647971.00","11768311.00","10406889.00","--","713451.00","11103752.00","--","664559.00","0.90"
"114/03/26","105","3","2886","兆豐金","28332919.00","13022563.00","41355482.00","1557806.00","132580.00","17328186.00","22336910.00","-4684760.00","17652150.00","--","17652150.00","1026417.00","18678567.00","17659358.00","--","-7208.00","18676868.00","--","1699.00","1.30"
"114/03/26","105","3","2887","台新金","13301572.00","14196756.00","27498328.00","1683487.00","--","14721385.00","11093456.00","-1310764.00","9782692.00","--","9782692.00","765318.00","10548010.00","9790254.00","--","-7562.00","10555572.00","--","-7562.00","0.98"
"114/03/26","105","3","2888","新光金","60449109.00","118828494.00","179277603.00","999635.00","158108852.00","17422166.00","2746950.00","-686344.00","2060606.00","--","2060606.00","7706834.00","9767440.00","1498235.00","--","562371.00","9438756.00","--","328684.00","0.15"
"114/03/26","105","3","2889","國票金","1537822.00","2835456.00","4373278.00","56248.00","--","1994402.00","2322628.00","-380657.00","1941971.00","--","1941971.00","748121.00","2690092.00","1830238.00","--","111733.00","2548649.00","--","141443.00","0.67"
"114/03/26","105","3","2890","永豐金","12383281.00","11201735.00","23585016.00","567417.00","--","14961637.00","8055962.00","-1066489.00","6989473.00","--","6989473.00","-742965.00","6246508.00","6991075.00","--","-1602.00","6248110.00","--","-1602.00","0.65"
"114/03/26","105","3","2891","中信金","61705551.00","173888194.00","235593745.00","4866028.00","157279494.00","45033594.00","28414629.00","-5080890.00","23333739.00","--","23333739.00","2611756.00","25945495.00","23329174.00","--","4565.00","25942895.00","--","2600.00","1.29"
"114/03/26","105","3","2892","第一金","21437032.00","12332026.00","33769058.00","1640608.00","373494.00","16047636.00","15707320.00","-2300123.00","13407197.00","--","13407197.00","-793409.00","12613788.00","13449571.00","--","-42374.00","12608615.00","--","5173.00","1.12"
"114/03/26","105","3","5880","合庫金","25033101.00","7150543.00","32183644.00","3832190.00","-1969061.00","17923020.00","12397495.00","-1540974.00","10856521.00","0.00","10856521.00","1705124.00","12561645.00","10548765.00","--","307756.00","12132580.00","--","429065.00","0.89"
