出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","2","2801","彰銀","10767209.00","4532173.00","473418.00","7645055.00","7180909.00","-1110942.00","6069967.00","--","--","6069967.00","388117.00","6458084.00","--","--","--","--","--","--","0.68"
"114/03/26","105","2","2809","京城銀","2482893.00","1229730.00","105674.00","937017.00","2669932.00","-474912.00","2195020.00","--","--","2195020.00","978904.00","3173924.00","2195020.00","--","--","3173924.00","--","--","1.92"
"114/03/26","105","2","2812","台中銀","3786590.00","1176516.00","296558.00","2765747.00","1900801.00","-314965.00","1585836.00","--","--","1585836.00","84391.00","1670227.00","1585836.00","--","--","1670227.00","--","--","0.49"
"114/03/26","105","2","2820","華票","648752.00","612269.00","-162483.00","260303.00","1163201.00","-203829.00","959372.00","--","--","959372.00","327381.00","1286753.00","--","--","--","--","--","--","0.71"
"114/03/26","105","2","2834","臺企銀","7415228.00","3374688.00","1708010.00","5918572.00","3163334.00","-568900.00","2594434.00","--","--","2594434.00","373470.00","2967904.00","2594434.00","0.00","0.00","2967904.00","0.00","0.00","0.46"
"114/03/26","105","2","2836","高雄銀","1249883.00","473804.00","215087.00","1155949.00","352651.00","-32333.00","320318.00","--","--","320318.00","57340.00","377658.00","320318.00","--","0.00","377658.00","--","0.00","0.41"
"114/03/26","105","2","2838","聯邦銀","3046736.00","2758613.00","107143.00","4068121.00","1630085.00","-392040.00","1238045.00","--","--","1238045.00","246901.00","1484946.00","1221261.00","--","16784.00","1468162.00","--","16784.00","0.47"
"114/03/26","105","2","2845","遠東銀","2926805.00","2264319.00","5780.00","3229258.00","1956086.00","-310591.00","1645495.00","--","--","1645495.00","103795.00","1749290.00","1645495.00","--","--","1749290.00","--","--","0.54"
"114/03/26","105","2","2849","安泰銀","1841375.00","1404338.00","918093.00","1574885.00","752735.00","-308500.00","444235.00","0.00","--","444235.00","42657.00","486892.00","444235.00","--","0.00","486892.00","--","0.00","0.26"
"114/03/26","105","2","2897","王道銀行","2066067.00","1851466.00","74307.00","1773933.00","2069293.00","-365634.00","1703659.00","-95882.00","--","1607777.00","222895.00","1830672.00","918984.00","--","688793.00","915801.00","--","914871.00","0.38"
"114/03/26","105","2","5876","上海商銀","10723523.00","5135236.00","430243.00","6210415.00","9218101.00","-1973069.00","7245032.00","--","--","7245032.00","-698946.00","6546086.00","5676324.00","--","1568708.00","5588998.00","--","957088.00","1.40"
