出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","4","2801","彰銀","21726769.00","9281712.00","1138044.00","15787396.00","14083041.00","-1997069.00","12085972.00","--","--","12085972.00","-1077343.00","11008629.00","--","--","--","--","--","--","1.35"
"114/03/26","105","4","2809","京城銀","4903021.00","2621738.00","111058.00","1833880.00","5579821.00","-798363.00","4781458.00","--","--","4781458.00","423634.00","5205092.00","4781458.00","--","--","5205092.00","--","--","4.17"
"114/03/26","105","4","2812","台中銀","7787474.00","3005162.00","801040.00","5847533.00","4144063.00","-629248.00","3514815.00","--","--","3514815.00","-486768.00","3028047.00","3514815.00","--","--","3028047.00","--","--","1.09"
"114/03/26","105","4","2820","華票","1279211.00","1033284.00","-184790.00","497284.00","2000001.00","-366483.00","1633518.00","--","--","1633518.00","-467140.00","1166378.00","--","--","--","--","--","--","1.22"
"114/03/26","105","4","2834","臺企銀","14996203.00","5660831.00","2504194.00","11793424.00","6359416.00","-1163717.00","5195699.00","0.00","--","5195699.00","-1416022.00","3779677.00","5195699.00","0.00","0.00","3779677.00","0.00","0.00","0.87"
"114/03/26","105","4","2836","高雄銀","2522607.00","841021.00","364479.00","2294153.00","704996.00","-56692.00","648304.00","--","--","648304.00","-95906.00","552398.00","648304.00","--","--","552398.00","--","--","0.79"
"114/03/26","105","4","2838","聯邦銀","6304372.00","5707288.00","171542.00","8529331.00","3310787.00","-649166.00","2661621.00","--","--","2661621.00","-535336.00","2126285.00","2636375.00","--","25246.00","2101213.00","--","25072.00","1.01"
"114/03/26","105","4","2845","遠東銀","5784422.00","5158476.00","452001.00","6674995.00","3815902.00","-572016.00","3243886.00","--","--","3243886.00","-228461.00","3015425.00","3243886.00","--","--","3015425.00","--","--","1.04"
"114/03/26","105","4","2849","安泰銀","3606880.00","2693292.00","1565479.00","3024531.00","1710162.00","-655483.00","1054679.00","0.00","--","1054679.00","-31503.00","1023176.00","--","--","--","--","--","--","0.63"
"114/03/26","105","4","2897","王道銀行","4151437.00","3570534.00","609637.00","3536549.00","3575785.00","-833742.00","2742043.00","92956.00","--","2834999.00","-1099318.00","1735681.00","1643898.00","--","1191101.00","892217.00","--","843464.00","0.69"
"114/03/26","105","4","5876","上海商銀","21965927.00","10489349.00","687149.00","12548967.00","19219160.00","-4107035.00","15112125.00","--","--","15112125.00","-343702.00","14768423.00","11748332.00","--","3363793.00","10985444.00","--","3782979.00","2.89"
